Wavelength [nm],#19-Dichroic-650.csv
466.6,0.1123195024324518
466.81,0.11781117555604463
467.01,0.11658299399802848
467.22,0.11037857255916703
467.42,0.08899148732534864
467.63,0.11015847685908611
467.83,0.11200086023137695
468.04,0.10222745972230905
468.24,0.11710438221345505
468.45,0.11340040221817593
468.65,0.11275236321668297
468.86,0.1353388584534209
469.06,0.1435379471342373
469.27,0.16206222618137978
469.47,0.16894288221016837
469.68,0.17943533775940745
469.88,0.1967734425631249
470.09,0.19139654533927608
470.29,0.1923578632177
470.5,0.20849882804049089
470.7,0.20254276658179018
470.91,0.2134022450019236
471.11,0.1926498319502692
471.32,0.19779321756880938
471.52,0.1785583487443123
471.73,0.17543940066431365
471.93,0.17070134103908297
472.14,0.15214293239878673
472.34,0.13086942779351993
472.55,0.1144769999453879
472.75,0.0981674100386134
472.96,0.09608946110934173
473.16,0.07762163734122347
473.37,0.061407404326029605
473.57,0.06573293385043626
473.78,0.037867453992886095
473.98,0.04303167288465012
474.19,0.03407539771176136
474.39,0.02720576124440228
474.6,0.027240436797697182
474.8,0.030711770743034536
475.01,0.014251484720104752
475.21,0.020226236771248948
475.42,0.00824555819343335
475.62,0.011769747318085102
475.83,0.014965324944591416
476.03,0.014201963684313701
476.24,0.010208831712549415
476.44,0.0037292437412574223
476.64,0.024594640384427918
476.85,0.010036332755589305
477.05,0.016916562574686943
477.26,0.02370390293521163
477.46,0.013946354331997582
477.67,0.024927187157175693
477.87,0.019557471595058634
478.08,0.019798773921611477
478.28,0.014214569605918447
478.49,0.025898580308034214
478.69,0.019748343550900233
478.9,0.024201127226499506
479.1,0.020632578550501334
479.3,0.02201150510919351
479.51,0.015986656336748523
479.71,0.025431759156759104
479.92,0.016840178373656877
480.12,0.018454707967507315
480.33,0.02424087529056678
480.53,0.018337243071046328
480.74,0.01862850327966608
480.94,0.016146081688097814
481.14,0.015986193636563707
481.35,0.021416769748363543
481.55,0.022678767265310443
481.76,0.02366305233308791
481.96,0.026095954507592854
482.17,0.02765609716554395
482.37,0.029360549805150096
482.57,0.0358172610009727
482.78,0.030605254474807806
482.98,0.03550030586577683
483.19,0.02197114490130745
483.39,0.026254076555728922
483.6,0.029639649474652998
483.8,0.023331324031374702
484.0,0.018716545146547497
484.21,0.02797411690374214
484.41,0.023624314300244448
484.62,0.025111967510883588
484.82,0.016387951230439738
485.02,0.02072236821357247
485.23,0.023192723711330302
485.43,0.0301791719228215
485.64,0.03574662162395126
485.84,0.039462001084384114
486.05,0.04730964382199941
486.25,0.05717859063458738
486.45,0.05984685276840681
486.66,0.0688803951271222
486.86,0.066698703378431
487.07,0.06496601097540844
487.27,0.06692519042197931
487.47,0.056245545658129226
487.68,0.048540445970257654
487.88,0.04558710850028808
