Wavelength [nm],#33-Jaune.csv
456.12,0.01744384904799911
456.32,0.02158700805602827
456.53,0.02258201626124549
456.73,0.042347851945984206
456.94,0.0436888959172473
457.15,0.020317828205590985
457.35,0.029776999690830586
457.56,0.02106262250336506
457.76,0.02513179895291787
457.97,0.03698509177890822
458.18,0.03193056063717714
458.38,0.012105649955780498
458.59,0.032115639956493476
458.79,0.023080152569473617
459.0,0.042024169350418944
459.2,0.019221707408932077
459.41,0.018500483486221093
459.62,0.04012278162685658
459.82,0.021441104824559087
460.03,0.01736007532642843
460.23,0.030915057348692262
460.44,0.03488434507226379
460.64,0.013685450126531551
460.85,0.029594709510167367
461.06,0.03872849847886717
461.26,0.03974827251517493
461.47,0.03240173309556751
461.67,0.014904207346361411
461.88,0.03322126015542941
462.08,0.041946364351784816
462.29,0.028612964357103934
462.49,0.01757173677987003
462.7,0.03649356869301905
462.91,0.02490953707229693
463.11,0.023396148016639376
463.32,0.022968651341635678
463.52,0.011429908880333827
463.73,0.0274060152155697
463.93,0.021309620539612887
464.14,0.02291488426942911
464.34,0.011032106894054912
464.55,0.03516189932841648
464.75,0.016063379748805364
464.96,0.02473359732991446
465.16,0.028281770491895345
465.37,0.01272350481730596
465.58,0.024116417555019046
465.78,0.019545010620061344
465.99,0.025580896348849295
466.19,0.020617627273799052
466.4,0.026072552779318057
466.6,0.012379272500361705
466.81,0.00729087540199205
467.01,0.022151420494327327
467.22,0.02084248050705739
467.42,0.006922024439396915
467.63,0.019365853593775115
467.83,0.008606108907822426
468.04,0.026796817952684286
468.24,0.015715698527992646
468.45,0.019146219356475324
468.65,0.020194026642946516
468.86,0.02269689832638514
469.06,0.027389974572562432
469.27,0.024007085526762083
469.47,0.0122740168170553
469.68,0.021332367048881314
469.88,0.0204554177599084
470.09,0.01048526561913883
470.29,0.019913542967747853
470.5,0.013447951491275159
470.7,0.025657008779719038
470.91,0.005387204594947876
471.11,0.02000059486630381
471.32,0.018058677987673046
471.52,0.018430812735912714
471.73,0.017862233735104104
471.93,0.012978124391421774
472.14,0.01371099663407954
472.34,0.016177489921646707
472.55,0.010680567118832605
472.75,0.017334254817994135
472.96,0.013410954480435111
473.16,0.024643066046413267
473.37,0.02077569022758933
473.57,0.022594732820127486
473.78,0.01580951326994774
473.98,0.020320147980945648
474.19,0.024968108604472253
474.39,0.014822649264979339
474.6,0.02554622565714165
474.8,0.016684444704583516
475.01,0.017922275524641745
475.21,0.021052120808811817
475.42,0.022858038372847975
475.62,0.028285376198522585
475.83,0.0112552131741379
476.03,0.012637618744378732
476.24,0.016475057110460607
476.44,0.024345296638489552
476.64,0.015122130822474694
476.85,0.01673197880158106
477.05,0.01666583994336195
477.26,0.020943877988485165
477.46,0.014700602403645723
477.67,0.025177784127836916
477.87,0.009467576096915412
478.08,0.02363987595865635
478.28,0.018347332199432475
478.49,0.027126336067666134
478.69,0.030656188392692886
478.9,0.02022495732306003
479.1,0.025821904964732783
479.3,0.031195601256735393
479.51,0.027596734313993725
479.71,0.0297279996616365
479.92,0.028691076719897363
480.12,0.035884016891448774
480.33,0.0332631510622675
480.53,0.04457420916790172
480.74,0.04080768202660746
480.94,0.03396952223722648
481.14,0.034876511036210825
481.35,0.045392946896089664
481.55,0.05445978963501889
481.76,0.0472213761329269
481.96,0.05208983472536173
482.17,0.05777483405035465
482.37,0.04749563932046789
482.57,0.06397164910859302
482.78,0.06450017564701732
482.98,0.06722053769068763
483.19,0.07676038678392652
483.39,0.08262670602626357
483.6,0.0772733286532999
483.8,0.07699669759512442
484.0,0.08409581833484536
484.21,0.09926796368687271
484.41,0.10467053496698007
484.62,0.10276677280872329
484.82,0.09922865040688988
