Wavelength [nm],#24-EO-43128.csv
432.36,0.014187276726381589
432.56,-0.0026989328073027704
432.77,0.02770169480098101
432.98,-0.0004035014040201616
433.19,0.029493956527771124
433.39,0.03350862903248697
433.6,0.02314960588252418
433.81,0.01840673389376966
434.02,0.03963067549849127
434.22,0.025773431553694454
434.43,0.041567942466366414
434.64,0.02951182974420215
434.84,0.0018111213925862942
435.05,0.019298755448859714
435.26,0.04252493286027221
435.47,0.03544027091115631
435.67,0.023269421549149336
435.88,0.016079918249046997
436.09,0.016149254580189207
436.29,0.029260809548238106
436.5,0.023538891192277332
436.71,0.01812050683081581
436.92,0.02269966882171446
437.12,0.03778863022142149
437.33,0.0217113272589802
437.54,0.02676974796476242
437.74,0.026287652545809854
437.95,0.02433436807791185
438.16,0.01758334707218995
438.36,-0.003079813400979936
438.57,0.007833013610137503
438.78,0.006570525217790604
438.99,0.00806952781508285
439.19,0.030806834305063754
439.4,0.022547572834354723
439.61,0.022112263769642513
439.81,0.01132677404986395
440.02,-0.0035681701578398504
440.23,0.042070103538038695
440.43,0.02267140771864083
440.64,0.006642191033156218
440.85,0.033726824976743876
441.05,0.007044349637860925
441.26,0.00999128869272318
441.47,0.028286404940957216
441.67,0.02729796456798743
441.88,0.011139014069971472
442.09,0.02955298789651996
442.29,0.012398331619295887
442.5,0.045358258816252314
442.71,0.023146420297305126
442.91,0.012076868622014028
443.12,0.035366427007006346
443.33,0.02356154171475269
443.53,0.02611713703446773
443.74,0.014729618384369697
443.95,0.017763811322598
444.15,-0.00032631062551746667
444.36,0.031300541864558426
444.57,0.010336693116019754
444.77,0.020848682493527393
444.98,0.007295028903320876
445.19,0.031341225801305814
445.39,0.023798961098709732
445.6,0.02176940289183451
445.81,0.023488187408893125
446.01,0.030699414494552345
446.22,0.0021514006398466396
446.43,0.027637239570520014
446.63,0.023756790051289403
446.84,0.023713971425669375
447.05,0.010434921322197305
447.25,0.014755289499083647
447.46,-0.0027981819596163645
447.67,0.036610876221703496
447.87,0.01694240438725865
448.08,0.02008261050884471
448.28,0.022816315049226467
448.49,0.0015091703517223893
