Wavelength [nm],#21-482-∆28.csv
465.78,0.9350666912533039
465.99,0.9699823498875237
466.19,0.9286670319077374
466.4,0.9494012723755667
466.6,0.934591963337128
466.81,0.973554071034566
467.01,0.9803428153114745
467.22,0.9793378249110516
467.42,0.9471607567720585
467.63,0.9357808274464874
467.83,0.9324768970948215
468.04,0.9926048390421937
468.24,0.956706292002923
468.45,0.931174103881564
468.65,0.928509046004614
468.86,0.9456457843196526
469.06,0.9420983400879485
469.27,0.9420026084363333
469.47,0.9818406542385255
469.68,0.9665354403247698
469.88,0.9776104095487979
470.09,0.966683005576402
470.29,0.9527870890189452
470.5,0.9388596911668557
470.7,0.9283955989673686
470.91,0.9545375933701735
471.11,0.9794937687754677
471.32,0.9349562068299034
471.52,0.940424991524434
471.73,0.9129751346347561
471.93,0.9446091084392142
472.14,0.9293966296433899
472.34,0.9451205243516305
472.55,0.9659175892211311
472.75,0.9496300861125245
472.96,0.9632882750416422
473.16,0.9687640793521928
473.37,0.976558626481669
473.57,0.9689759513138191
473.78,0.933245705706897
473.98,0.9506515014438026
474.19,0.938732782369146
474.39,0.983297197795197
474.6,0.9565152473924079
474.8,0.9525876379900355
475.01,0.9695041994700003
475.21,0.9672399331766728
475.42,0.9453385000695972
475.62,0.9463918931421865
475.83,0.9652839541478992
476.03,0.9306473743295497
476.24,0.9613128692824613
476.44,0.9412442492428884
476.64,0.9681618428612128
476.85,0.9427150282731817
477.05,0.9468468021591007
477.26,0.9621123848222094
477.46,0.9554993637727597
477.67,0.9719331392859428
477.87,0.9635779382018245
478.08,0.9512660179049932
478.28,0.9608603072026024
478.49,0.9747082313515825
478.69,0.9856986034296497
478.9,0.9457369754354141
479.1,0.9672128922009923
479.3,0.9552569674863344
479.51,0.9727518578085061
479.71,0.9421138121448098
479.92,0.9653767871845131
480.12,0.9479414062403327
480.33,0.9605275434988093
480.53,0.9426344300594179
480.74,0.9620438796701828
480.94,0.9514311245036244
481.14,0.9643659921779384
481.35,0.9633697293576406
481.55,0.9633970294086807
481.76,0.9748859378360207
481.96,0.9735728884452683
482.17,0.9722309518083305
482.37,0.924780594623966
482.57,0.948523693385321
482.78,0.9512760508149488
482.98,0.9617310751531721
483.19,0.936011071980374
483.39,0.9598497099454465
483.6,0.9372923717141863
483.8,0.9646343132070309
484.0,0.9471022244203772
484.21,0.9577812974356881
484.41,0.9571641563225441
484.62,0.9661761286202708
484.82,0.9456782300482294
485.02,0.9775859079619472
485.23,0.9408111306392714
485.43,0.9656147329287704
485.64,0.9407645538930022
485.84,0.9652608318656197
486.05,0.970585225647155
486.25,0.9606680416506126
486.45,0.9623400742167603
486.66,0.948684302926335
486.86,0.9369040955297472
487.07,0.9229560009043408
487.27,0.9702530629714836
487.47,0.9432857692402568
487.68,0.9561344842953109
487.88,0.9603703989688701
488.09,0.9916800152360741
488.29,0.9816240317763636
488.49,0.9617750436462843
488.7,0.9619390855862052
488.9,0.9270966889877896
489.1,0.9436417152288623
489.31,0.9474937662917433
489.51,0.934468870985079
489.72,0.9724209681532389
489.92,0.9503611550194251
490.12,0.9630968372982226
490.33,0.9609501298078148
490.53,0.9691956092662488
490.74,0.9481485316693687
490.94,0.9482154006976754
491.14,0.9543219314872374
491.35,0.939710244933291
491.55,0.9603757276662722
491.75,0.9478419279966834
491.96,0.9827249560295424
492.16,0.9631287846017472
492.36,0.9771746289888902
492.57,0.9577307944238708
492.77,0.9612976705753443
492.98,0.9481055304043718
493.18,0.9557600077142828
493.38,0.9608291195247756
493.59,0.9623041736012484
493.79,0.9664531293448549
493.99,0.9500039005485184
494.2,0.9513297112808071
494.4,0.9609341378371494
494.6,0.9713423716225754
494.81,0.9760622236554144
495.01,0.9528933459187102
495.22,0.9510492894637262
495.42,0.9434609390528811
495.62,0.948916047048294
495.83,0.9594108765567323
496.03,0.9527394560279671
496.23,0.9427493298562781
496.44,0.949126630415141
496.64,0.9570746530458467
496.84,0.9491724388150374
497.05,0.9742799621073017
497.25,0.9718594841242839
497.45,0.9437512018795305
497.66,0.9606586320934049
497.86,0.9575750993480762
498.06,0.96047350992817
498.27,0.9383096968153811
498.47,0.9558537824504516
498.67,0.9242707793626432
