Wavelength [nm],#11-Edmund-43129-589.csv
480.74,0.0010223510784858109
480.94,0.005006431344892399
481.14,0.005897046843570359
481.35,0.009428681174500485
481.55,-0.0005542559842695285
481.76,0.0029939569237952108
481.96,0.015481786752003898
482.17,0.009926627935478079
482.37,0.00607344622298066
482.57,0.0019899737970408195
482.78,0.001582728221103407
482.98,0.005007953982475482
483.19,0.009909334188342807
483.39,0.0009066712182583093
483.6,0.0039134429984217615
483.8,0.0035923360539035394
484.0,0.00801811862482603
484.21,0.0042758829171708045
484.41,0.005725769289476528
484.62,0.010101373703311482
484.82,0.005717603561341945
485.02,0.006044113250599888
485.23,0.004481403719874157
485.43,0.009274492510198998
485.64,9.033367604965382e-05
485.84,-0.000295046891628922
486.05,0.002606927535767819
486.25,0.007345381269586833
486.45,0.0073919561417513935
486.66,0.0047357737850409545
486.86,0.00471299077569
487.07,0.007275169547319107
487.27,0.006678229351566354
487.47,0.004350171106730205
487.68,0.002839553039430908
487.88,0.0037558629674287356
488.09,0.004816367896775605
488.29,0.0013867773417808643
488.49,0.0026594320595427277
488.7,0.0024415574593981124
488.9,0.003771863252421639
489.1,0.00451419635383497
489.31,0.002735136874490865
489.51,0.00899457961702163
489.72,0.004856600862703259
489.92,0.00896481424746998
490.12,0.004497457834347984
490.33,0.0021548656642946845
490.53,0.005683274099770523
490.74,0.003896875949344986
490.94,0.001272678587075548
491.14,0.0018049254437444303
491.35,0.00042326542808647115
491.55,0.0019424737820860005
491.75,0.0039490765818245704
491.96,0.003975160879786877
492.16,0.00566112235629237
492.36,0.011238743163184076
492.57,-0.002625556265786325
492.77,0.001246352304251586
492.98,0.0010729095410225448
493.18,0.005011325916026725
493.38,0.004010708586029204
493.59,0.004338498380800957
493.79,0.009638035876368717
493.99,0.006865560895899428
494.2,-0.0012173679376809921
494.4,0.005936582381132226
494.6,-0.00024892683249683515
494.81,0.00232489194713602
495.01,0.004608879911164793
495.22,0.00753244829932489
495.42,0.0056813304257397
495.62,0.0029766028006151515
495.83,-0.0024717625321566683
496.03,0.0041981355691443085
496.23,0.005406851010025503
496.44,0.004062090729013637
496.64,0.0025710289562206443
496.84,0.0037164642498922146
497.05,0.0011788965596313413
497.25,0.0063271171886027594
497.45,0.005031590271255507
497.66,0.0021030807184281037
497.86,0.0028599992759495564
498.06,0.004152041801395981
498.27,-0.0017474539241926622
498.47,0.003314242246733098
498.67,0.004918040825132518
498.88,0.0020552722810449073
499.08,0.004182285662651598
499.28,0.0003865833627350581
499.49,0.0074565706636652304
499.69,0.005996414064604769
499.89,0.0012711020481745035
500.1,0.003740363875881284
500.3,0.005041248300847402
500.5,0.0002217878049243459
500.7,-0.0018651031857761593
500.91,0.0028733572947869297
501.11,0.004220790821019811
501.31,0.0012625768469676502
501.52,0.0005145242463552814
501.72,-0.0009717652664858714
501.92,0.004564654988923807
502.13,0.0025444252883498695
502.33,0.0010912516504064799
502.53,0.001833606673122463
502.74,0.005506043857010949
502.94,0.0003659189385687674
503.14,-0.001526247865364805
503.34,0.0004924089923577159
503.55,0.004848462742911636
503.75,0.0034122732014966995
503.95,-0.0003630446379649613
504.16,0.0016786816900518822
504.36,0.0028241793158213053
504.56,0.002812756080058329
504.76,0.004617615127663948
504.97,0.0035314704735741934
505.17,0.002238160930067494
505.37,0.004995488265580867
505.58,0.0016353653264602577
505.78,0.0021977819826844882
505.98,-0.001230442528577554
506.18,0.0032122529426797763
506.39,0.00277230765291098
506.59,0.006137860875492088
506.79,-0.0023180483395055414
