Wavelength [nm],#44.csv
417.82,0.027763001527927152
418.02,0.05417943432317496
418.23,0.04715634707129851
418.44,0.05052972550761377
418.65,0.0614875368043745
418.86,0.05027381951376658
419.07,0.05589823663820633
419.27,0.05141063025910701
419.48,0.0599592168042605
419.69,0.020816114441549963
419.9,0.0439872113967021
420.11,0.04430471113140344
420.31,0.03671090030233362
420.52,0.046318734768096996
420.73,0.05131947111428105
420.94,0.044835999292008405
421.15,0.03232086844511749
421.35,0.04493375871215091
421.56,0.05600433407180245
421.77,0.030192554041895674
421.98,0.02661127658123215
422.19,0.04695154790424726
422.39,0.06297063474211821
422.6,0.07366846557093855
422.81,0.03580249733267646
423.02,0.03239117719879295
423.22,0.06821005731852242
423.43,0.03419007894818964
423.64,0.0629777691439945
423.85,0.030006352768936605
424.06,0.05285635451906239
424.26,0.042763523270021135
424.47,0.03360700154385682
424.68,0.04792791745808082
424.89,0.05465232331704593
425.09,0.04905234993246114
425.3,0.04649706224462409
425.51,0.050228371085600215
425.72,0.034990659342457
425.93,0.05104556260029334
426.13,0.03507084162988488
426.34,0.03545531609150128
426.55,0.023089304371562445
426.76,0.03211990077963388
426.96,0.04949808943846819
427.17,0.05374001677151445
427.38,0.04345358447731549
427.59,0.017415333204806923
427.79,0.05408843589547095
428.0,0.05369382738950984
428.21,0.029303648320560132
428.42,0.006334383472657272
428.62,0.04675935115107689
428.83,0.0389378663893787
429.04,0.03778558050970672
429.25,0.03394106726329322
429.45,0.04284109780489947
429.66,0.02660902257726838
429.87,0.03455071152821079
430.08,0.04443131887920481
430.28,0.047979007368723466
430.49,0.027544559065732735
430.7,0.042470615295477535
430.91,0.03944524980198171
431.11,0.01832842548722786
431.32,0.04196692270918207
431.53,0.0135624646425155
431.74,0.037415900994332806
431.94,0.014768030338166916
432.15,0.058988451905734755
432.36,0.057225229225147466
432.56,0.0600175526924675
432.77,0.022234957342030702
432.98,0.03393529155035124
433.19,0.00902910889575332
433.39,0.04455424470068712
433.6,0.03639004797146587
433.81,0.023671985129588523
434.02,0.04254088557273827
434.22,0.062409733820669874
434.43,0.03182625618963675
434.64,0.013810557344069828
434.84,0.035523814796360915
435.05,0.023513803777876076
435.26,0.05658368577808892
435.47,0.045145593262669446
435.67,0.026226970613345703
435.88,0.04684978262380407
436.09,0.06358106553541748
436.29,0.036839327003858675
436.5,0.03876211560576076
436.71,0.020341953647940662
436.92,0.026894090843938862
437.12,0.04333851555540031
437.33,0.02313636538387608
437.54,0.019309446381217045
437.74,0.03448733547173988
437.95,0.008339849521812043
438.16,0.054781002625913656
438.36,0.027522621584134706
438.57,0.033780945807532395
438.78,0.03293248055419001
438.99,0.035892756976173154
439.19,0.020200069153819583
439.4,0.03669402422682788
439.61,0.05343735838426399
439.81,0.044390599966884894
440.02,0.03515471743667487
440.23,0.023146420297305126
440.43,0.03385215204487441
