Wavelength [nm],#30-Rouge-BP.csv
434.64,0.03698862612521754
434.84,0.03918823799242337
435.05,0.022108787668203955
435.26,0.00552821465549138
435.47,0.01976244249717356
435.67,0.0358390050719839
435.88,0.011786448801406474
436.09,0.028366539220172248
436.29,0.03821723926851696
436.5,0.016289736709666176
436.71,0.008494237289941456
436.92,0.026894090843938862
437.12,0.010039203551527369
437.33,0.008173465072469367
437.54,0.030839003373968988
437.74,0.03790387002421072
437.95,0.02288032093644823
438.16,0.004298470088717199
438.36,0.009841214703846246
438.57,0.03719514741245277
438.78,0.03848236588816884
438.99,0.017775305429416677
439.19,0.031469757127016516
439.4,0.012442964696873898
439.61,0.013259519639423397
439.81,0.020403118419242246
440.02,0.01966556239886898
440.23,0.02249387949590052
440.43,0.02530217108951932
440.64,0.0345526275558517
440.85,0.023035005612724445
441.05,0.015117159803406771
441.26,0.011928683431093585
441.47,0.0196282303448177
441.67,0.012227048589699306
441.88,0.011776577568314494
442.09,0.020013862613720353
442.29,0.027680369041047596
442.5,0.029663648346469475
442.71,0.03815485872961106
442.91,0.04803700907587851
443.12,0.01496439506002961
443.33,0.01758334707218995
443.53,0.02912109404546567
443.74,0.029791076447283793
443.95,0.027463312856607896
444.15,0.02867759844258822
444.36,0.030060209651836988
444.57,0.01661230064223396
444.77,0.015070084554144934
444.98,0.022557629355800246
445.19,0.02500598201975778
445.39,0.03293453231837421
445.6,0.01292806760486594
445.81,0.020512831489968363
446.01,0.008359580257550991
446.22,0.006489872810977741
446.43,0.015148176592526694
446.63,0.025562418676348668
446.84,0.02491555423006855
447.05,0.013602543212971323
447.25,0.025005693463903463
447.46,0.014502094747019037
447.67,0.0145683256103562
447.87,0.015157190835903793
448.08,0.0095959797057289
448.28,0.004673980309423372
448.49,0.029601267088004205
448.7,0.0027041432347470677
448.9,0.038573280488631345
449.11,0.012102613832834662
449.32,0.024491333015518528
449.52,0.033731951185900895
449.73,0.03373071455992366
449.93,0.031900924099031336
450.14,0.030731795424426757
450.35,0.03477895543408936
450.55,0.039821092731787654
450.76,0.025842389222670938
450.97,0.012933292202965964
451.17,0.0020955528676501163
451.38,0.031189304641013042
451.58,0.021472970826494436
451.79,0.026563010817245932
452.0,0.02509420688746397
452.2,0.020685519342161982
452.41,0.02370979291943381
452.62,0.030853645367470747
452.82,0.014727751859948067
453.03,0.040031073862314644
453.23,0.010030687849291621
453.44,0.02185279856807471
453.65,0.013057913095335796
453.85,0.036007963821268085
454.06,0.011098694718612714
454.26,0.02362831876116929
454.47,0.017977439560872496
454.68,0.013139114698310264
454.88,0.011462153974873922
455.09,0.030123317881971933
455.29,0.008886689373429226
455.5,0.0239262886334514
455.71,0.024891541798713904
455.91,0.0013065083896095706
456.12,0.026039200833254447
456.32,0.017758673263625922
456.53,0.030205332011854158
456.73,0.040293906320131086
456.94,0.029724374656979954
457.15,0.0065864338839442815
457.35,-0.000806116623262798
457.56,0.04083913518006475
457.76,0.00989154567964405
457.97,0.017081762992144794
458.18,0.024263696017091427
458.38,0.018536609670640216
458.59,-0.0017578219493008833
458.79,0.01811360530241451
459.0,0.007373979731178775
459.2,0.015812845418794304
459.41,0.026675638694812098
459.62,0.011905407746652661
459.82,0.022920780573312274
460.03,0.0076309671613435616
460.23,0.005714266877854473
460.44,0.014667458535124175
460.64,0.025758980398052352
460.85,0.015823584290349496
461.06,0.004447687726037319
461.26,0.007111665214350337
461.47,0.015828261521385795
461.67,0.03251267235903817
461.88,0.013051386019269568
462.08,0.0036242189258562122
462.29,-0.0012166523887403218
462.49,0.018509615790104045
462.7,0.010246489088321698
462.91,0.02016226120604716
463.11,0.026896520245970418
463.32,0.02384412746050518
463.52,0.002903884490286774
463.73,0.001084121175395674
463.93,0.012865354970498243
464.14,0.02334343037281971
464.34,0.004363971078759875
464.55,0.032177424425764656
464.75,0.009315932171447433
464.96,-0.006042400025133016
465.16,0.01774506679843397
465.37,0.022022177785857133
465.58,0.01893191139572818
465.78,0.014988287199240561
465.99,0.01826890465478458
466.19,0.0059654500440369925
466.4,0.013520930422869478
466.6,0.018066927862350573
466.81,0.018342905417397307
467.01,0.01829707055540075
467.22,0.009746127218548074
467.42,0.005797785221781138
467.63,0.009769885281181268
467.83,0.012122937184133806
468.04,0.03049439843158746
468.24,0.02681664929647393
468.45,0.0001597652548377906
468.65,0.008106184179958545
468.86,0.019120963084257023
469.06,0.00533219936797136
469.27,0.019737338908578032
469.47,0.01868319767404629
469.68,0.0158687654692519
469.88,0.004712736973906929
470.09,0.009152585842194907
470.29,0.01823932626629201
470.5,0.0011534328672189729
470.7,0.003423678778719338
470.91,0.0024435955325850123
471.11,0.018016120876832943
471.32,0.009574704965486541
471.52,0.014963484200297762
471.73,0.017551430644513945
471.93,0.009535752599508535
472.14,0.008161386737053418
472.34,0.01371099663407954
472.55,0.00913136662888402
472.75,0.016429406065524513
472.96,0.010942939357184166
473.16,0.006881464109424875
473.37,0.007335969410412929
473.57,0.006934974911864717
473.78,0.00884384777849352
473.98,0.004337963789449914
474.19,0.015584841039386505
474.39,0.014534669916620667
474.6,0.007757008681308535
474.8,0.01191515385151017
475.01,0.005498060493901156
475.21,0.015270932545871729
475.42,0.012575181950296941
475.62,0.010145259231484693
475.83,0.004365005600438513
476.03,0.008987480551197137
476.24,0.013478166702763951
476.44,0.0037292437412574223
476.64,0.009070249713449025
476.85,0.009292372083812441
477.05,0.009645606266262033
477.26,0.014169271301065661
477.46,0.004392545424454468
477.67,0.01740927803733896
477.87,0.008237101036166239
478.08,0.007795330055846248
478.28,0.012512843832118554
478.49,0.015830983079052466
478.69,0.010052481469306764
478.9,0.011337048127136486
479.1,0.006951627094800247
479.3,0.007882126420667528
479.51,0.001059413223147549
479.71,0.00960350466510554
479.92,0.006383503362268213
480.12,0.004465394225922723
480.33,0.01363970125881843
480.53,0.009443356258552976
480.74,0.006281331606111086
480.94,0.009239498475310456
481.14,0.00997563810031235
481.35,0.004100641808339125
481.55,0.006897845812765557
481.76,0.015217615499183365
481.96,0.006383928675784792
482.17,0.0022367376670157733
482.37,0.00751601016169912
482.57,0.01396609411147633
482.78,0.010903831543461024
482.98,0.003575427383931123
483.19,0.012362583824877989
483.39,0.001515008946357604
483.6,0.007129218807950666
483.8,0.012022528835948516
484.0,0.0076218806055030125
484.21,0.01025022761966778
484.41,0.007736841762596519
484.62,0.012102786210987763
484.82,0.003001515063753416
485.02,0.018143755855212423
485.23,0.007345381269586833
485.43,0.012986538387206733
485.64,0.008141753535253241
485.84,0.012828638848025866
486.05,0.00783192034844424
486.25,0.005054199229816692
486.45,0.003741249050518965
486.66,0.007524670365131443
486.86,0.00452795879777137
487.07,0.008565380058490434
487.27,0.00856094688501676
487.47,0.0015700617557624006
487.68,0.008529222440457531
487.88,0.009626914972040573
488.09,0.006896364087757074
488.29,0.005470325835922281
488.49,0.002843205888166361
488.7,0.004797709304061599
488.9,0.013258077215456241
489.1,0.007527060634053023
489.31,0.006801276185231285
489.51,0.013887570583469065
489.72,0.0036190802029126955
489.92,0.008616471475676471
490.12,0.004674027990815818
490.33,0.008375198969244536
490.53,0.008133623362682547
490.74,0.009446196974696824
490.94,0.006894033116604204
491.14,0.005079956771074573
491.35,0.0045339305462711735
491.55,0.006175836210903078
491.75,0.010006143008016178
491.96,0.007193061227225076
492.16,0.006506792434233948
492.36,0.009209821295529871
492.57,0.005490131204830495
492.77,0.007752347336844569
492.98,0.00720739955711917
493.18,0.008300544673329116
493.38,0.005813552457273845
493.59,0.004338498380800957
493.79,0.0016969891995469318
493.99,-0.0024052390023885585
494.2,0.0008846711099917878
494.4,0.0065876800838464014
494.6,0.002356312110905403
494.81,0.007305234676546452
495.01,0.0016950662566520204
495.22,0.0051011216170596405
495.42,0.004239824622555366
495.62,0.013451230377463385
495.83,0.005646062156496871
496.03,0.008321538734489467
496.23,0.009641832089150138
496.44,0.005497389557426588
496.64,0.003195397639190146
496.84,0.0035581229377895274
497.05,0.009541853665846119
497.25,0.003669401800340684
497.45,0.0053415010047016195
497.66,0.0005419153253092488
497.86,0.007814732198801981
498.06,0.007289064822969785
498.27,0.002799742870742393
498.47,0.005938318115062901
498.67,0.005675333031506085
498.88,0.00510662445263627
499.08,0.007836103908194537
499.28,0.0042974339755569085
499.49,0.006995065659324094
499.69,0.00903478663356517
499.89,0.007123029184610981
500.1,0.003893211319287869
500.3,0.0121201252808444
500.5,0.002181546061639663
500.7,0.007364560469129951
500.91,0.0011025241273364998
501.11,0.005999762163903206
501.31,0.005584825059389369
501.52,0.007629354861241081
501.72,0.008703054769547077
501.92,0.0005199967021970863
502.13,0.0032726013539883937
502.33,0.004596707120561509
502.53,0.00874387629845215
502.74,0.00682850922422237
502.94,0.005548438985547007
503.14,0.008620927898215386
503.34,0.004322483496644736
503.55,0.01310517855421499
503.75,0.006319896036795032
503.95,0.00753304713228304
504.16,0.007385883597716494
504.36,0.005870098186274797
504.56,0.004257326910016234
504.76,0.004617615127663948
504.97,0.005118893185346921
505.17,0.005854812514343021
505.37,0.0036912295114868137
505.58,0.0046291761686913496
505.78,0.005465072844643238
505.98,0.005117416184860114
506.18,0.003355202569390994
506.39,0.002914687391966818
506.59,0.006985022806838451
506.79,0.004273381389325683
507.0,0.009176744985713808
507.2,0.0047263123370906825
507.4,0.0036229752193816184
507.6,0.004243624418950085
507.81,0.006290572600851455
508.01,0.002558174176041247
508.21,0.005471876410293496
508.41,0.006711173594096242
508.62,0.005290714465834565
508.82,0.0021294177000605557
509.02,0.010860360604794892
509.23,0.0023490810919043568
509.43,0.010648024310249686
509.63,0.0025208182276512457
509.83,0.00019877440271694522
510.04,0.0037231592007663803
510.24,0.0030418017672347313
510.44,0.010227185761784227
510.64,0.010757567863537192
510.85,0.0020563942577784206
511.05,0.006112157928761284
511.25,0.004689187383465781
511.45,0.005784231185453896
511.66,0.005681420181100268
511.86,0.00688285185141496
512.06,0.0041363398899844275
512.26,0.009762823098911116
512.46,0.005073705114076536
512.67,0.0024223057803716393
512.87,0.003322851561308517
513.07,0.010011475906560836
513.27,0.005136491747582137
513.48,0.007550490738512257
513.68,0.005489850477096858
513.88,0.0021061675891211593
514.08,0.009140630139534466
514.29,0.006992930886480172
514.49,0.005863528074721296
514.69,0.00577535440487564
514.89,0.0016840141861894698
515.09,0.007260375234772981
515.3,0.0008109839412557363
515.5,0.004743510288686116
515.7,0.004058156571026286
515.9,0.0025403358099859216
516.11,0.0043579271981767555
516.31,0.003754707790121103
516.51,0.0022607292183512264
516.71,0.0022585178229383653
516.91,-0.0011477037044097511
517.12,0.004234120545124239
517.32,0.0049788542287008165
517.52,0.004313937022031663
517.72,0.005035433982590291
517.92,0.003171546670953438
518.13,0.004235131621500094
518.33,0.007515361117710371
518.53,0.003874167453130819
518.73,0.007454511426378202
518.93,0.004645601919374912
519.14,0.006147673924522259
519.34,0.003403351343582301
519.54,0.0035931049372426157
519.74,-0.0001784396980884234
519.94,0.005073985297408598
520.15,0.003332512310085749
520.35,0.0036334731376737096
520.55,0.004718316385948304
520.75,0.005173796976071978
520.95,0.002118387978942362
521.16,0.002014793403822761
521.36,0.0015540483062118405
521.56,0.006830227545591397
521.76,0.005225318872263022
521.96,0.0016326812213251019
522.16,0.0036372251682926845
522.37,0.0033761365216985863
522.57,0.0022000210532219806
522.77,0.002860176893923027
522.97,0.006804075358051082
523.17,0.002471138080328804
523.37,0.005432534931480069
523.58,0.005833071077732565
523.78,0.0038100395316947385
523.98,0.006990629901513142
524.18,0.00524226976735318
524.38,0.00782948439836625
524.58,0.006804794819782848
524.79,0.00224527421264495
524.99,0.004253092190893257
525.19,0.0038904672308718736
525.39,0.0015586480558742245
525.59,0.005679028783686511
525.79,0.004302757599819628
526.0,0.00580359147244905
526.2,0.004038512608479059
526.4,0.005437847277530196
526.6,0.004024632279505828
526.8,0.004771566909923797
527.0,0.0029298040134900696
527.2,0.004523763455485551
527.41,0.005039690859244956
527.61,0.0015573061970567226
527.81,0.0028063931917412226
528.01,0.002488102155970195
528.21,0.0042905969337461965
528.41,0.005396736914638479
528.61,0.0030553534308550207
528.82,-0.0004884636827833774
529.02,0.001739770064632519
529.22,0.005456660365185181
529.42,0.0024588857347320196
529.62,0.005057793976064158
529.82,0.0038975511815473153
530.02,0.004271607572488437
530.22,0.006182543054347429
530.43,0.005365585225845215
530.63,0.004104704309690062
530.83,0.004596715763967001
531.03,0.0016293265134723486
531.23,0.004252690341125996
531.43,0.003350329422892454
531.63,0.0019903324494732733
531.83,0.0046327443211984995
532.03,0.008175427426277568
532.24,0.003827084550198228
532.44,0.0011189031597194905
532.64,0.006445018530451576
532.84,0.007035874622153471
533.04,0.0035488867251041154
533.24,0.002083938887038813
533.44,0.0032511407393533915
533.64,0.00625864630736018
533.84,0.0032773667474369377
534.04,0.006436209699989399
534.25,0.0022120359476247766
534.45,0.0057462301155886695
534.65,0.005174419207444102
534.85,0.00526319213578906
535.05,0.00652018013398736
535.25,0.001551795365134792
535.45,0.007647055838613596
535.65,0.0017607861127464574
535.85,0.0031555558465598014
536.05,0.001553294447561162
536.25,0.0031214651112552996
536.46,0.00712792109180357
536.66,0.0014209444556796272
536.86,0.004033730459137428
537.06,0.005841122847187698
537.26,0.00452810419817043
537.46,0.006309977294950975
537.66,0.003740715071770067
537.86,0.002406048745692553
538.06,-0.00016332265139144716
538.26,-0.0004795669803468915
538.46,0.004596715763967001
538.66,0.003927772984871163
538.86,0.0012200221356164253
