Wavelength [nm],#42-Inocnnu.csv
441.67,0.02415819040584407
441.88,0.04939282397055285
442.09,0.006023145532280928
442.29,0.024496611244849323
442.5,0.04058163823849232
442.71,0.01596847148185446
442.91,0.01665361377068769
443.12,0.022615157040145883
443.33,0.02090456631805814
443.53,0.020710014414671435
443.74,0.036694244726119415
443.95,0.02293687880740328
444.15,0.02065524061523984
444.36,0.03440137239636201
444.57,0.03230131945776948
444.77,0.03176381193458316
444.98,0.031460812953079884
445.19,0.020571311372674157
445.39,0.035544695523992635
445.6,0.034399881873218185
445.81,0.02408325859267808
446.01,0.03380216924969142
446.22,0.031900924099031336
446.43,0.02109534943919018
446.63,0.01171926588422762
446.84,0.039935339285058255
447.05,0.021838360128983766
447.25,0.03525609742872328
447.46,0.021298632024625803
447.67,0.06578484026613374
447.87,0.026463543327817887
448.08,0.025325925910402617
448.28,0.04095864978902956
448.49,0.038761733415052624
448.7,0.032943556720655284
448.9,0.027026436196143352
449.11,0.025109042615406557
449.32,0.028122258575014117
449.52,0.0434615224766659
449.73,0.03661510048661045
449.93,0.031281142360298324
450.14,0.02001229840059911
450.35,0.019044944676275148
450.55,0.027026461623428675
450.76,0.0246254527944669
450.97,0.01696213590825998
451.17,0.03107281449036808
451.38,0.026608639414729414
451.58,0.025594324138296206
451.79,0.023133403104329594
452.0,0.01623142695007728
452.2,0.007988657417060362
452.41,0.03189099577206425
452.62,0.026322277256973826
452.82,0.013571329033492606
453.03,0.021045285459097132
453.23,0.02414983327766157
453.44,0.03832566084538355
453.65,0.025853667322397394
453.85,0.01199193974497291
454.06,0.028447840425303718
454.26,0.03141703872546765
454.47,0.01589135871023176
454.68,0.03891132497822382
454.88,0.03543598202605087
455.09,0.020891568948037738
455.29,0.02453300728751227
455.5,0.024452473922597785
455.71,-0.0007692071013199396
455.91,0.04148687120717954
456.12,0.02442757237351907
456.32,0.040728682018040016
456.53,0.03238342222631378
456.73,0.01667353162282024
456.94,0.025069534236890838
457.15,0.016620914349763028
457.35,0.019758392622420684
457.56,0.028869140665220203
457.76,0.007859511909874205
457.97,0.030860990613750243
458.18,0.016596831397005712
458.38,0.025956947803170656
458.59,0.010197517546861832
458.79,0.03450321128370956
459.0,0.016036527135988816
459.2,0.035292056791010155
459.41,0.016576917554787917
459.62,0.019203004439808845
459.82,0.02538690682123425
460.03,0.024309438301489048
460.23,-0.004366049310480643
460.44,0.020925066272810246
460.64,0.025294613849147704
460.85,0.041988722208003454
461.06,0.014309290819317139
461.26,0.03331288516008276
461.47,0.024602452354776115
461.67,0.02615405999334934
461.88,0.01809385455330953
462.08,0.016721661033452066
462.29,0.016103770237878925
462.49,0.014758099749167988
462.7,0.028858054626198004
462.91,0.027757902592046794
463.11,0.023833694545305758
463.32,0.029096984173722192
463.52,0.03207186266676353
463.73,0.036618678129630614
463.93,0.02595396660262594
464.14,0.020772153752476104
464.34,0.01603320875552619
464.55,0.02706118173550438
464.75,0.02162010128310013
464.96,0.02806073217910878
465.16,0.01813531508337698
465.37,0.010297764042901307
465.58,0.009360515409345037
465.78,0.010051836826684712
465.99,0.020962796331545266
466.19,0.019846460051179998
466.4,0.020188979799732786
466.6,0.014004316889501382
466.81,0.0191323361327834
467.01,0.014828155610366829
467.22,0.02696460645933839
467.42,0.021911880674273944
467.63,0.019734929298105646
467.83,0.023376787668330217
468.04,0.013485528228632854
468.24,0.01201538160516555
468.45,0.013721518184578885
468.65,0.018467192005376803
468.86,0.01089631202736235
469.06,0.0222201835089864
469.27,0.011553657890391932
469.47,0.010137623198058304
469.68,0.01757614096288609
469.88,0.01240915869150765
470.09,0.01415013500573461
470.29,0.016230266224544994
470.5,0.01078967719418193
470.7,0.016175147455763282
470.91,0.012582693414057098
471.11,0.01636239255227389
471.32,0.016173350649409377
471.52,0.008344038814123763
471.73,0.020348658459825357
471.93,0.00828398103881281
472.14,0.008778010058945209
472.34,0.014019308295025436
472.55,0.026172572018318473
472.75,0.019445568573756577
472.96,0.0192724903981561
473.16,0.0074939331417348196
473.37,0.01702507046465638
473.57,0.0178672587346142
473.78,0.014938805083515961
473.98,0.018357423606551435
474.19,0.005097659643114199
474.39,0.01107891773631659
474.6,0.01651043290751213
474.8,0.016684444704583516
475.01,0.007757008681308535
475.21,0.011141512358057382
475.42,0.012575181950296941
475.62,0.009874511217051293
475.83,0.01019518123972261
476.03,0.014201963684313701
476.24,0.015657723362906974
476.44,0.00991405961042706
476.64,0.012754003431986388
476.85,0.011028280317958453
477.05,0.007890547846987055
477.26,0.009652866842785992
477.46,0.0028840492811581875
477.67,0.00788659315221243
477.87,0.010698051157664586
478.08,0.014037120866044167
478.28,0.014943880651832688
478.49,0.015339880775199696
478.69,0.009810084917266928
478.9,0.006191416487391277
479.1,0.010018047248664284
479.3,0.015888774344165583
479.51,0.01124784899909742
479.71,0.01706539606831365
479.92,0.008010097252928672
480.12,-0.0017265971023196366
480.33,0.011835246104478286
480.53,0.015891424197610655
480.74,0.009939752842719973
480.94,0.008125533440989915
481.14,0.0016037928891051044
481.35,0.0056546532901361884
481.55,0.010185537782045742
481.76,0.004105198612466861
481.96,0.004001156322489312
482.17,0.006081682801246926
482.37,0.007928171287047252
482.57,0.00241018854491575
482.78,0.01281042085939781
482.98,0.009919473748913282
483.19,0.00806939696094142
483.39,0.011856750324045614
483.6,0.008335134736524006
483.8,0.009760769796863277
484.0,0.01098990376974866
484.21,0.008457924208918687
484.41,0.0075357345152845204
484.62,0.014104198718664043
484.82,0.007463660452648857
485.02,0.00287043650184906
485.23,0.0031448808633415754
485.43,0.0106420883596229
485.64,0.0043077440784896285
485.84,0.010126703548685174
486.05,0.006090256077552099
486.25,0.005817926576406739
486.45,0.007199813663265476
486.66,0.004177994469022857
486.86,0.008783694289899857
487.07,0.006906537972698729
487.27,0.0027245225313205033
487.47,0.009725049185267962
487.68,0.010548137389208914
487.88,0.009259974221752334
488.09,0.010299994218454022
488.29,0.01196688025841999
488.49,0.010194159033111688
488.7,0.010053740342157067
488.9,0.007636617089213514
489.1,0.008590424497659396
489.31,0.01599428680081832
489.51,0.007596582198036651
489.72,0.007331642182284384
489.92,0.009661499791056995
490.12,0.006969440024897669
490.33,0.007338476751752894
490.53,0.003057899889507639
490.74,0.005977871333851925
490.94,0.008767817959780422
491.14,0.009561578587421083
491.35,0.009500984230744356
491.55,0.00414382224507088
491.75,0.0037808247366525817
491.96,0.004821976760691666
492.16,0.010566008808353523
492.36,0.00802628353939825
492.57,0.0053210543825259774
492.77,0.006918245409589058
492.98,0.008202181721891596
493.18,0.012083146244226866
493.38,0.010402609584078383
493.59,0.006305237149431474
493.79,0.00769328975143277
493.99,0.007031110894083143
494.2,0.004927053893977903
494.4,0.0060993568068107695
494.6,0.0007280377712790042
494.81,0.014856076879200979
495.01,0.008332086247486667
495.22,0.007370359853840541
495.42,0.009044843966503145
495.62,0.008294490647322716
495.83,0.00819283068627053
496.03,0.008162946305053115
496.23,0.007916469427284545
496.44,0.007251643681042416
496.64,0.006785517566264782
496.84,0.006249925243535209
497.05,0.004808104360441528
497.25,0.008828496377555301
497.45,0.006736099305209126
497.66,0.0017908476398043325
497.86,0.007505061391123704
498.06,0.008857576333756688
498.27,0.011590990007616833
498.47,0.008716751387412104
498.67,0.0020403304409129627
498.88,0.005411759669795406
499.08,0.007683861481296914
499.28,0.009929058858020373
499.49,0.004687540637618419
499.69,0.007667518977532989
499.89,0.008923622149668358
500.1,0.007714397404452485
500.3,0.008806608396590487
500.5,0.003086049872431348
500.7,0.004536115155529691
500.91,0.0061198847684460515
501.11,0.0030348099257642143
501.31,0.009012815020965214
501.52,0.0051095190184690265
501.72,0.005130813525473374
501.92,0.009957532704559433
502.13,0.006330940829670195
502.33,0.005034889054330888
502.53,0.0027157687529517846
502.74,0.004183578489799527
502.94,0.0051042229815203
503.14,0.013114677164943755
503.34,0.007301430333312418
503.55,0.0022410788025000513
503.75,0.005156846902675699
503.95,0.00394391450944304
504.16,0.0032884053050342083
504.36,0.004854791896123633
504.56,0.008446582316894158
504.76,0.004764340125434045
504.97,0.015797918700908905
505.17,0.0048421500707458735
505.37,0.005720076462299786
505.58,0.00805067427409831
505.78,0.006885634088973129
505.98,0.004973146668645621
506.18,0.006785993610460216
506.39,0.0039113455653576835
506.59,0.0038787623919017875
506.79,0.006096542803683255
507.0,0.004411150040108245
507.2,0.005137639112540293
507.4,0.00433416510145201
507.6,0.006471890434236351
507.81,0.00808901650398231
508.01,0.003943125336585483
508.21,0.008660355200726066
508.41,0.007932096762308907
508.62,0.008507669438590253
508.82,0.0011659564481847522
509.02,0.006708382266771086
509.23,0.004903712824957432
509.43,0.006628446944229574
509.63,0.0052502728227322385
509.83,0.009791461837501687
510.04,0.005213982932067097
510.24,0.008050281513957381
510.44,0.010227185761784227
510.64,0.011299025133453154
510.85,0.003651402684643985
511.05,0.0047679763733498165
511.25,0.0033672179152541538
511.45,0.006981760885578483
511.66,0.0065962769185782255
511.86,0.003341158151770026
512.06,0.008210745784587897
512.26,0.008469240895251954
512.46,0.00823890011371362
512.67,0.011339787469202285
512.87,0.008541056526956116
513.07,0.007491070981225804
513.27,0.008519938603640066
513.48,0.004122559722769623
513.68,0.00485841546152676
513.88,0.006070123099723062
514.08,0.009392885579926642
514.29,0.0053540973332904095
514.49,0.009017914646384193
514.69,0.005029685920679297
514.89,0.003059105075740173
515.09,0.006515354878476376
515.3,0.004319988387467305
515.5,0.009680549604221761
515.7,0.006432719882000123
515.9,0.004898103117725442
516.11,0.005832224443194262
516.31,0.007204907936302502
516.51,0.0064220559119940205
516.71,0.008494402086545
516.91,0.006801736676303801
517.12,0.005069694886551251
517.32,0.005098909868875926
517.52,0.011002923642745998
517.72,0.005153995060523729
517.92,0.005807391138890821
518.13,0.006026075629375094
518.33,0.007515361117710371
518.53,0.003396924270691308
518.73,0.005457910632892038
518.93,0.005469473361560602
519.14,0.003281136750407193
519.34,0.004904597743644112
519.54,0.005008120646207479
519.74,0.005657588074686045
519.94,0.006474631962874471
520.15,0.004385948292376909
520.35,0.005596188196382811
520.55,0.0007544441541481684
520.75,0.005522817980524297
520.95,0.004068047489844325
521.16,0.005359093264151989
521.36,0.006860635686675648
521.56,0.005023026776880999
521.76,0.005450202941693956
521.96,0.004904537051880145
522.16,0.003413197562934234
522.37,0.004594909450910517
522.57,0.002990939392325983
522.77,0.007239507198105122
522.97,0.001933840131900881
523.17,0.005880177295355791
523.37,0.0037853546315984527
523.58,0.00472140057686902
523.78,0.005799545721468342
523.98,0.007100768474061776
524.18,0.0059048526249681765
524.38,0.005200347556758742
524.58,0.005279818632842396
524.79,0.00992284163103726
524.99,0.00701690619058546
525.19,0.0066324555945834135
525.39,0.0037127825800255206
525.59,0.007951886125097481
525.79,0.0013594878883235835
526.0,0.007431642359775825
526.2,0.0025296433493641043
526.4,0.00608429651556885
526.6,0.004132038228790903
526.8,0.006198496393785162
527.0,0.004849502754291993
527.2,0.008571280787894233
527.41,0.004508875500121633
527.61,0.006830392206578626
527.81,0.004714694799496768
528.01,0.0038167893325856193
528.21,0.005160212132930698
528.41,0.0019367002625388654
528.61,0.005523569455730191
528.82,0.006414432142539837
529.02,0.006070387928070258
529.22,0.005456660365185181
529.42,0.00486840533440658
529.62,0.0018230579103334806
529.82,0.0051799489270490245
530.02,0.005010435084359603
530.22,0.0033276572859111467
530.43,0.004834036265405842
530.63,0.004851572433734648
530.83,0.004596715763967001
531.03,0.004367473930207551
531.23,0.005330105737857087
531.43,0.002711587912161558
531.63,0.002529098195289796
531.83,0.005165596171133617
532.03,0.003842423614247326
532.24,0.003611299233302354
532.44,0.0035765695297800865
532.64,0.005036181842067619
532.84,0.004918906014589573
533.04,0.006305614640101699
533.24,0.0056158168382108116
533.44,0.00463818154115048
533.64,0.00625864630736018
533.84,0.004352928022124067
534.04,0.005158998614440376
534.25,0.005021488737895706
534.45,0.006906632393437849
534.65,0.0032528760746759933
534.85,0.005369581099196997
535.05,0.006196711557951106
535.25,0.004661557789623149
535.45,0.004283147553320761
535.65,0.0036849996327690065
535.85,0.007117236236858114
536.05,0.001875304780463475
536.25,0.005451610432924699
536.46,0.0029458267968019867
536.66,0.0008935445108479381
536.86,0.0037107841979374077
537.06,0.004876024163725794
537.26,0.006340573109879877
537.46,0.0009141800387332884
537.66,0.006060785387046986
537.86,0.0016565416448253048
538.06,0.004537295399950277
538.26,0.005662242385112478
538.46,0.008276580031013333
538.66,0.006297065772667988
538.86,0.0023899273380983996
539.07,0.00784071806773997
539.27,0.004897029125333501
539.47,0.004086392332636543
539.67,0.0073104104656922875
539.87,0.003667747892566337
540.07,0.000903070093194537
540.27,0.004602194880949833
540.47,0.007730699822685446
540.67,0.005968837874503843
540.87,0.005224052740640808
541.07,0.0028784109012723485
541.27,0.008923136437274834
541.47,0.006925336732568716
541.67,0.003161649305830243
541.87,0.006897921309893054
542.07,0.005725907565015923
542.27,0.004715694684802178
542.47,0.00494981791152857
542.67,0.0013263771540238775
542.87,0.0034207344176964216
543.08,0.00599007111087031
543.28,0.0056026249797876135
543.48,0.007755470121980164
543.68,0.0055408130114041896
543.88,0.0038288103724923865
544.08,0.004646113046831363
544.28,0.005171107039037545
544.48,0.004185498485507911
544.68,0.002596837454312957
544.88,0.006253960424799929
545.08,0.0034879771625786885
545.28,0.004781095587493125
545.48,0.004078594263578253
545.68,0.003509444195311417
545.88,0.0019628372037730855
546.08,0.006122119754747358
546.28,0.006592245314882491
546.48,0.006786822288101613
546.68,0.005430902591036605
546.88,0.0019590899292858234
547.08,0.005073082448257216
547.28,0.006267074489599041
547.48,0.005421178474560928
547.68,0.007338452837477273
547.88,0.005843629371193378
548.08,0.00845688260050558
548.28,0.006181235889727212
548.48,0.004300201537309632
548.68,0.000364797805618344
548.88,0.009048446963694423
549.08,0.006767036383223277
549.28,0.006290274899432841
549.48,0.006642395915406486
549.68,0.0050657228194365906
549.88,0.005053048572640343
550.08,0.003269917099061412
550.28,0.008719924153006207
550.48,0.006319841656218813
550.68,0.0030259571948752667
550.88,0.004219061186699556
551.08,0.00610635462837639
551.28,0.004413295580910735
551.48,0.003197242015481585
551.68,0.00803937678312198
551.88,0.0032510011441116192
552.08,0.00663406469087214
552.28,0.0055333349463696484
552.48,0.0037870869677601405
552.68,0.002613647143240491
