Wavelength [nm],#2-IF@532∆10.csv
443.74,0.003433524837184128
443.95,-0.009394792972629702
444.15,0.021889449511754977
444.36,-0.010250587261609686
444.57,0.000295721074077025
444.77,0.002870822237670848
444.98,-0.005423804807078601
445.19,0.023738933263448173
445.39,0.0029176554537623457
445.6,0.010401971808589204
445.81,0.0014705536088498877
446.01,-0.005913091616088763
446.22,0.0009118371623806105
446.43,-0.009829949363459947
446.63,-0.0003182582828341638
446.84,-0.006926390086509616
447.05,0.0047332019188040765
447.25,-0.022025571786446277
447.46,-0.013919788413881981
447.67,0.0003054987441903022
447.87,0.008016336630484363
448.08,-0.011377281900502724
448.28,-0.004084388185653984
448.49,-0.005819202709916345
448.7,0.006937661122774218
448.9,-0.004575453446455366
449.11,0.014467419066029554
449.32,0.011783093557283969
449.52,-0.017348298090615357
449.73,0.002002469366368913
449.93,-0.016442051522143796
450.14,0.006471881107343141
450.35,-0.0045560714604461795
450.55,-0.0014706712997345033
450.76,-0.010057235409348062
450.97,-0.0060598281219915425
451.17,-0.020241086299861648
451.38,0.006568229049738549
451.58,0.0014549690263144191
451.79,0.00770016839620607
452.0,-0.0003124289330445436
452.2,0.003020320142020598
452.41,0.017164830637329456
452.62,-0.0002995103921955927
452.82,0.0014288893557102764
453.03,-0.0015003382697236626
453.23,0.0024280710801693416
453.44,0.024692947236576234
453.65,-0.00029417827203283005
453.85,0.015343012871897817
454.06,0.00513492588193768
454.26,0.00526919313103743
454.47,-0.007055530646816361
454.68,0.013139114698310264
454.88,0.012482316870668685
455.09,0.03392462626653307
455.29,-0.007838684948521614
455.5,0.0007741359110103532
455.71,0.004765464230059909
455.91,0.0007778194051678604
456.12,0.0018647739372238074
456.32,0.009008193738134839
456.53,-0.013356472277338242
456.73,0.008971235525871054
456.94,-0.0033767127747648656
457.15,0.012395869943102503
457.35,-0.00502447749417223
457.56,0.01950131887099403
457.76,0.0022714190430071376
457.97,0.0033025353705393484
458.18,-0.0038481409232228574
458.38,0.00715875786742687
458.59,0.03261377910216692
458.79,-0.013175642480057865
459.0,-0.009441553466393658
459.2,0.005586259448380985
459.41,0.009844436794771793
459.62,0.005580823945917302
459.82,0.008124023085780406
460.03,0.0025347676462991074
460.23,-0.008031618833511594
460.44,-0.0026613013538526347
460.64,-0.0007099128895124804
460.85,0.012151284231731398
461.06,-0.0058835155145415385
461.26,0.011248699942623877
461.47,0.01046625601209171
461.67,0.003165230671243573
461.88,-0.00849370680799208
462.08,-0.013839037217604926
462.29,0.0011889618649567957
462.49,0.008192946677529888
462.7,-0.0007295623827335571
462.91,-0.006897211231576538
463.11,0.0058942868699841675
463.32,0.007647819261419391
463.52,0.014571075760877478
463.73,0.0015228194093985746
463.93,0.0027322362875606718
464.14,-0.0010836975204445611
464.34,0.01228238235942273
464.55,0.0010536147266813143
464.75,0.004553027999194777
464.96,-0.0006358058951922439
465.16,-0.003718588873431797
465.37,-0.006278131248863827
465.58,0.0005867357551604929
465.78,0.00207757084024834
465.99,-0.006360962104170256
466.19,0.0024951975422512407
466.4,-0.008836646899554554
466.6,-0.008340043461169169
466.81,0.003738437182754646
467.01,0.0009524958302311513
467.22,-0.008620250638294929
467.42,0.008421010062884619
467.63,-0.00019515873574310882
467.83,0.007551060424929013
468.04,-0.005002374165883022
468.24,0.0009144308366842643
468.45,-0.00492589209381512
468.65,-0.0012187228629178897
468.86,-0.004837803038001373
469.06,-0.014657659411189298
469.27,-0.0037462674914342546
469.47,0.009069426388559806
469.68,0.00562451250744675
469.88,0.005062574324706962
470.09,-0.000842512484884498
470.29,-0.011226887679330878
470.5,0.0024825700157655875
470.7,0.0027697573081017
470.91,-0.0021353518977572207
471.11,0.013054935903155778
471.32,-0.0064505774097546355
471.52,-0.005525275328336044
471.73,0.007294928655038767
471.93,-0.0029819630074487038
472.14,0.0016868418571896072
472.34,0.0035367118228649816
472.55,0.0026247245710999557
472.75,0.000443744771894585
472.96,0.00014537319296128624
473.16,-0.0007743987944494323
473.37,-0.0017280283500083636
473.57,0.00309390221738517
473.78,0.0021684183491832267
473.98,0.003216407004081792
474.19,0.003165810438537722
474.39,0.004455392724067108
474.6,-0.004949574872857975
474.8,-0.0051981839154000755
475.01,0.005780429017327078
475.21,0.0020567879448658145
475.42,0.00039811513411808826
475.62,-0.006370369648952789
475.83,0.0033049736660232224
476.03,0.006380238984638856
476.24,-0.005592954073487505
476.44,-0.004259476756420027
476.64,-0.00066538511411401
476.85,-0.00037911664928676035
477.05,0.005884766796387078
477.26,-0.0006344988677399196
477.46,0.0028840492811581875
477.67,0.003125250709649165
477.87,0.0028230107688698757
478.08,0.002753883632224852
478.28,-0.002559584450109081
478.49,-0.0011120464038680393
478.69,0.0003566193877132945
478.9,-0.004567631486621432
479.1,0.0036493284675620523
479.3,-0.002243928306109422
479.51,0.0008224728562649939
479.71,0.0005587878127320746
479.92,-0.0015170955352254447
480.12,-0.002873262163105259
480.33,-0.004404850284583015
480.53,0.002550593978870629
480.74,-0.00995291263134085
480.94,0.005006431344892399
481.14,-0.005480076135762566
481.35,-0.002559407399362575
481.55,-0.0018693327719816024
481.76,-0.002340003181828711
481.96,-0.00011454137865742628
482.17,-0.00160820746721538
482.37,0.0029822377828696723
482.57,-0.0011616368120211567
482.78,0.002430101250408645
482.98,0.005826540610215115
483.19,0.0005052105816246093
483.39,0.0011094504609580741
483.6,-0.0013121926920627084
483.8,-0.003809784437648147
484.0,-0.0032746649258799648
484.21,0.008059634562085555
484.41,0.0035135895690445386
484.62,0.006498831189494176
484.82,0.00047943288742121
485.02,0.002473726908255206
485.23,0.0018083580068089938
485.43,0.0026318840987114736
485.64,0.0018156379315932799
485.84,0.001441911515090094
486.05,-0.002231028772265903
486.25,-0.003537733419321333
486.45,-0.006250159830748733
486.66,0.005107626662386353
486.86,-0.0045386081202414925
487.07,-0.00028177773239866383
487.27,-0.001982271302305509
487.47,0.0015700617557624006
487.68,-0.0021159654711406664
487.88,-0.0004639556608860227
488.09,0.0006563755148126684
488.29,0.0030573199075659896
488.49,0.003026979716789994
488.7,0.0046164668544720995
488.9,-9.289058437023601e-05
489.1,0.000260740899409483
489.31,0.0030887142058595974
489.51,0.011266325422872226
489.72,-0.00292210042740885
489.92,0.004610529600051131
490.12,-0.0016824976420262308
490.33,-0.001992023205671883
490.53,0.00043252567924475534
490.74,0.0018158805648380465
490.94,-0.002815579252581656
491.14,-0.0016424759534451935
491.35,-0.002317177984036664
491.55,0.0010958012963225852
491.75,0.000920543368728767
491.96,0.003975160879786877
492.16,0.0009253699198195322
492.36,0.0034612093371762897
492.57,0.0021085947587401533
492.77,0.003581837700567016
492.98,-0.0032378131729912996
493.18,0.000570880593668497
493.38,0.0008967055356975532
493.59,0.00286344430432807
493.79,-0.0013821921649349851
493.99,-0.0022396890042048444
494.2,7.619455319456478e-05
494.4,0.002029996164847171
494.6,-0.001877201172123234
494.81,-0.0004062637431858296
495.01,0.003313851620270227
495.22,-0.0033274775481265603
495.42,0.005841497737204626
495.62,0.0005593810521117132
495.83,0.000234179030727845
496.03,0.0015020642687263207
496.23,0.0010150187798221777
496.44,0.003743135433810759
496.64,-0.0014873674830811186
496.84,0.0011830032562492195
497.05,-0.0018191446671248996
497.25,-0.0027403823713502045
497.45,-0.0013215797643898015
497.66,0.0011663814825567907
497.86,0.0030148346797886946
498.06,-0.0016514507885155556
498.27,-0.0009895877917034863
498.47,0.0008445237824226954
498.67,-0.00462384097517443
498.88,0.0029706779325223164
499.08,0.0035733159550611084
499.28,-0.000864888833367934
499.49,0.002533850617359788
499.69,0.0008311806973720869
499.89,0.0027715961857223185
500.1,-0.004360550624667702
500.3,-0.0023388574868090438
500.5,-7.971346533954904e-05
500.7,0.004536115155529691
500.91,0.00021710754361128456
501.11,0.0009593433590669204
501.31,-0.0008240257383393866
501.52,0.0025896831756969728
501.72,0.004833126755133898
501.92,-0.0018768378380854148
502.13,0.0005055323045620026
502.33,0.0002148877828677226
502.53,0.001686579659817576
502.74,-0.0027226295389712303
502.94,0.001698566950648886
503.14,-0.004135521633142568
503.34,6.684515854804709e-05
503.55,-0.0009457237913363306
503.75,0.0005046503661983672
503.95,-0.0005066099428785613
504.16,-0.0003700574562892602
504.36,0.00035843546831133637
504.56,0.0026682989970625384
504.76,0.0008027651856414342
504.97,-7.63084168183694e-05
505.17,-0.0009444924640949701
505.37,-0.0015258055048894008
505.58,0.0023481774317533747
505.78,0.0019136697338185099
505.98,-0.00512571946636885
506.18,-0.0016480343655016216
506.39,-0.0013567047797083207
506.59,0.005714279909818907
506.79,0.0016087608606492306
507.0,0.002448846238976542
507.2,-0.000346717893454523
507.4,0.0056143068891787145
507.6,-0.001884107123087145
507.81,-0.0010415448503743386
508.01,-0.005751532787224169
508.21,-0.002152746784219169
508.41,0.003319720349061061
508.62,0.0012695207498899528
508.82,0.0008906818047916655
509.02,-0.0003499809078693875
509.23,-0.0007433678481072602
509.43,0.004082714612416836
509.63,-0.0007545272864459453
509.83,0.0008743157713637581
510.04,6.386458757371163e-05
510.24,0.0030418017672347313
510.44,0.003722654671500225
510.64,-0.00020694185226104137
510.85,6.263372419646474e-05
511.05,0.003692631129020643
511.25,0.0012520667661155502
511.45,0.004586701485329309
511.66,-0.0017681275383630971
511.86,0.004390548877590748
512.06,-0.0011209580385361777
512.26,0.0001903147918333135
512.46,0.0030954582393033585
512.67,-0.0005939012614387265
512.87,0.0001919285819199573
513.07,0.001919649567327312
513.27,0.0020133100342978956
513.48,0.0023451140109030724
513.68,0.000817231361878138
513.88,0.0030012543173215892
