Wavelength [nm],#37-06804-3-00.csv
424.89,0.039288164135774205
425.09,0.05265442436453515
425.3,0.05570965101520743
425.51,0.03639674542179828
425.72,0.03862877184257969
425.93,0.04668054678888714
426.13,0.021743090823667818
426.34,0.04596806468995904
426.55,0.047512071762273386
426.76,0.0726317156696583
426.96,0.06312861396850927
427.17,0.0442774169392296
427.38,0.06048674464126207
427.59,0.03953412224088919
427.79,0.07198406008123232
428.0,0.04595835458887913
428.21,0.04252164119449293
428.42,0.030921672618811655
428.62,0.015571108445449372
428.83,0.059885166598851694
429.04,0.04387004386691725
429.25,0.026000856857238096
429.45,0.031043740752371526
429.66,0.05439813850686262
429.87,0.03724498861231811
430.08,0.015596052726356006
430.28,0.05874644555116957
430.49,0.018754904299687594
430.7,0.05380232399020561
430.91,0.021164796078490013
431.11,0.06015617083603294
431.32,0.03625949161042826
431.53,0.05143903110866265
431.74,0.03664398110739963
431.94,0.026144842920867068
432.15,0.08037507799878624
432.36,0.04585671347075648
432.56,0.029424145131603956
432.77,0.04956864463678224
432.98,0.04690772444422488
433.19,0.05861700892718107
433.39,0.07374622896664465
433.6,0.056250711104878406
433.81,0.06278528002424291
434.02,0.051271515795479256
434.22,0.05568061707775602
434.43,0.056555152122873584
434.64,0.041474703953826776
434.84,0.031126506961085963
435.05,0.04739907764230213
435.26,0.06102329196266262
435.47,0.032454017879921505
435.67,0.023269421549149336
435.88,0.015364340007773576
436.09,0.05136378089543445
436.29,0.016170643033984397
436.5,0.03731228470923853
436.71,0.06180896090093788
436.92,0.06464388904395847
437.12,0.04125730855515825
437.33,0.04949957069444981
437.54,0.018631237146349285
437.74,0.050203394413105756
437.95,0.05559638161937965
438.16,0.05743797802260821
438.36,0.024802405141013405
438.57,0.03241526516556424
438.78,0.035707423221179424
438.99,0.03395160145330639
439.19,0.048705750497788296
439.4,0.03804130531182533
439.61,0.018026381863387536
439.81,0.05346694433626319
440.02,0.05128925393438934
440.23,0.03880739953101566
440.43,0.04042906047207064
440.64,0.03328397135027463
440.85,0.04441864434076331
441.05,0.05346300808974954
441.26,0.03646901678378538
441.47,0.04160667355040263
441.67,0.06434729968127906
441.88,0.04110449849209355
442.09,0.050539063518679095
442.29,0.056970940766071704
442.5,0.0644647411272923
442.71,0.049248052353489356
442.91,0.05392139569560179
443.12,0.04110449849209355
443.33,0.04548158873748273
443.53,0.050148793122451255
443.74,0.03732180547874084
