Wavelength [nm],#14-Blue-interference.csv
468.04,0.006829883366607139
468.24,0.01941601545081974
468.45,0.003889247310516592
468.65,0.0060339826148748926
468.86,0.018048182511618587
469.06,0.013259212332121276
469.27,0.0019467279994778146
469.47,0.016546804055049293
469.68,-0.0025708898619973704
469.88,0.00611208637710706
470.09,0.015149644838442552
470.29,0.024266506391533053
470.5,0.01710307864977835
470.7,0.01028985422020454
470.91,0.01618043782361171
471.11,0.010739716248773101
471.32,0.009260483742442597
471.52,0.01622433094052138
471.73,0.010713762651530494
471.93,0.0048416092468995696
472.14,0.013094373312187749
472.34,0.0056948934494862515
472.55,0.017806889372596103
472.75,0.009793848547413978
472.96,0.009400429905152326
473.16,0.013924857980989238
473.37,0.0013974881191024268
473.57,0.00782137630289846
473.78,0.0027488904734710782
473.98,0.012188861287026766
474.19,-0.0034576725485816286
474.39,0.01395871121990332
474.6,0.011145430962419604
474.8,0.009951328206127026
475.01,0.00832174572816038
475.21,0.01279328043318312
475.42,0.001751122558137961
475.62,0.008250023130450883
475.83,0.002244941731607932
476.03,0.006901687297950512
476.24,0.004215050897156101
476.44,0.002698441096395816
476.64,0.010912126572717706
476.85,0.0068125031778895695
477.05,0.007639825215662057
477.26,0.010154689560372621
477.46,0.00816378578269517
477.67,0.003626444650971614
477.87,0.004545675853918719
478.08,0.008755605565107466
478.28,0.004733526009033323
478.49,0.0018345674192485702
478.69,0.00011422283567345777
478.9,0.0026830312784740886
479.1,0.007187505568174403
479.3,0.010001533223946426
479.51,0.008641504963389314
479.71,0.011186330114270896
479.92,0.0033626861367559322
480.12,0.010198719529850835
480.33,0.00551965306428778
480.53,0.0032176354898076306
480.74,0.00605268027882303
480.94,0.010353463509630997
481.14,0.003965082564060994
481.35,0.004100641808339125
481.55,0.01040471724666442
481.76,0.0023272119105922206
481.96,0.009199932366043087
482.17,0.008004155368362503
482.37,-0.0021697762839819725
482.57,0.009553839258789562
482.78,0.003913004051692811
482.98,0.007259067208759473
483.19,0.0033673351575823217
483.39,0.0031372428879557234
483.6,0.004315414974612875
483.8,0.010377613171159253
484.0,0.004650095460580383
484.21,0.008657069032335252
484.41,0.0031113750744205405
484.62,0.004897701183353151
484.82,0.00707564781013621
485.02,0.0032671460954429134
485.23,0.008490972289471902
485.43,0.00478096329066332
485.64,0.0037326426599750863
485.84,0.005880805221149802
486.05,0.0033810005450532147
486.25,0.008490972289471902
486.45,0.0025883941796034614
486.66,0.004549847346368255
486.86,0.004342926819852741
487.07,0.007828116909249677
487.27,0.006301685844876273
487.47,0.0032381273663430834
487.68,0.006510307491706149
487.88,0.006507918594590535
488.09,0.00708545465057357
488.29,0.009368258489420906
488.49,0.001924336745048195
488.7,0.0071538611487250835
488.9,0.008690640862884026
489.1,0.008767651808260456
489.31,0.002204770877437767
489.51,0.010742076390752857
489.72,0.007154853516600017
489.92,0.010880699492334273
490.12,0.007146010181365504
490.33,0.008375198969244536
490.53,0.00043252567924475534
490.74,0.007018369026105396
490.94,0.002976119353599383
491.14,0.013008979984610708
491.35,0.0033349865534673022
491.55,0.006006501713750394
491.75,0.008828380091812254
491.96,0.010410961574663275
492.16,0.005153720309527423
492.36,0.005490131204830495
492.57,0.013943972320056348
492.77,0.013757881213084246
492.98,0.010025949023974376
493.18,0.012905450933552463
493.38,0.011222084071007766
493.59,0.013024927942252405
493.79,0.0012108026683129449
493.99,0.0071966608922668564
494.2,0.007837569498447905
494.4,0.007889875489274752
494.6,0.009357891771298919
494.81,0.011321640103490349
495.01,0.005094515520250254
495.22,0.013529720782245841
495.42,0.01641254029388974
495.62,0.013934674727164071
495.83,0.012649675613374434
496.03,0.010224647887725693
496.23,0.01199459935533049
496.44,0.015385003708715804
496.64,0.016151047810807312
496.84,0.015275380033388379
497.05,0.015695727762872088
497.25,0.017739659738198733
497.45,0.017273064242376953
497.66,0.023803279682780183
497.86,0.01664035021763286
498.06,0.03128729093800939
498.27,0.02492943393942633
498.47,0.024924278809449123
498.67,0.025364930397218835
498.88,0.032111091171219824
499.08,0.03280386191940462
499.28,0.03840005131936344
499.49,0.03776206594873311
499.69,0.038658919180929084
499.89,0.04253469083073941
500.1,0.048830359680823755
500.3,0.057605675237420856
500.5,0.058562283600988016
500.7,0.05976523154214529
500.91,0.06618064303113981
501.11,0.07122871140296101
501.31,0.08621711067732557
501.52,0.081149271215061
501.72,0.08982269968705411
501.92,0.10118704739406213
502.13,0.1097319421503406
502.33,0.10596279446587777
502.53,0.12827683811532525
502.74,0.13672399640365535
502.94,0.15302815232241349
503.14,0.1545952992400047
503.34,0.16546932189923935
503.55,0.17650123882000768
503.75,0.19226237635412335
503.95,0.20550960260813747
504.16,0.21635727652451303
504.36,0.21850424409507566
504.56,0.2395779151101589
504.76,0.2522894113635872
504.97,0.2452526561298759
505.17,0.26379440350487365
505.37,0.26802100367454834
505.58,0.28590483291735536
505.78,0.2890090972128895
505.98,0.30029284635971165
506.18,0.3098392022382415
506.39,0.31671963227103367
506.59,0.3085746703661436
506.79,0.3105644990013979
507.0,0.3045034670560351
507.2,0.31034210649615185
507.4,0.3253652778680267
507.6,0.3220500648491537
507.81,0.32170996484226294
508.01,0.31666509738747395
508.21,0.31752690933480276
508.41,0.3116706493876597
508.62,0.31599494891782154
508.82,0.3122263034823728
509.02,0.30883400599697014
509.23,0.29976199653997815
509.43,0.2859890738826274
509.63,0.2848828960887799
509.83,0.28325060786573153
510.04,0.2830493146744734
510.24,0.27119851469311496
510.44,0.2695953629868588
510.64,0.25590234681798907
510.85,0.24210516250104588
511.05,0.24013416672589769
511.25,0.22717664888348266
511.45,0.22280322461914295
511.66,0.21034794173688326
511.86,0.2008889622875208
512.06,0.1839359290453891
512.26,0.17792850957460224
512.46,0.17230150759490248
512.67,0.16162558181331876
512.87,0.1532157891995358
513.07,0.1446541600757744
513.27,0.13110482085004654
513.48,0.11673644161031467
513.68,0.11712756122989004
513.88,0.11437561721197503
514.08,0.10108773816248245
514.29,0.09120376269653872
514.49,0.08964403541808785
514.69,0.08369771100339352
514.89,0.07968917010252027
515.09,0.0715804659950466
515.3,0.06622885254562856
515.5,0.06221571155158824
515.7,0.05404896311784389
515.9,0.050440240061957235
516.11,0.044532527124903826
516.31,0.039858587891233595
516.51,0.03861114180693681
516.71,0.04138563477105843
516.91,0.03317942521230786
517.12,0.03717962314996069
517.32,0.028869926623547405
517.52,0.03046179381209679
517.72,0.02886621064721128
517.92,0.027493202443284744
518.13,0.024890685845658424
518.33,0.024838729360019424
518.53,0.02105492202095321
518.73,0.020843481453285417
518.93,0.017827544994345943
519.14,0.018569335012354214
519.34,0.01726101042107594
519.54,0.014913230608961516
519.74,0.019080451952067323
519.94,0.018847010841156343
520.15,0.01679308319491724
520.35,0.012985233123287664
520.55,0.01381190562360744
520.75,0.012852259074023008
520.95,0.012440114801364519
521.16,0.011817051615132567
521.36,0.012744026043276827
521.56,0.008863328410390597
521.76,0.013770913510638517
521.96,0.008966151186362266
522.16,0.010134025723687741
522.37,0.011685951948143567
522.57,0.005815647746268849
522.77,0.009148446048646034
522.97,0.010346064613433046
523.17,0.008849340482637361
523.37,0.004554038771543207
523.58,0.01027975308118674
523.78,0.00491532074823563
523.98,0.00952381707013173
524.18,0.006236144053775674
524.38,0.009910884397972195
524.58,0.007785136654244567
524.79,0.006522776060034952
524.99,0.009117404830351533
525.19,0.004877583041808028
525.39,0.005974623830384382
525.59,0.0026485523284718836
525.79,0.0026676077600996033
526.0,0.006346275101557975
526.2,0.006194040121500422
526.4,0.006730745753607505
526.6,5.0612155958078804e-05
526.8,0.009052355361507891
527.0,0.004102953243980133
527.2,0.0014348686491736616
527.41,0.0035534078536996537
527.61,0.0043552702021091615
527.81,0.0028063931917412226
528.01,0.005145476509201044
528.21,0.003420981734561695
528.41,0.004872488937047628
528.61,0.00659670685784983
528.82,0.0058751434061864605
529.02,0.003852266583382635
529.22,0.002861917441907047
529.42,0.0018303154043821342
529.62,0.004014330729054262
529.82,0.004325017096714552
530.02,0.0091267597933561
530.22,0.004596495405216161
530.43,0.0043024873049664685
530.63,0.002504272615308805
530.83,0.004813178367910903
531.03,0.008053441606581863
531.23,0.00845461038837725
531.43,0.002179303319885812
531.63,0.003714382836086146
531.83,5.021841175647939e-05
532.03,0.005467300043758666
532.24,0.007171756962084273
532.44,0.0038971347084836424
532.64,0.0041692054184467205
532.84,0.004601360723454988
533.04,0.005245334672794937
533.24,0.007221215906925357
533.44,0.0022908817227246373
533.64,0.004974189581346427
533.84,0.0005884635607191136
534.04,0.005158998614440376
534.25,0.0028603712069180678
534.45,0.0033199344437222014
534.65,0.0019718473194972543
534.85,0.003454579757854131
535.05,0.0031776715149460753
535.25,0.0011228626169295015
535.45,0.0068874636451603756
535.65,0.00154698461052173
535.85,0.002406048745692553
536.05,0.005417418442388919
536.25,0.0030155494148157813
536.46,0.005412190098982407
536.66,0.003530544235006384
536.86,-0.00016457093646283586
537.06,0.005948356034239021
537.26,0.002289172013117585
537.46,0.003396246776593424
537.66,0.005006207971012023
537.86,0.006153584250028795
538.06,0.002507483059598169
538.26,0.002909017497147933
538.46,0.003081477536359687
538.66,0.0018815655772284508
538.86,0.006005997963951774
