Wavelength [nm],#8-IR-cutoff-700.csv
451.38,0.8791849546567694
451.58,0.8881346958225235
451.79,0.8593860837704301
452.0,0.9131447566136104
452.2,0.8791037929740324
452.41,0.8980076711038738
452.62,0.9207010580663039
452.82,0.899391214098375
453.03,0.9240568463871299
453.23,0.8593515897712378
453.44,0.8852579937925383
453.65,0.9337958803034639
453.85,0.8855050014967323
454.06,0.8828932664798357
454.26,0.913767743252411
454.47,0.8357211330120419
454.68,0.8899311852628692
454.88,0.8556469502450409
455.09,0.8702124708699839
455.29,0.8769875695030712
455.5,0.8873963481226731
455.71,0.8661615841684509
455.91,0.9064220497538173
456.12,0.928551138285065
456.32,0.9589821272242606
456.53,0.8763933803294166
456.73,0.8885734497974684
456.94,0.9048343736337336
457.15,0.935568072798427
457.35,0.9546526206377236
457.56,0.9505587183082508
457.76,0.9116065310150119
457.97,0.925490102490578
458.18,0.9253758510311657
458.38,0.9183762805421651
458.59,0.9073461189047389
458.79,0.9344415760748198
459.0,0.9036928553229943
459.2,0.9401014250304363
459.41,0.9648949217513445
459.62,0.9703231067811648
459.82,0.9457452225457165
460.03,0.9147544808392564
460.23,0.9312705714431697
460.44,0.9494577836571509
460.64,0.9229151528818287
460.85,0.8925852232854206
461.06,0.9253335765794528
461.26,0.9544926179889911
461.47,0.9629534164812409
461.67,0.9427724887088006
461.88,0.959201845497313
462.08,0.9869025578924041
462.29,0.9504443463738393
462.49,0.9713946901878626
462.7,0.9560957941157789
462.91,0.9477799654712525
463.11,0.8936761935340696
463.32,0.9255845298960923
463.52,0.9582673543013487
463.73,0.9052411814553735
463.93,0.905424225625916
464.14,0.9395749994219252
464.34,0.9274840230086665
464.55,0.9377523806018333
464.75,0.8991851950206521
464.96,0.9467658424128909
465.16,0.8716083142537484
465.37,0.8993317578622069
465.58,0.8939170278175869
465.78,0.8887400031416258
465.99,0.9072531579858107
466.19,0.897049175780356
466.4,0.9164532636898891
466.6,0.8569960937557085
466.81,0.9025053066498179
467.01,0.8832131968505247
467.22,0.8614869003296424
467.42,0.9130588338377132
467.63,0.8671327464410084
467.83,0.8758559618462084
468.04,0.9090395202189819
468.24,0.8838100486232292
468.45,0.8426836660150033
468.65,0.8528736888790607
468.86,0.9113168059952227
469.06,0.8617942522337341
469.27,0.8854284657453946
469.47,0.890687859827987
469.68,0.8791178150506992
469.88,0.8866526983407894
470.09,0.8537383944804047
470.29,0.8807957708563438
470.5,0.8468169436300026
470.7,0.8558103157288107
470.91,0.8567443589650073
471.11,0.8716706820142173
471.32,0.8548297949536976
471.52,0.8695023623868554
471.73,0.8362067712589873
471.93,0.8648086714448618
472.14,0.8427610529175932
472.34,0.8714340373855615
472.55,0.8627408365905552
472.75,0.8657807683836732
472.96,0.8630251606595726
473.16,0.8664817509564321
473.37,0.8831056840552565
473.57,0.8679261927359725
473.78,0.8618476344194913
473.98,0.8354115417472281
474.19,0.8523515250787979
474.39,0.8755929215090532
474.6,0.857686264193335
474.8,0.8720707865293267
475.01,0.9045594390820382
475.21,0.8912586017208888
475.42,0.8755233169901717
475.62,0.8694994570431005
475.83,0.8796863754438645
476.03,0.8566017138392945
476.24,0.9032821732061533
476.44,0.8824884984857768
476.64,0.8986967727402225
476.85,0.8784864236097792
477.05,0.8786502464387015
477.26,0.8783079909852423
477.46,0.9037076628529207
477.67,0.9097850905619592
477.87,0.9054995153344635
478.08,0.9015717603007252
478.28,0.9180740591756337
478.49,0.9138115456738392
478.69,0.9185547585146149
478.9,0.9080803075263697
479.1,0.9193295621060384
479.3,0.9145172589344178
479.51,0.9393432660780658
479.71,0.9011864683878199
479.92,0.9247119399180016
480.12,0.9075787961006788
480.33,0.9113561405430404
480.53,0.9092823545125678
480.74,0.9519832212695084
480.94,0.9449701273045652
481.14,0.9557794842690078
481.35,0.9484956194604401
481.55,0.9585750811870697
481.76,0.9524388557248533
481.96,0.9545107096189045
482.17,0.9754350727535231
482.37,0.9177738554930478
482.57,0.9327656403400112
482.78,0.955512915961475
482.98,0.9410617628027463
483.19,0.9339666972832613
483.39,0.9397745649181698
483.6,0.9366894137498997
483.8,0.9557928915087885
484.0,0.9282809185025338
484.21,0.9460317528541107
484.41,0.9342379301289763
484.62,0.9439604497850641
484.82,0.9303517306689798
485.02,0.9305758211210756
485.23,0.9199995604446927
485.43,0.9275174199805332
485.64,0.9306044288325785
485.84,0.9152750288278169
486.05,0.9365260132385975
486.25,0.9314554706435433
486.45,0.9387065493629924
486.66,0.9152175439652491
486.86,0.9171056738924538
487.07,0.8897791591885067
487.27,0.9374937778894465
487.47,0.9115925226392239
487.68,0.897402413058907
487.88,0.9091821643036606
488.09,0.9427055594666014
488.29,0.937633077544022
488.49,0.9198746107200959
488.7,0.8974167735323436
488.9,0.8793142779147265
489.1,0.8936636136393629
489.31,0.8979929399001207
489.51,0.8876359574490822
489.72,0.9041805431990736
489.92,0.8963680253914313
490.12,0.8933516254934278
490.33,0.9018569634107912
490.53,0.9011109047467647
490.74,0.8983780587232445
490.94,0.8693460932076219
491.14,0.8846844232640071
491.35,0.873254492189305
491.55,0.8841752039475648
491.75,0.877007901179276
491.96,0.8960110098248919
492.16,0.8721346842152333
492.36,0.8950032933488948
492.57,0.880631763453011
492.77,0.8777206574643421
492.98,0.8852684569962469
493.18,0.8687601715836346
493.38,0.8785538810370656
493.59,0.8874042054959029
493.79,0.8688916987439015
493.99,0.8983523011151996
494.2,0.8808305555280893
494.4,0.8904528115183399
494.6,0.8749485307166925
494.81,0.8893078664334262
495.01,0.8842568465012982
495.22,0.86660120936638
495.42,0.8859608742369727
495.62,0.8842956523049688
495.83,0.8873054925575156
496.03,0.8858134508058264
496.23,0.8760875906478347
496.44,0.8773616889944934
496.64,0.8919842178462761
496.84,0.8886860575918109
497.05,0.9034315141697463
497.25,0.8919716862771121
497.45,0.8840933856911539
497.66,0.9077351252666757
497.86,0.8738091458711024
498.06,0.8930275149643333
498.27,0.8826823226906756
498.47,0.9026004780637585
498.67,0.8706544911513947
498.88,0.8861845639996422
499.08,0.8906899374875071
499.28,0.9009772624833507
499.49,0.9136985641882077
499.69,0.8954799836277622
499.89,0.8814609631337227
500.1,0.8986621450214344
500.3,0.9118905737596118
500.5,0.8872385249213033
500.7,0.8929656747116533
500.91,0.8913888990630403
501.11,0.9043802903200175
501.31,0.8955208276928405
501.52,0.9058767199905733
501.72,0.9164988609197772
501.92,0.9107179133744768
502.13,0.9041720297619702
502.33,0.9015551255464797
502.53,0.9191351426823122
502.74,0.9152152759021122
502.94,0.9341079594027052
503.14,0.8825826804500007
503.34,0.9073689388407621
