Wavelength [nm],#23-Edmund-46158.csv
444.57,-0.0003318396785443956
444.77,0.04075274206251143
444.98,0.025101396097880143
445.19,0.01740368948190014
445.39,0.027714205907137367
445.6,0.01798025919741941
445.81,0.03479453990080722
446.01,0.011462335012690068
446.22,0.02012507106310406
446.43,0.009201003745863209
446.63,0.008709884842462174
446.84,0.01890764020807267
447.05,0.002832628784339667
447.25,0.030432377915866893
447.46,0.008323424494649252
447.67,0.026237911228128297
447.87,0.015752262019688747
448.08,0.02707369771092192
448.28,0.008427566807313666
448.49,0.014944520964726737
448.7,0.03112919191150079
448.9,0.027634164843116402
449.11,-0.00977183457421807
449.32,0.025701641535350393
449.52,0.013664710398698082
449.73,0.02219317085317648
449.93,0.011448126720841858
450.14,0.02283321867002744
450.35,0.02872741283493005
450.55,0.01597655293893683
450.76,0.030101666721385055
450.97,0.01408439040447854
451.17,0.0232248061342153
451.38,0.035197386714011215
451.58,-0.00031132525017205293
451.79,0.010558174823636352
452.0,0.0067777950168648095
452.2,0.020133481867157563
452.41,0.019891898254872937
452.62,0.020091646105040557
452.82,0.022822711645136287
453.03,0.007399250044284545
453.23,0.013288952178915457
453.44,0.020148709366973792
453.65,0.018621284498406054
453.85,0.025396232252672544
454.06,0.0121830163252809
454.26,0.009163553113186612
454.47,0.013805277859591021
454.68,0.028172904028259838
454.88,0.001260525016926284
455.09,0.018719392728288514
455.29,0.005649520149825839
455.5,0.013402582850523651
455.71,0.00023709677711276016
455.91,0.026683579642811657
456.12,0.017981058534577567
456.32,0.007367478827105261
456.53,0.011691565188947388
456.73,0.005376830680628099
456.94,0.011622217467744507
457.15,0.01028334773977224
457.35,0.03926831165037681
457.56,0.017419580694499327
457.76,0.02614781583780279
457.97,0.02218518062977644
458.18,0.0007519778488285709
458.38,0.01754723125296949
458.59,0.010695656692535279
458.79,0.005200582408060833
459.0,0.004316610058892878
459.2,0.018247746840321287
459.41,0.006959087897622028
459.62,0.025527588240544206
459.82,0.019468203826221504
460.03,0.0016081859162910249
460.23,0.03687160782361756
460.44,0.018036939624647443
460.64,0.016471649419959426
460.85,0.010315134202422348
461.06,0.016657291555812335
461.26,0.010329358891896423
461.47,0.026552272539973963
461.67,0.03251267235903817
461.88,0.01213457355853503
462.08,0.005564580719574117
462.29,0.013698155984181807
462.49,0.01100658370823193
462.7,0.02599473685114011
462.91,0.003072068087547982
463.11,0.015520310500644532
463.32,0.004145914785941382
463.52,0.0060450513708304255
463.73,0.014683766429485589
463.93,0.01202092841358678
464.14,0.020772153752476104
464.34,0.007281280497951454
464.55,0.02748753529302607
464.75,0.024795370731268567
464.96,0.0047707882347485285
465.16,0.0044766251103714955
465.37,0.009489183784766422
465.58,0.02291999305672115
465.78,0.011950471585360039
465.99,0.010956912960719862
466.19,0.008664535323203687
466.4,0.007245119244645188
466.6,0.018066927862350573
466.81,0.009264452190457274
467.01,0.01829707055540075
467.22,0.013189823066706137
467.42,0.005048292410037287
467.63,0.02158030781975831
467.83,0.0019241351828308076
468.04,0.02309923747378111
468.24,0.007575001297773036
468.45,-0.0028916291543539556
468.65,0.004997881832333066
468.86,0.015545027842128904
469.06,0.017395045182982103
469.27,0.00728391127220788
469.47,0.017258935261381624
469.68,0.00357566191508572
469.88,0.012758996042307682
470.09,0.004155036678655205
470.29,0.010537929439595117
470.5,0.009460540045635315
470.7,0.0014619143668664234
470.91,0.018142843865186952
471.11,0.014708664227714835
471.32,0.013031138418969931
471.52,0.015278695885353667
471.73,0.003565291567956884
471.93,0.012978124391421774
472.14,0.00723645175421573
472.34,0.0004535952134060242
472.55,0.006962485942955998
472.75,0.009793848547413978
472.96,0.0023048864258058623
473.16,0.005044057012495041
473.37,0.0045230045882132175
473.57,0.006048573520830975
473.78,0.0018781822870393007
473.98,0.003216407004081792
474.19,0.006477551932097397
474.39,-0.00044025619803033424
474.6,0.014816221766956596
474.8,-0.0004288930623267288
475.01,0.010298325392141837
475.21,-0.00014556948863517127
475.42,0.00472773889098168
475.62,0.013935731433552312
475.83,0.007280093420080561
476.03,0.00872675639454131
476.24,0.00966394254751366
476.44,0.0032138424188266194
476.64,0.006175871791741095
476.85,0.0013567915848592504
477.05,0.003628263114462106
477.26,0.005889196460886269
477.46,0.009420865902108739
477.67,0.005130026474938961
477.87,0.008483196048316074
478.08,0.00107340149101772
478.28,0.007893873874661698
478.49,0.0072366927616290206
478.69,0.007870912500948233
478.9,0.009699801696308465
479.1,0.014971495189521575
479.3,0.009059574644711361
479.51,-0.0015469308125605574
479.71,0.01638704230438564
479.92,0.00661587391807685
480.12,0.0019427310921943546
480.33,0.0034896410156551178
480.53,0.001661205297621294
480.74,0.005595377624246919
480.94,0.00879391246158224
481.14,0.008472999216249512
481.35,0.008540674613473591
481.55,0.010623896711283099
481.76,0.003660701936998201
481.96,-0.0005477727156202409
482.17,0.013985181132722074
482.37,0.0058673656603065935
482.57,0.004091047536415471
482.78,0.007090652911587453
482.98,0.008896240464238741
483.19,0.012362583824877989
483.39,0.014695659721842324
483.6,0.00873710671271512
483.8,0.005648480634890119
484.0,0.0076218806055030125
484.21,0.010051082796251214
484.41,0.0027091605797965423
484.62,0.003296571177212127
484.82,0.007851673095161504
485.02,0.002672081705052133
485.23,0.007154449432939321
485.43,0.0028272549343434598
485.64,0.003349241714298725
485.84,0.008389745141966158
486.05,-0.0035856565385153456
486.25,0.005626994739759228
486.45,0.004701961442948551
486.66,0.007152817487786045
486.86,0.003417766930259591
487.07,0.006722222185388539
487.27,0.001030076751215139
487.47,0.008056983574687279
487.68,0.008896297885685056
487.88,0.012012029848914134
488.09,0.0076527263390230625
488.29,0.009739490170706489
488.49,0.005599813317520859
488.7,0.011866164838052055
488.9,0.0020151569629707866
489.1,0.0041597417326328465
489.31,0.0011440388833315702
489.51,0.0039268389732010755
489.72,0.002204770877437767
489.92,-0.004098039694786567
490.12,0.008028860963704677
490.33,0.004573884171775182
490.53,0.012684271993804879
490.74,0.00961961325673907
490.94,0.001272678587075548
491.14,0.0031838860026202798
491.35,0.0047052082595288695
491.55,0.009901195148262106
491.75,0.0002475359880408107
491.96,0.00533006628923454
492.16,-0.00025856818929867735
492.36,0.006673668960962114
492.57,0.007180899427875666
492.77,-0.0009223127066127415
492.98,0.003559864952953609
493.18,0.004353482164566247
493.38,0.002535654509556317
