Wavelength [nm],#35-FBH650 ∆10.csv
420.73,0.05131947111428105
420.94,0.026504568975390386
421.15,0.026853754707519283
421.35,0.05155958992029258
421.56,0.030902834882828533
421.77,0.04971887845715952
421.98,0.028417192580153797
422.19,0.021137667836648322
422.39,0.04523800731193917
422.6,0.05805065255632844
422.81,0.031267231562839566
423.02,0.028401037723324054
423.22,0.040915200411691256
423.43,0.012984671499946296
423.64,0.04023911035679113
423.85,0.0031118893521788413
424.06,0.032846277501859485
424.26,0.04452801447136672
424.47,0.028869780963189446
424.68,0.03884133342533715
424.89,0.023924004954502486
425.09,0.05625649879660916
425.3,0.03544195571992408
425.51,0.05299469621836061
425.72,0.011342928091659531
425.93,0.019617448758168735
426.13,0.04928710915651641
426.34,0.03808350324111572
426.55,0.023089304371562445
426.76,0.042688200316161995
426.96,0.06312861396850927
427.17,0.05287978042312492
427.38,0.04166062024953164
427.59,0.04208629020659099
427.79,0.0549406084757453
428.0,0.027908918054074142
428.21,0.03756489386676813
428.42,0.00209519568883755
428.62,0.06355302030026094
428.83,0.048154678481546816
429.04,0.056908179632368376
429.25,0.04717475127338509
429.45,0.009022007587652696
429.66,0.04745085952446406
429.87,0.06328966709202219
430.08,-0.0060303968882806
430.28,0.06951388373361568
430.49,0.017156785251315747
430.7,0.019807197906021385
430.91,0.03861432008727754
431.11,0.037961856977483305
431.32,0.011799072615769082
431.53,0.053085838346321225
431.74,0.02660902257726838
431.94,0.03524629298702719
432.15,0.038393923075388886
432.36,0.03530023455596485
432.56,0.03171865069866872
432.77,0.03394939475406707
432.98,0.03164603868672648
433.19,0.04287481844101353
433.39,0.025618903555201147
433.6,0.008438003561477857
433.81,0.035706845097174485
434.02,0.03672046542424427
434.22,0.009324479515460591
434.43,0.03182625618963675
434.64,-0.012358229989484045
434.84,0.0076741985062862275
435.05,0.039671489039105466
435.26,0.010707755204160696
435.47,0.02872120159087799
435.67,0.026226970613345703
435.88,0.028960326591968562
436.09,0.029803866824876134
436.29,0.027882897283579823
436.5,0.019189398502710637
436.71,0.04699931545343888
