Wavelength [nm],#16-IR-cutoff.csv
463.32,0.9518488134621774
463.52,0.9753194030814427
463.73,0.9618332536417477
463.93,0.9345569418393616
464.14,0.9082911338744113
464.34,0.9162315438203561
464.55,0.9441476839646586
464.75,0.8975975602965679
464.96,0.9313778437353671
465.16,0.9129746324577079
465.37,0.919546264315579
465.58,0.9066788891327644
465.78,0.9077263507283791
465.99,0.8891655995847032
466.19,0.9005194282821418
466.4,0.914099834498055
466.6,0.9154976917647368
466.81,0.921056928461391
467.01,0.9471954058367059
467.22,0.9188818311322767
467.42,0.9201790155492798
467.63,0.87525241193628
467.83,0.8916816890896095
468.04,0.9038629075485174
468.24,0.8952810310839932
468.45,0.8776051798090866
468.65,0.8767040068775227
468.86,0.9091712448499458
469.06,0.8755803617366035
469.27,0.8939679589817627
469.47,0.9049304839546336
469.68,0.9040454972577584
469.88,0.9055439152839911
470.09,0.8634003228632481
470.29,0.8861532643010025
470.5,0.8654248637096552
470.7,0.8773897242591928
470.91,0.8603421033745619
471.11,0.8918461675738378
471.32,0.8589146708532689
471.52,0.857839530039787
471.73,0.8408688176178396
471.93,0.8795169872830366
472.14,0.8584849476258338
472.34,0.8652678041666436
472.55,0.8649097172764832
472.75,0.847985409585104
472.96,0.8815352740839547
473.16,0.8741376138603064
473.37,0.8840433389959896
473.57,0.875312870994587
473.78,0.8885493521367325
473.98,0.843262439244805
474.19,0.8575951157769339
474.39,0.8727131280254665
474.6,0.8661573198961128
474.8,0.8855370195262396
475.01,0.8816875886845384
475.21,0.8863032974955116
475.42,0.8584754234475214
475.62,0.881953865707037
475.83,0.8786263435094492
476.03,0.8599911278758203
476.24,0.8809417174396873
476.44,0.8763036826166072
476.64,0.8889611379126594
476.85,0.8474880622857434
477.05,0.8701256769736516
477.26,0.8840789522374886
477.46,0.8760519002258222
477.67,0.8689377843441796
477.87,0.8912260046297731
478.08,0.874684046041411
478.28,0.887686098929207
478.49,0.9057083576602685
478.69,0.8935879136545116
478.9,0.8772065176878985
479.1,0.8874859682005273
479.3,0.9010943491803182
479.51,0.9068824358151558
479.71,0.8833231526043823
479.92,0.9089107421230143
480.12,0.8924428172983087
480.33,0.9172206197946459
480.53,0.9015002035516362
480.74,0.9320905557954475
480.94,0.9162298294190953
481.14,0.9244387304014116
481.35,0.9045392946896089
481.55,0.9246022641711744
481.76,0.9379927137721219
481.96,0.9202854339988421
482.17,0.9545014825782647
482.37,0.8909833823454192
482.57,0.900619212127579
482.78,0.9468273424110963
482.98,0.9025881912989836
483.19,0.9084120135693532
483.39,0.9203077576189924
483.6,0.9161888429641529
483.8,0.9058285781908146
484.0,0.9033179232851838
484.21,0.9229309533377891
484.41,0.9193559938278884
484.62,0.9285495734759568
484.82,0.9367539392704385
485.02,0.9254185964043555
485.23,0.9417657898225089
485.43,0.9197025865552537
485.64,0.9112426810759223
485.84,0.9172049826130603
486.05,0.9210445530528897
486.25,0.911598559632202
486.45,0.9333265599653867
486.66,0.891790812692489
486.86,0.8928664847851133
487.07,0.8829594750580296
487.27,0.9150894392413867
487.47,0.9004720852353526
487.68,0.8999719411754997
487.88,0.903678053049337
488.09,0.9455419179088488
488.29,0.9305796755995959
488.49,0.910318371631667
488.7,0.9090162903060716
488.9,0.8654362982280647
489.1,0.8881695670107299
489.31,0.8796069186689467
489.51,0.8904319522870521
489.72,0.8933964345923272
489.92,0.8845243711504521
490.12,0.8944110464322349
490.33,0.9065222133895037
490.53,0.8830833351696262
490.74,0.8976843935950755
490.94,0.8974528658552652
491.14,0.8969226982240303
491.35,0.8761662133146858
491.55,0.8948432772681838
491.75,0.8736428642758362
491.96,0.8853411297254915
492.16,0.8709507461061151
492.36,0.8921289873697181
492.57,0.8933125251258497
492.77,0.8877298805914082
492.98,0.8862632391610193
493.18,0.8615238903175694
493.38,0.8624921810932498
493.59,0.8724897698337881
493.79,0.8724570666396174
493.99,0.8907370011987488
494.2,0.8633674619012693
494.4,0.8924061046264825
494.6,0.8697380528298881
494.81,0.8666553398254626
495.01,0.8704971709105435
495.22,0.877299046768347
495.42,0.8678619680414361
495.62,0.8738210247281205
495.83,0.8817344363986357
496.03,0.8552051119246105
496.23,0.8740485256838118
496.44,0.8882061690313913
496.64,0.8746579868938725
496.84,0.8810856746108819
497.05,0.8849698918786685
497.25,0.8736803509578966
497.45,0.8701474026860788
497.66,0.8719844377642539
