Wavelength [nm],#25-F495-Di03.csv
511.05,0.23610162205966329
511.25,0.2652493695679775
511.45,0.296917007171298
511.66,0.3295407052482971
511.86,0.3513453576020667
512.06,0.3758273034363912
512.26,0.3892998416525094
512.46,0.4303967831903097
512.67,0.4515748761369152
512.87,0.46265534366243843
513.07,0.48955167617425244
513.27,0.5026333121594845
513.48,0.5142494790284697
513.68,0.5305912094251897
513.88,0.568696066539993
514.08,0.5859226945962438
514.29,0.5979815229906037
514.49,0.6358576141672352
514.69,0.6779954929078791
514.89,0.7153561858630044
515.09,0.7283159100705044
515.3,0.7732932484572597
515.5,0.8030247903852958
515.7,0.8291564186262509
515.9,0.8558039151792988
516.11,0.8512188363569833
516.31,0.892674131167
516.51,0.9120001796256126
516.71,0.9158766985615419
516.91,0.9258052231133402
517.12,0.9354220401839981
517.32,0.9462150732015514
517.52,0.9575553394431036
517.72,0.931471696954473
517.92,0.9601028996444023
518.13,0.9597634579564084
518.33,0.9707668160911035
518.53,0.9562129380111749
518.73,0.9655879980887385
518.93,0.9520977604329177
519.14,0.9812480693193306
519.34,0.9471099345208993
519.54,0.9554270051676068
519.74,0.9646336716969868
519.94,0.9679018472497404
520.15,0.983964363380679
520.35,0.9792183111430801
520.55,0.9900903194204996
520.75,0.9817345674336619
520.95,0.9809621483053103
521.16,0.9749754113899503
521.36,0.9937705278577164
521.56,0.9636300845297032
521.76,0.9818968324108098
521.96,0.9722456367477055
522.16,0.974124811581099
522.37,0.9573429474775824
522.57,0.9932206999505371
522.77,0.9758575380666884
522.97,0.9765343211830945
523.17,0.9789959196751563
523.37,0.9649699656225176
523.58,0.9941081463454232
523.78,0.9683889572069305
523.98,0.9812764426667322
524.18,0.9918281447560817
524.38,0.9719558736895199
524.58,0.9833341888141508
524.79,0.9813544791267615
524.99,0.9852965095216375
525.19,0.9948450618762223
525.39,0.9707037704715423
525.59,0.9698034667498256
525.79,0.9899710809830505
526.0,0.991425598660079
526.2,0.9751036572246032
526.4,0.9668156057806824
526.6,0.9642338188880702
526.8,1.0006585828387053
527.0,0.9606461758135606
527.2,0.9580336360797626
527.41,0.9640107186514387
527.61,0.9791228839623011
527.81,0.9724356434435311
528.01,1.0034324418729232
