Wavelength [nm],#31-650cuton.csv
482.37,0.01390450760459516
482.57,0.010394268754539424
482.78,0.008149869198219
482.98,0.011352000347457642
483.19,0.00725164708209636
483.39,0.01591233517804091
483.6,0.005521330903186214
483.8,0.00955515533876462
484.0,0.009206832682795082
484.21,0.0018861450361720145
484.41,0.014976702665828486
484.62,0.014904763721734555
484.82,0.006493628846367239
485.02,0.0046556296730214
485.23,0.009827495146004485
485.43,0.008297638332039068
485.64,0.0075666521167386995
485.84,0.006652786735247143
486.05,0.0051226648159453545
486.25,0.010400290655947018
486.45,0.008160526055695063
486.66,0.007152817487786045
486.86,0.0026776390185850717
487.07,0.01022422214428214
487.27,0.010255392665122123
487.47,0.005832896093913034
487.68,0.001738326703748336
487.88,0.012195500224058253
488.09,0.01048908478127052
488.29,0.007883331764278573
488.49,0.008723968404122623
488.7,0.006610133799956587
488.9,0.00886631149182911
489.1,0.004868650975037094
489.31,0.005386966859756356
489.51,0.0018298428447236037
489.72,0.0066244875195469195
489.92,0.008442300089779718
490.12,0.005380308616687157
490.33,0.00872077304174175
490.53,0.006033323994472241
490.74,0.011006943513077029
490.94,0.0075754094232137375
491.14,0.0038733662820582045
491.35,0.007274373958394309
491.55,0.010070529645414788
491.75,0.008323624556296287
491.96,0.01329013556973956
492.16,0.003631514169232582
492.36,0.008871667650920836
492.57,0.006504592138657598
492.77,0.00942055119135559
492.98,0.006212617392346744
493.18,0.010602997803440789
493.38,0.0031912340990998224
493.59,0.013024927942252405
493.79,0.006234730157730809
493.99,0.011004310850492279
494.2,0.008484350743885684
494.4,0.007889875489274752
494.6,0.00821809973356044
494.81,0.010357702801023813
495.01,0.0025044589384611237
495.22,0.008180802081262291
495.42,0.005040661179879996
495.62,0.006199565131953069
495.83,0.0038951587922774803
496.03,0.008797316022798523
496.23,0.0074459159740484756
496.44,0.012354928404288463
496.64,0.009907360981112293
496.84,0.009258410173486267
497.05,0.004019146142874096
497.25,0.006639789587221828
497.45,0.005806367104870788
497.66,0.007879392672967866
497.86,0.005337365737375769
498.06,0.004152041801395981
498.27,0.006589073533188272
498.47,0.008716751387412104
498.67,0.007644292768077361
498.88,0.006022030104113679
499.08,0.008292831188887404
499.28,0.0036716978775054123
499.49,0.00776424066655932
499.69,0.012376996459421611
499.89,0.008473473908404014
500.1,0.008172939734672239
500.3,0.005643705916166295
500.5,0.008211571466917563
500.7,0.006024770583740354
500.91,0.005234468184720837
501.11,0.003776047985298962
501.31,0.0049886528921587875
501.52,0.0027379088135070936
501.72,0.015401007102185274
501.92,0.00726109384674162
502.13,0.010263091584118225
502.33,0.009124587102845088
502.53,0.006832525125488619
502.74,0.011383667711283933
502.94,0.007177231000311596
503.14,0.00804108928315366
503.34,0.004889901941724294
503.55,0.0047036080795554375
503.75,0.0071921828873845305
503.95,0.00911226548633264
504.16,0.008117576149981187
504.36,0.007320535743633602
504.56,0.0036794985780330717
504.76,0.009312815056307043
504.97,0.0038200927848055983
505.17,0.0042634858172617895
505.37,0.00861842924917546
505.58,0.008193236695156935
505.78,0.009442644328766932
505.98,0.009301232155080394
