Wavelength [nm],#29-jaune.csv
429.45,0.05542494532759594
429.66,0.035100141333533286
429.87,0.07406677542845147
430.08,0.009989195418857627
430.28,0.060541018581577254
430.49,0.04832010669456671
430.7,0.04732706187893243
430.91,0.05689477381076924
431.11,0.04649813153846393
431.32,0.0321827551113184
431.53,0.029207133400271933
431.74,0.037415900994332806
431.94,0.02917865960958711
432.15,0.025720366872099117
432.36,0.0417965292727597
432.56,0.02712963956453919
432.77,0.055816344589868304
432.98,0.007990425762603958
433.19,0.03264239462500463
433.39,0.02640787610292973
433.6,0.04006794855172745
433.81,0.04247645382894159
434.02,0.0563643834254115
434.22,0.036240946487116
434.43,0.03482369812093818
434.64,0.019044314810780602
434.84,0.034790930157148424
435.05,0.03475393265525304
435.26,0.03290578612702919
435.47,0.03394714439553891
435.67,0.012178612558412953
435.88,0.05400556503653828
436.09,0.053519772302490276
436.29,0.03201663407755468
436.5,0.06050957905359423
436.71,0.04699931545343888
436.92,0.019204317136527458
437.12,0.05166334355636854
437.33,0.045936975382210116
437.54,0.013205563267407194
437.74,0.03312072165075154
437.95,0.031604603785229946
438.16,0.04813856413417728
438.36,0.029562783916475682
438.57,0.02080697970883495
438.78,0.028076330886958545
438.99,0.03265749777139521
439.19,0.0520203646075521
439.4,0.020526651206858558
439.61,0.0350508898061166
439.81,0.046335530903180246
440.02,0.03580009889658345
440.23,0.026409124304328156
440.43,0.03450984288759404
440.64,0.03772426806979437
440.85,0.03439506368699509
441.05,0.0628812866162197
441.26,0.024198850107439482
441.47,0.023624310927651323
441.67,0.04362479021113289
441.88,0.045567442980494706
442.09,0.03209675463859985
442.29,0.02959062371876656
442.5,0.03785214076548661
442.71,0.03880739953101566
442.91,0.03561441510090714
443.12,0.027078101528547043
443.33,0.06275192881599731
443.53,0.033927425263062375
443.74,0.03794936623136226
443.95,0.04750894936022835
444.15,0.05151046302811823
444.36,0.03812236903452632
444.57,0.03104619795252663
444.77,0.04396307425105724
444.98,0.01301850407300064
445.19,0.0478128596333307
445.39,0.027714205907137367
445.6,0.05271407639622451
445.81,0.01872761793861351
446.01,0.04373098446613647
446.22,0.023843761495502148
446.43,0.027042522285853667
446.63,0.03639619042670427
446.84,0.01710526600147391
447.05,0.03640942082654424
447.25,0.056962835236577004
447.46,0.023770100125573717
447.67,0.05152201339996784
447.87,0.028248756879172745
448.08,0.03930810031455703
448.28,0.019688326300984552
448.49,0.048532897497237604
448.7,0.029919615372064463
448.9,0.035534637253766085
449.11,0.03693306878138101
449.32,0.030542875614677844
449.52,0.03798863862561058
449.73,0.03373071455992366
449.93,0.02136463454057009
450.14,0.045400580825454055
450.35,0.023281024495686666
450.55,0.032842203036319115
450.76,0.020974643509854802
450.97,0.05667502386044386
451.17,0.036506051044627695
451.38,0.045503883473149376
451.58,0.024416794620638557
451.79,0.031135821101134383
452.0,0.031593578841547544
452.2,0.03393441874226802
452.41,0.04061761214820339
452.62,0.03821711854702824
452.82,0.019931654578997638
453.03,0.028758261997904246
453.23,0.04261333114552997
453.44,0.05082231498679027
453.65,0.034755061567309814
453.85,0.04550267101422199
454.06,0.023568393195296872
454.26,0.03364238728669576
454.47,0.03935976827994006
454.68,0.04428053545320581
454.88,0.01962345714123203
