Typical Measured Spectrum of Semrock FF01-680/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
544.6	0.98161
544.8	0.98159
545	0.98007
545.2	0.97913
545.4	0.9777
545.6	0.97635
545.8	0.97508
546	0.97423
546.2	0.97322
546.4	0.97293
546.6	0.97306
546.8	0.97324
547	0.97346
547.2	0.97368
547.4	0.97376
547.6	0.97357
547.8	0.97293
548	0.97247
548.2	0.97147
548.4	0.97069
548.6	0.96942
548.8	0.96789
549	0.96753
549.2	0.96639
549.4	0.96599
549.6	0.96679
549.8	0.96751
550	0.96827
550.2	0.97026
550.4	0.97229
550.6	0.97431
550.8	0.9765
551	0.97909
551.2	0.98153
551.4	0.98351
551.6	0.98511
551.8	0.98625
552	0.98648
552.2	0.9865
552.4	0.98557
552.6	0.9844
552.8	0.98257
553	0.98013
553.2	0.97792
553.4	0.9756
553.6	0.97313
553.8	0.97157
554	0.97014
554.2	0.96959
554.4	0.96952
554.6	0.97044
554.8	0.97067
555	0.97379
555.2	0.97603
555.4	0.97861
555.6	0.98203
555.8	0.98475
556	0.98746
556.2	0.98964
556.4	0.99121
556.6	0.99247
556.8	0.99217
557	0.99141
557.2	0.99003
557.4	0.9879
557.6	0.98449
557.8	0.98113
558	0.97721
558.2	0.97354
558.4	0.97012
558.6	0.96685
558.8	0.96398
559	0.9621
559.2	0.96162
559.4	0.96158
559.6	0.96258
559.8	0.96429
560	0.96709
560.2	0.97032
560.4	0.97451
560.6	0.97868
560.8	0.98283
561	0.98626
561.2	0.98962
561.4	0.99155
561.6	0.99268
561.8	0.99281
562	0.99194
562.2	0.99092
562.4	0.98911
562.6	0.9873
562.8	0.98456
563	0.9832
563.2	0.98212
563.4	0.98162
563.6	0.98178
563.8	0.98249
564	0.98431
564.2	0.98583
564.4	0.98758
564.6	0.9901
564.8	0.99099
565	0.99122
565.2	0.99165
565.4	0.99019
565.6	0.9884
565.8	0.98555
566	0.98182
566.2	0.97807
566.4	0.97343
566.6	0.96973
566.8	0.96617
567	0.96357
567.2	0.96135
567.4	0.96064
567.6	0.9603
567.8	0.96142
568	0.96282
568.2	0.96533
568.4	0.96881
568.6	0.97169
568.8	0.97487
569	0.97843
569.2	0.98146
569.4	0.9848
569.6	0.98726
569.8	0.98927
570	0.99168
570.2	0.99253
570.4	0.99342
570.6	0.99354
570.8	0.99362
571	0.99387
571.2	0.99286
571.4	0.9924
571.6	0.99071
571.8	0.98933
572	0.98752
572.2	0.98608
572.4	0.98418
572.6	0.98212
572.8	0.98058
573	0.97953
573.2	0.97836
573.4	0.97796
573.6	0.97766
573.8	0.97726
574	0.97728
574.2	0.97796
574.4	0.97859
574.6	0.97885
574.8	0.9797
575	0.98033
575.2	0.98013
575.4	0.98055
575.6	0.98065
575.8	0.98015
576	0.97994
576.2	0.9795
576.4	0.97847
576.6	0.97778
576.8	0.97695
577	0.97592
577.2	0.97518
577.4	0.97478
577.6	0.97395
577.8	0.97252
578	0.97215
578.2	0.9713
578.4	0.97021
578.6	0.96931
578.8	0.96843
579	0.96719
579.2	0.96668
579.4	0.96568
579.6	0.96504
579.8	0.96433
580	0.96407
580.2	0.96388
580.4	0.96375
580.6	0.96387
580.8	0.96493
581	0.96547
581.2	0.9666
581.4	0.96831
581.6	0.97003
581.8	0.97187
582	0.97409
582.2	0.97594
582.4	0.97803
582.6	0.97994
582.8	0.98233
583	0.98373
583.2	0.98429
583.4	0.98582
583.6	0.98572
583.8	0.98549
584	0.98425
584.2	0.98324
584.4	0.98152
584.6	0.97883
584.8	0.97685
585	0.97416
585.2	0.97222
585.4	0.97073
585.6	0.96983
585.8	0.96897
586	0.96848
586.2	0.96914
586.4	0.97043
586.6	0.97219
586.8	0.97459
587	0.97704
587.2	0.98014
587.4	0.98282
587.6	0.98544
587.8	0.98725
588	0.98925
588.2	0.99021
588.4	0.99106
588.6	0.99049
588.8	0.98995
589	0.98957
589.2	0.98846
589.4	0.98693
589.6	0.98598
589.8	0.98495
590	0.98409
590.2	0.98325
590.4	0.98269
590.6	0.98253
590.8	0.98207
591	0.98204
591.2	0.98104
591.4	0.98073
591.6	0.97985
591.8	0.97831
592	0.97695
592.2	0.97404
592.4	0.97266
592.6	0.97058
592.8	0.96853
593	0.96615
593.2	0.96454
593.4	0.96327
593.6	0.96213
593.8	0.96196
594	0.96251
594.2	0.96333
594.4	0.96531
594.6	0.96675
594.8	0.96964
595	0.97311
595.2	0.97567
595.4	0.979
595.6	0.98158
595.8	0.98423
596	0.98646
596.2	0.98803
596.4	0.98976
596.6	0.99005
596.8	0.98986
597	0.98852
597.2	0.9874
597.4	0.98586
597.6	0.98415
597.8	0.98147
598	0.97883
598.2	0.97609
598.4	0.97458
598.6	0.97269
598.8	0.97177
599	0.97049
599.2	0.97041
599.4	0.97205
599.6	0.97276
599.8	0.9747
600	0.97726
600.2	0.97977
600.4	0.98315
600.6	0.98681
600.8	0.98971
601	0.99279
601.2	0.99438
601.4	0.9959
601.6	0.99697
601.8	0.99651
602	0.99598
602.2	0.9939
602.4	0.99192
602.6	0.98832
602.8	0.98466
603	0.98144
603.2	0.97745
603.4	0.9742
603.6	0.97068
603.8	0.96791
604	0.96565
604.2	0.96425
604.4	0.96337
604.6	0.96328
604.8	0.96367
605	0.96518
605.2	0.96709
605.4	0.97401
605.6	0.97542
605.8	0.97878
606	0.98294
606.2	0.98656
606.4	0.99015
606.6	0.99292
606.8	0.99497
607	0.99663
607.2	0.99695
607.4	0.99627
607.6	0.99458
607.8	0.992
608	0.98775
608.2	0.98299
608.4	0.97773
608.6	0.97178
608.8	0.96547
609	0.96061
609.2	0.95501
609.4	0.94992
609.6	0.94556
609.8	0.94298
610	0.9413
610.2	0.94015
610.4	0.94066
610.6	0.94242
610.8	0.94488
611	0.94848
611.2	0.95279
611.4	0.95747
611.6	0.962
611.8	0.96765
612	0.97213
