Typical Measured Spectrum of Semrock FF01-650/60 Optical Filter	
526.2	3.1703e-07
526.4	3.1821e-07
526.6	3.1939e-07
526.8	3.2247e-07
527.0	3.2581e-07
527.2	3.292e-07
527.4	3.3262e-07
527.6	3.3607e-07
527.8	3.3956e-07
528.0	3.4309e-07
528.2	3.4665e-07
528.4	3.5025e-07
528.6	3.5389e-07
528.8	3.5756e-07
529.0	3.6128e-07
529.2	3.6503e-07
529.4	3.6882e-07
529.6	3.7265e-07
529.8	3.7652e-07
530.0	3.8043e-07
530.2	3.8438e-07
530.4	3.8865e-07
530.6	3.9328e-07
530.8	3.9797e-07
531.0	4.0271e-07
531.2	4.075e-07
531.4	4.1236e-07
531.6	4.1727e-07
531.8	4.2224e-07
532.0	4.2727e-07
532.2	4.3236e-07
532.4	4.3751e-07
532.6	4.4272e-07
532.8	4.48e-07
533.0	4.5333e-07
533.2	4.5874e-07
533.4	4.642e-07
533.6	4.6973e-07
533.8	4.7533e-07
534.0	4.8094e-07
534.2	4.8601e-07
534.4	4.9114e-07
534.6	4.9632e-07
534.8	5.0155e-07
535.0	5.0684e-07
535.2	5.1219e-07
535.4	5.1759e-07
535.6	5.2305e-07
535.8	5.2857e-07
536.0	5.3414e-07
536.2	5.3978e-07
536.4	5.4547e-07
536.6	5.5122e-07
536.8	5.5704e-07
537.0	5.6291e-07
537.2	5.6885e-07
537.4	5.7485e-07
537.6	5.8092e-07
537.8	5.3876e-07
538.0	4.812e-07
538.2	4.2978e-07
538.4	3.8386e-07
538.6	3.4285e-07
538.8	3.0622e-07
539.0	2.735e-07
539.2	2.4428e-07
539.4	2.1818e-07
539.6	1.9487e-07
539.8	1.7405e-07
540.0	1.5545e-07
540.2	1.3884e-07
540.4	1.2401e-07
540.6	1.1076e-07
540.8	9.8923e-08
541.0	8.8353e-08
541.2	7.8913e-08
541.4	7.3116e-08
541.6	7.3508e-08
541.8	7.3902e-08
542.0	7.4299e-08
542.2	7.4697e-08
542.4	7.5098e-08
542.6	7.5501e-08
542.8	7.5906e-08
543.0	7.6313e-08
543.2	7.6722e-08
543.4	7.7134e-08
543.6	7.7548e-08
543.8	7.7964e-08
544.0	7.8382e-08
544.2	7.8803e-08
544.4	7.9225e-08
544.6	7.965e-08
544.8	8.0078e-08
545.0	8.0747e-08
545.2	8.1514e-08
545.4	8.2289e-08
545.6	8.307e-08
545.8	8.3859e-08
546.0	8.4656e-08
546.2	8.546e-08
546.4	8.6272e-08
546.6	8.7092e-08
546.8	8.7919e-08
547.0	8.8754e-08
547.2	8.9597e-08
547.4	9.0448e-08
547.6	9.1307e-08
547.8	9.2175e-08
548.0	9.305e-08
548.2	9.3934e-08
548.4	9.4827e-08
548.6	9.5727e-08
548.8	9.6637e-08
549.0	9.7555e-08
549.2	9.8481e-08
549.4	9.9417e-08
549.6	1.0036e-07
549.8	1.0115e-07
550.0	1.0139e-07
550.2	1.0164e-07
550.4	1.0188e-07
550.6	1.0213e-07
550.8	1.0238e-07
551.0	1.0263e-07
551.2	1.0287e-07
551.4	1.0312e-07
551.6	1.0337e-07
551.8	1.0362e-07
552.0	1.0387e-07
552.2	1.0412e-07
552.4	1.0438e-07
552.6	1.0463e-07
552.8	1.0488e-07
553.0	1.0514e-07
553.2	1.0539e-07
553.4	1.0565e-07
553.6	1.059e-07
553.8	1.0616e-07
554.0	1.0642e-07
554.2	1.0667e-07
554.4	1.0693e-07
554.6	1.0719e-07
554.8	1.0717e-07
555.0	1.0706e-07
555.2	1.0695e-07
555.4	1.0684e-07
555.6	1.0673e-07
555.8	1.0662e-07
556.0	1.065e-07
556.2	1.0639e-07
556.4	1.0628e-07
556.6	1.0617e-07
556.8	1.0606e-07
557.0	1.0595e-07
557.2	1.0584e-07
557.4	1.0573e-07
557.6	1.0562e-07
557.8	1.0551e-07
558.0	1.054e-07
558.2	1.0529e-07
558.4	1.0518e-07
558.6	1.0508e-07
558.8	1.0497e-07
559.0	1.0486e-07
559.2	1.0475e-07
559.4	1.0464e-07
559.6	1.0474e-07
559.8	1.055e-07
560.0	1.0626e-07
560.2	1.0703e-07
560.4	1.078e-07
560.6	1.0858e-07
560.8	1.0937e-07
561.0	1.1016e-07
561.2	1.1096e-07
561.4	1.1176e-07
561.6	1.1257e-07
561.8	1.1339e-07
562.0	1.1421e-07
562.2	1.1503e-07
562.4	1.1587e-07
562.6	1.1671e-07
562.8	1.1755e-07
563.0	1.184e-07
563.2	1.1926e-07
563.4	1.2012e-07
563.6	1.2099e-07
563.8	1.2187e-07
564.0	1.2275e-07
564.2	1.2364e-07
564.4	1.2453e-07
564.6	1.2488e-07
564.8	1.2501e-07
565.0	1.2514e-07
565.2	1.2528e-07
565.4	1.2541e-07
565.6	1.2555e-07
565.8	1.2569e-07
566.0	1.2582e-07
566.2	1.2596e-07
566.4	1.2609e-07
566.6	1.2623e-07
566.8	1.2636e-07
567.0	1.265e-07
567.2	1.2664e-07
567.4	1.2677e-07
567.6	1.2691e-07
567.8	1.2705e-07
568.0	1.2718e-07
568.2	1.2732e-07
568.4	1.2746e-07
568.6	1.276e-07
568.8	1.2773e-07
569.0	1.2787e-07
569.2	1.2801e-07
569.4	1.2826e-07
569.6	1.2886e-07
569.8	1.2947e-07
570.0	1.3008e-07
570.2	1.3069e-07
570.4	1.313e-07
570.6	1.3192e-07
570.8	1.3254e-07
571.0	1.3316e-07
571.2	1.3379e-07
571.4	1.3442e-07
571.6	1.3505e-07
571.8	1.3569e-07
572.0	1.3633e-07
572.2	1.3697e-07
572.4	1.3761e-07
572.6	1.3826e-07
572.8	1.3891e-07
573.0	1.3956e-07
573.2	1.4022e-07
573.4	1.4088e-07
573.6	1.4154e-07
573.8	1.4221e-07
574.0	1.4288e-07
574.2	1.4355e-07
574.4	1.4401e-07
574.6	1.4439e-07
574.8	1.4478e-07
575.0	1.4517e-07
575.2	1.4556e-07
575.4	1.4595e-07
575.6	1.4634e-07
575.8	1.4673e-07
576.0	1.4713e-07
576.2	1.4752e-07
576.4	1.4792e-07
576.6	1.4832e-07
576.8	1.4871e-07
577.0	1.4911e-07
577.2	1.4951e-07
577.4	1.4991e-07
577.6	1.5032e-07
577.8	1.5072e-07
578.0	1.5113e-07
578.2	1.5153e-07
578.4	1.5194e-07
578.6	1.5235e-07
578.8	1.5275e-07
579.0	1.5317e-07
579.2	1.5379e-07
579.4	1.551e-07
579.6	1.5643e-07
579.8	1.5777e-07
580.0	1.5911e-07
580.2	1.6047e-07
580.4	1.6185e-07
580.6	1.6323e-07
580.8	1.6463e-07
581.0	1.6603e-07
581.2	1.6745e-07
581.4	1.6888e-07
581.6	1.7033e-07
581.8	1.7178e-07
582.0	1.7325e-07
582.2	1.7473e-07
582.4	1.7623e-07
582.6	1.7773e-07
582.8	1.7925e-07
583.0	1.8079e-07
583.2	1.8233e-07
583.4	1.8389e-07
583.6	1.8546e-07
583.8	1.8705e-07
584.0	1.8865e-07
584.2	1.8881e-07
584.4	1.8841e-07
584.6	1.8801e-07
584.8	1.8762e-07
585.0	1.8722e-07
585.2	1.8683e-07
585.4	1.8643e-07
585.6	1.8604e-07
585.8	1.8564e-07
586.0	1.8525e-07
586.2	1.8486e-07
586.4	1.8447e-07
586.6	1.8408e-07
586.8	1.8369e-07
587.0	1.833e-07
587.2	1.8292e-07
587.4	1.8253e-07
587.6	1.8214e-07
587.8	1.8176e-07
588.0	1.8137e-07
588.2	1.8099e-07
588.4	1.8061e-07
588.6	1.8023e-07
588.8	1.7985e-07
589.0	1.7966e-07
589.2	1.8015e-07
589.4	1.8064e-07
589.6	1.8113e-07
589.8	1.8162e-07
590.0	1.8211e-07
590.2	1.8261e-07
590.4	1.831e-07
590.6	1.836e-07
590.8	1.841e-07
591.0	1.846e-07
591.2	1.851e-07
591.4	1.856e-07
591.6	1.861e-07
591.8	1.8661e-07
592.0	1.8712e-07
592.2	1.8762e-07
592.4	1.8813e-07
592.6	1.8864e-07
592.8	1.901e-07
593.0	1.9253e-07
593.2	1.9499e-07
593.4	1.9748e-07
593.6	2.0e-07
593.8	2.0255e-07
594.0	2.0514e-07
594.2	2.0776e-07
594.4	2.1041e-07
594.6	2.131e-07
594.8	2.1582e-07
595.0	2.1858e-07
595.2	2.2137e-07
595.4	2.242e-07
595.6	2.2706e-07
595.8	2.2996e-07
596.0	2.3289e-07
596.2	2.3587e-07
596.4	2.3625e-07
596.6	2.3657e-07
596.8	2.3689e-07
597.0	2.3721e-07
597.2	2.3752e-07
597.4	2.3784e-07
597.6	2.3816e-07
597.8	2.3848e-07
598.0	2.388e-07
598.2	2.3912e-07
598.4	2.3944e-07
598.6	2.3395e-07
598.8	2.0898e-07
599.0	1.8667e-07
599.2	1.6675e-07
599.4	1.4895e-07
599.6	1.3305e-07
599.8	1.1885e-07
600.0	1.0616e-07
600.2	8.7288e-08
600.4	6.5362e-08
600.6	4.8943e-08
600.8	6.4201e-08
601.0	8.5688e-08
601.2	8.3171e-08
601.4	5.5959e-08
601.6	7.0254e-08
601.8	8.8759e-08
602.0	1.0e-07
602.2	1.0e-07
602.4	1.0e-07
602.6	5.6984e-08
602.8	4.954e-08
603.0	7.002e-08
603.2	9.8967e-08
603.4	1.0e-07
603.6	1.0e-07
603.8	5.3876e-08
604.0	1.4248e-08
604.2	1.847e-08
604.4	2.4331e-08
604.6	3.0298e-08
604.8	3.5579e-08
605.0	4.178e-08
605.2	3.2142e-08
605.4	3.3187e-08
605.6	4.7775e-08
605.8	6.8776e-08
606.0	6.6597e-08
606.2	6.3701e-08
606.4	7.6239e-08
606.6	1.1748e-07
606.8	8.2404e-08
607.0	5.7798e-08
607.2	5.1854e-08
607.4	5.98e-08
607.6	6.8964e-08
607.8	9.0241e-08
608.0	1.0088e-07
608.2	9.535e-08
608.4	9.0122e-08
608.6	9.2716e-08
608.8	9.555e-08
609.0	5.244e-08
609.2	1.4542e-08
609.4	2.373e-08
609.6	4.1291e-08
609.8	6.172e-08
610.0	7.7182e-08
610.2	9.6518e-08
610.4	1.4949e-07
610.6	1.8389e-07
610.8	1.7543e-07
611.0	1.6737e-07
611.2	1.8738e-07
611.4	2.103e-07
611.6	2.2099e-07
611.8	2.1693e-07
612.0	3.0366e-07
612.2	4.2506e-07
612.4	5.9504e-07
612.6	8.3303e-07
612.8	1.166e-06
613.0	1.5639e-06
613.2	2.2343e-06
613.4	3.4134e-06
613.6	5.2148e-06
613.8	7.9855e-06
614.0	1.2229e-05
614.2	1.8581e-05
614.4	2.8448e-05
614.6	4.5177e-05
614.8	7.4324e-05
615.0	1.2335e-04
615.2	2.0687e-04
615.4	3.5997e-04
615.6	7.0242e-04
615.8	0.00125
616.0	0.00225
616.2	0.00425
616.4	0.00845
616.6	0.01755
616.8	0.03812
617.0	0.12167
617.2	0.25645
617.4	0.48686
617.6	0.73631
617.8	0.89679
618.0	0.95767
618.2	0.97299
618.4	0.97417
618.6	0.97151
618.8	0.9684
619.0	0.9646
619.2	0.96279
619.4	0.9629
619.6	0.96522
619.8	0.9685
620.0	0.97151
620.2	0.97387
620.4	0.97513
620.6	0.97405
620.8	0.97201
621.0	0.96985
621.2	0.96696
621.4	0.96452
621.6	0.96325
621.8	0.96365
622.0	0.96566
622.2	0.9683
622.4	0.97131
622.6	0.97462
622.8	0.97816
623.0	0.98048
623.2	0.98263
623.4	0.98351
623.6	0.98426
623.8	0.98349
624.0	0.98194
624.2	0.98025
624.4	0.97817
624.6	0.97635
624.8	0.97426
625.0	0.9721
625.2	0.96957
625.4	0.9678
625.6	0.96565
625.8	0.96372
626.0	0.9615
626.2	0.95906
626.4	0.95662
626.6	0.95421
626.8	0.95233
627.0	0.95007
627.2	0.94864
627.4	0.94655
627.6	0.94588
627.8	0.94614
628.0	0.94632
628.2	0.94737
628.4	0.94923
628.6	0.9515
628.8	0.95459
629.0	0.95841
629.2	0.96198
629.4	0.96552
629.6	0.96937
629.8	0.97315
630.0	0.97711
630.2	0.98067
630.4	0.98318
630.6	0.9854
630.8	0.98741
631.0	0.98855
631.2	0.98956
631.4	0.99052
631.6	0.99099
631.8	0.99097
632.0	0.991
632.2	0.99093
632.4	0.99062
632.6	0.9911
632.8	0.99156
633.0	0.99196
633.2	0.99187
633.4	0.99244
633.6	0.99296
633.8	0.99368
634.0	0.99421
634.2	0.99443
634.4	0.99438
634.6	0.99479
634.8	0.99413
635.0	0.99341
635.2	0.99233
635.4	0.99073
635.6	0.98905
635.8	0.98689
636.0	0.98468
636.2	0.98154
636.4	0.97858
636.6	0.97624
636.8	0.97334
637.0	0.97097
637.2	0.96757
637.4	0.96529
637.6	0.96383
637.8	0.96249
638.0	0.96123
638.2	0.96045
638.4	0.96033
638.6	0.96098
638.8	0.96199
639.0	0.96276
639.2	0.96494
639.4	0.96691
639.6	0.96917
639.8	0.97157
640.0	0.9747
640.2	0.97697
640.4	0.97943
640.6	0.98184
640.8	0.98388
641.0	0.98589
641.2	0.98766
641.4	0.98849
641.6	0.98947
641.8	0.99009
642.0	0.99029
642.2	0.99003
642.4	0.98961
642.6	0.98906
642.8	0.98869
643.0	0.98759
643.2	0.98681
643.4	0.98616
643.6	0.9856
643.8	0.98525
644.0	0.98455
644.2	0.98463
644.4	0.98502
644.6	0.98557
644.8	0.98655
645.0	0.98739
645.2	0.98808
645.4	0.98906
645.6	0.99038
645.8	0.99142
646.0	0.99263
646.2	0.99335
646.4	0.99408
646.6	0.99459
646.8	0.99539
647.0	0.99576
647.2	0.99536
647.4	0.99513
647.6	0.99454
647.8	0.99397
648.0	0.99302
648.2	0.99204
648.4	0.99142
648.6	0.99061
648.8	0.99008
649.0	0.9892
649.2	0.98857
649.4	0.98867
649.6	0.98812
649.8	0.98858
650.0	0.98879
650.2	0.98897
650.4	0.98956
650.6	0.99027
650.8	0.99096
651.0	0.99182
651.2	0.99216
651.4	0.99292
651.6	0.99294
651.8	0.99369
652.0	0.9934
652.2	0.99282
652.4	0.99309
652.6	0.99224
652.8	0.99108
653.0	0.99031
653.2	0.98958
653.4	0.98833
653.6	0.9875
653.8	0.98691
654.0	0.98624
654.2	0.98588
654.4	0.98585
654.6	0.98569
654.8	0.98627
655.0	0.98751
655.2	0.98795
655.4	0.98931
655.6	0.99023
655.8	0.99209
656.0	0.99332
656.2	0.9951
656.4	0.9959
656.6	0.99678
656.8	0.99745
657.0	0.9976
657.2	0.99817
657.4	0.99766
657.6	0.99684
657.8	0.99578
658.0	0.99434
658.2	0.99189
658.4	0.99051
658.6	0.98839
658.8	0.98713
659.0	0.98534
659.2	0.98339
659.4	0.98188
659.6	0.98077
659.8	0.98024
660.0	0.98036
660.2	0.98058
660.4	0.9808
660.6	0.98166
660.8	0.98304
661.0	0.98489
661.2	0.98675
661.4	0.98866
661.6	0.99053
661.8	0.99193
662.0	0.9935
662.2	0.9952
662.4	0.99564
662.6	0.99654
662.8	0.99661
663.0	0.99673
663.2	0.9962
663.4	0.99543
663.6	0.99438
663.8	0.99332
664.0	0.99205
664.2	0.9911
664.4	0.98959
664.6	0.9891
664.8	0.98814
665.0	0.98827
665.2	0.98805
665.4	0.98828
665.6	0.98918
665.8	0.98948
666.0	0.99057
666.2	0.99166
666.4	0.9931
666.6	0.99404
666.8	0.99511
667.0	0.99534
667.2	0.99615
667.4	0.99605
667.6	0.99575
667.8	0.99528
668.0	0.99416
668.2	0.99306
668.4	0.99096
668.6	0.98946
668.8	0.98836
669.0	0.98665
669.2	0.98563
669.4	0.98489
669.6	0.98455
669.8	0.98456
670.0	0.98482
670.2	0.9857
670.4	0.98676
670.6	0.98811
670.8	0.9898
671.0	0.99153
671.2	0.99316
671.4	0.99428
671.6	0.99514
671.8	0.99574
672.0	0.99594
672.2	0.99581
672.4	0.99403
672.6	0.9925
672.8	0.99023
673.0	0.98673
673.2	0.98396
673.4	0.98123
673.6	0.97919
673.8	0.97695
674.0	0.97544
674.2	0.9743
674.4	0.97392
674.6	0.97321
674.8	0.97423
675.0	0.97474
675.2	0.97621
675.4	0.97729
675.6	0.97909
675.8	0.98053
676.0	0.98276
676.2	0.98298
676.4	0.98444
676.6	0.98482
676.8	0.9848
677.0	0.9845
677.2	0.98376
677.4	0.98266
677.6	0.98179
677.8	0.98001
678.0	0.97918
678.2	0.97756
678.4	0.97632
678.6	0.97523
678.8	0.9739
679.0	0.97379
679.2	0.97229
679.4	0.9722
679.6	0.97267
679.8	0.97276
680.0	0.97364
680.2	0.97366
680.4	0.97358
680.6	0.97324
680.8	0.97289
681.0	0.97185
681.2	0.97117
681.4	0.97043
681.6	0.96882
681.8	0.96286
682.0	0.94028
682.2	0.90082
682.4	0.79146
682.6	0.62372
682.8	0.43317
683.0	0.27053
683.2	0.15904
683.4	0.09136
683.6	0.05158
683.8	0.02992
684.0	0.01766
684.2	0.01069
684.4	0.00659
684.6	0.00417
684.8	0.0026
685.0	0.00167
685.2	0.0011
685.4	7.417e-04
685.6	5.0571e-04
685.8	3.4431e-04
686.0	2.4373e-04
686.2	1.7019e-04
686.4	1.2155e-04
686.6	8.6818e-05
686.8	6.2936e-05
687.0	4.5814e-05
687.2	3.3327e-05
687.4	2.4202e-05
687.6	1.7996e-05
687.8	1.3464e-05
688.0	1.0135e-05
688.2	7.736e-06
688.4	5.9049e-06
688.6	4.5481e-06
688.8	3.5077e-06
689.0	2.6999e-06
689.2	2.0781e-06
689.4	1.6518e-06
689.6	1.3246e-06
689.8	1.0357e-06
690.0	7.6235e-07
690.2	6.3912e-07
690.4	5.5408e-07
690.6	4.8246e-07
690.8	4.2418e-07
691.0	3.7294e-07
691.2	2.5491e-07
691.4	1.8546e-07
691.6	1.8265e-07
691.8	1.7988e-07
692.0	1.6236e-07
692.2	1.4318e-07
692.4	1.3118e-07
692.6	1.3139e-07
692.8	7.4759e-08
693.0	3.5581e-08
693.2	2.5424e-08
693.4	5.4496e-08
693.6	1.1681e-07
693.8	6.7075e-08
694.0	3.8584e-08
694.2	5.6618e-08
694.4	8.3082e-08
694.6	9.2112e-08
694.8	9.5001e-08
695.0	7.9147e-08
695.2	4.054e-08
695.4	2.618e-08
695.6	1.8119e-08
695.8	1.6252e-08
696.0	2.8397e-08
696.2	4.962e-08
696.4	7.2221e-08
696.6	8.4495e-08
696.8	6.5881e-08
697.0	5.1368e-08
697.2	6.1683e-08
697.4	8.2237e-08
697.6	4.1366e-08
697.8	3.3757e-08
698.0	6.3125e-08
698.2	8.7333e-08
698.4	5.2384e-08
698.6	3.1421e-08
698.8	3.1869e-08
699.0	3.7486e-08
699.2	4.4092e-08
699.4	5.1862e-08
699.6	6.1002e-08
699.8	7.1753e-08
700.0	8.4398e-08
700.2	9.9272e-08
700.4	1.0e-07
700.6	1.0e-07
700.8	1.0e-07
701.0	1.0e-07
701.2	1.0e-07
701.4	1.0e-07
701.6	1.0e-07
701.8	1.0e-07
702.0	1.0e-07
702.2	1.0e-07
702.4	1.0e-07
702.6	1.0e-07
702.8	1.0e-07
703.0	1.0e-07
703.2	1.0e-07
703.4	1.0e-07
703.6	1.0e-07
703.8	9.9316e-08
704.0	9.8063e-08
704.2	9.6825e-08
704.4	9.5603e-08
704.6	9.4396e-08
704.8	9.3205e-08
705.0	9.2028e-08
705.2	9.0867e-08
705.4	8.972e-08
705.6	8.8587e-08
705.8	8.7469e-08
706.0	8.6365e-08
706.2	8.5275e-08
706.4	8.4199e-08
706.6	8.3136e-08
706.8	8.2086e-08
707.0	8.105e-08
707.2	8.0027e-08
707.4	7.9017e-08
707.6	7.802e-08
707.8	7.7035e-08
708.0	7.6063e-08
708.2	7.5103e-08
708.4	7.4155e-08
708.6	7.3337e-08
708.8	7.5389e-08
709.0	7.7499e-08
709.2	7.9667e-08
709.4	8.1897e-08
709.6	8.4189e-08
709.8	8.6545e-08
710.0	8.8966e-08
710.2	9.1456e-08
710.4	9.4015e-08
710.6	9.6646e-08
710.8	9.9351e-08
711.0	1.0213e-07
711.2	1.0499e-07
711.4	1.0793e-07
711.6	1.1095e-07
711.8	1.1405e-07
712.0	1.1724e-07
712.2	1.2052e-07
712.4	1.239e-07
712.6	1.2736e-07
712.8	1.3093e-07
713.0	1.3459e-07
713.2	1.3836e-07
713.4	1.4223e-07
713.6	1.4262e-07
713.8	1.4006e-07
714.0	1.3756e-07
714.2	1.3509e-07
714.4	1.3267e-07
714.6	1.303e-07
714.8	1.2797e-07
715.0	1.2567e-07
715.2	1.2342e-07
715.4	1.2121e-07
715.6	1.1904e-07
715.8	1.1691e-07
716.0	1.1482e-07
716.2	1.1276e-07
716.4	1.1074e-07
716.6	1.0876e-07
716.8	1.0681e-07
717.0	1.049e-07
717.2	1.0302e-07
717.4	1.0118e-07
717.6	9.9367e-08
717.8	9.7588e-08
718.0	9.5841e-08
718.2	9.4125e-08
718.4	9.2517e-08
718.6	9.277e-08
718.8	9.3023e-08
719.0	9.3278e-08
719.2	9.3533e-08
719.4	9.3789e-08
719.6	9.4045e-08
719.8	9.4302e-08
720.0	9.456e-08
720.2	9.4819e-08
720.4	9.5078e-08
720.6	9.5338e-08
720.8	9.5599e-08
721.0	9.586e-08
721.2	9.6123e-08
721.4	9.6385e-08
721.6	9.6649e-08
721.8	9.6913e-08
722.0	9.7178e-08
722.2	9.7444e-08
722.4	9.7711e-08
722.6	9.7978e-08
722.8	9.8246e-08
723.0	9.8515e-08
723.2	9.8784e-08
723.4	9.8289e-08
723.6	9.7166e-08
723.8	9.6056e-08
724.0	9.4958e-08
724.2	9.3873e-08
724.4	9.2801e-08
724.6	9.1741e-08
724.8	9.0692e-08
725.0	8.9656e-08
725.2	8.8632e-08
725.4	8.7619e-08
725.6	8.6618e-08
725.8	8.5628e-08
726.0	8.465e-08
726.2	8.3682e-08
726.4	8.2726e-08
726.6	8.1781e-08
726.8	8.0847e-08
727.0	7.9923e-08
727.2	7.901e-08
727.4	7.8107e-08
727.6	7.7214e-08
727.8	7.6332e-08
728.0	7.546e-08
728.2	7.459e-08
728.4	7.3419e-08
728.6	7.2267e-08
728.8	7.1133e-08
729.0	7.0017e-08
729.2	6.8918e-08
729.4	6.7836e-08
729.6	6.6772e-08
729.8	6.5724e-08
730.0	6.4693e-08
730.2	6.3677e-08
730.4	6.2678e-08
730.6	6.1694e-08
730.8	6.0726e-08
731.0	5.9773e-08
731.2	5.8835e-08
731.4	5.7912e-08
731.6	5.7003e-08
731.8	5.6109e-08
732.0	5.5228e-08
732.2	5.4361e-08
732.4	5.3508e-08
732.6	5.2669e-08
732.8	5.1842e-08
733.0	5.1029e-08
733.2	5.0942e-08
733.4	5.1551e-08
733.6	5.2168e-08
733.8	5.2791e-08
734.0	5.3422e-08
734.2	5.4061e-08
734.4	5.4707e-08
734.6	5.5361e-08
734.8	5.6023e-08
735.0	5.6693e-08
735.2	5.737e-08
735.4	5.8056e-08
735.6	5.875e-08
735.8	5.9453e-08
736.0	6.0163e-08
736.2	6.0883e-08
736.4	6.161e-08
736.6	6.2347e-08
736.8	6.3092e-08
737.0	6.3846e-08
737.2	6.461e-08
737.4	6.5382e-08
737.6	6.6164e-08
737.8	6.6955e-08
738.0	6.7694e-08
738.2	6.6468e-08
738.4	6.5265e-08
738.6	6.4083e-08
738.8	6.2923e-08
739.0	6.1784e-08
739.2	6.0666e-08
739.4	5.9568e-08
739.6	5.8489e-08
739.8	5.743e-08
740.0	5.6391e-08
740.2	5.537e-08
740.4	5.4367e-08
740.6	5.3383e-08
740.8	5.2417e-08
741.0	5.1468e-08
741.2	5.0536e-08
741.4	4.9621e-08
741.6	4.8723e-08
741.8	4.7841e-08
742.0	4.6975e-08
742.2	4.6125e-08
742.4	4.529e-08
742.6	4.447e-08
742.8	4.3665e-08
743.0	4.3405e-08
743.2	4.3585e-08
743.4	4.3765e-08
743.6	4.3945e-08
743.8	4.4127e-08
744.0	4.4309e-08
744.2	4.4492e-08
744.4	4.4676e-08
744.6	4.486e-08
744.8	4.5045e-08
745.0	4.5231e-08
745.2	4.5418e-08
745.4	4.5606e-08
745.6	4.5794e-08
745.8	4.5983e-08
746.0	4.6173e-08
746.2	4.6364e-08
746.4	4.6555e-08
746.6	4.6747e-08
746.8	4.694e-08
747.0	4.7134e-08
747.2	4.7329e-08
747.4	4.7524e-08
747.6	4.772e-08
747.8	4.789e-08
748.0	4.7318e-08
748.2	4.6752e-08
748.4	4.6193e-08
748.6	4.564e-08
748.8	4.5094e-08
749.0	4.4555e-08
749.2	4.4022e-08
749.4	4.3496e-08
749.6	4.2976e-08
749.8	4.2462e-08
750.0	4.1954e-08
750.2	4.1452e-08
750.4	4.0957e-08
750.6	4.0467e-08
750.8	3.9983e-08
751.0	3.9505e-08
751.2	3.9032e-08
751.4	3.8566e-08
751.6	3.8104e-08
751.8	3.7649e-08
752.0	3.7198e-08
752.2	3.6754e-08
752.4	3.6314e-08
752.6	3.6085e-08
752.8	3.6712e-08
753.0	3.7349e-08
753.2	3.7998e-08
753.4	3.8658e-08
753.6	3.9329e-08
753.8	4.0012e-08
754.0	4.0707e-08
754.2	4.1414e-08
754.4	4.2133e-08
754.6	4.2865e-08
754.8	4.361e-08
755.0	4.4367e-08
755.2	4.5138e-08
755.4	4.5921e-08
755.6	4.6719e-08
755.8	4.753e-08
756.0	4.8356e-08
756.2	4.8826e-08
756.4	4.9232e-08
756.6	4.9642e-08
756.8	5.0055e-08
757.0	5.0472e-08
757.2	5.0892e-08
757.4	5.1316e-08
757.6	5.1743e-08
757.8	5.2174e-08
758.0	5.2608e-08
758.2	5.3046e-08
758.4	5.3487e-08
758.6	5.3933e-08
758.8	5.4382e-08
759.0	5.4834e-08
759.2	5.5291e-08
759.4	5.6156e-08
759.6	5.9164e-08
759.8	6.2334e-08
760.0	6.5673e-08
760.2	6.9191e-08
760.4	7.2898e-08
760.6	7.6803e-08
760.8	8.0917e-08
761.0	8.4475e-08
761.2	8.5978e-08
761.4	8.7508e-08
761.6	8.9065e-08
761.8	9.065e-08
762.0	9.2263e-08
762.2	9.3905e-08
762.4	9.5576e-08
762.6	9.7277e-08
762.8	9.9008e-08
763.0	1.0077e-07
763.2	1.0256e-07
763.4	1.0439e-07
763.6	1.0625e-07
763.8	1.0814e-07
764.0	1.1006e-07
764.2	1.1202e-07
764.4	1.1401e-07
764.6	1.1465e-07
764.8	1.0131e-07
765.0	8.9527e-08
765.2	7.911e-08
765.4	6.9906e-08
765.6	6.1772e-08
765.8	5.4585e-08
766.0	4.8234e-08
766.2	4.2622e-08
766.4	3.7663e-08
766.6	3.3281e-08
766.8	2.9409e-08
767.0	2.5987e-08
767.2	2.2963e-08
767.4	2.0292e-08
767.6	1.7931e-08
767.8	1.5844e-08
768.0	1.4001e-08
768.2	1.2372e-08
768.4	1.2925e-08
768.6	1.3701e-08
768.8	1.4523e-08
769.0	1.5395e-08
769.2	1.6319e-08
769.4	1.7298e-08
769.6	1.8336e-08
769.8	1.9437e-08
770.0	2.0603e-08
770.2	2.184e-08
770.4	2.3151e-08
770.6	2.454e-08
770.8	2.6013e-08
771.0	2.7574e-08
771.2	2.9229e-08
771.4	3.0984e-08
771.6	3.2843e-08
771.8	3.4815e-08
772.0	3.6065e-08
772.2	3.7091e-08
772.4	3.8145e-08
772.6	3.923e-08
772.8	4.0345e-08
773.0	4.1493e-08
773.2	4.2672e-08
773.4	4.3886e-08
773.6	4.5133e-08
773.8	4.6417e-08
774.0	4.7737e-08
774.2	4.9094e-08
774.4	5.049e-08
774.6	5.1925e-08
774.8	5.3402e-08
775.0	5.492e-08
775.2	5.6482e-08
775.4	5.8088e-08
775.6	5.9788e-08
775.8	6.1568e-08
776.0	6.3402e-08
776.2	6.5291e-08
776.4	6.7236e-08
776.6	6.9238e-08
776.8	7.1301e-08
777.0	7.3424e-08
777.2	7.5611e-08
777.4	7.7863e-08
777.6	8.0183e-08
777.8	8.2571e-08
778.0	8.503e-08
