Typical Measured Spectrum of Semrock LL01-785 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
549.8	0.21683
550.0	0.23037
550.2	0.24767
550.4	0.26658
550.6	0.28907
550.8	0.31604
551.0	0.34611
551.2	0.37876
551.4	0.41131
551.6	0.43911
551.8	0.45718
552.0	0.46022
552.2	0.44638
552.4	0.41743
552.6	0.37883
552.8	0.33593
553.0	0.29412
553.2	0.25622
553.4	0.22332
553.6	0.19553
553.8	0.17263
554.0	0.15375
554.2	0.13852
554.4	0.12621
554.6	0.1162
554.8	0.10845
555.0	0.10227
555.2	0.0975
555.4	0.0941
555.6	0.09171
555.8	0.09037
556.0	0.08982
556.2	0.09011
556.4	0.09108
556.6	0.09252
556.8	0.09448
557.0	0.09666
557.2	0.09895
557.4	0.101
557.6	0.10252
557.8	0.10309
558.0	0.10266
558.2	0.10079
558.4	0.09764
558.6	0.09332
558.8	0.08798
559.0	0.08213
559.2	0.07609
559.4	0.07003
559.6	0.06437
559.8	0.05908
560.0	0.05437
560.2	0.05013
560.4	0.04637
560.6	0.0431
560.8	0.04029
561.0	0.03779
561.2	0.03576
561.4	0.034
561.6	0.03253
561.8	0.03132
562.0	0.03044
562.2	0.02973
562.4	0.02925
562.6	0.02896
562.8	0.02895
563.0	0.02912
563.2	0.02951
563.4	0.03015
563.6	0.03105
563.8	0.03227
564.0	0.03376
564.2	0.03561
564.4	0.03798
564.6	0.04088
564.8	0.04444
565.0	0.04884
565.2	0.05426
565.4	0.06096
565.6	0.06931
565.8	0.07991
566.0	0.09339
566.2	0.11077
566.4	0.13334
566.6	0.16304
566.8	0.20223
567.0	0.25292
567.2	0.31745
567.4	0.39395
567.6	0.47314
567.8	0.53662
568.0	0.56418
568.2	0.54679
568.4	0.49642
568.6	0.43226
568.8	0.36941
569.0	0.31554
569.2	0.27173
569.4	0.23715
569.6	0.21022
569.8	0.18964
570.0	0.17206
570.2	0.15897
570.4	0.15074
570.6	0.14511
570.8	0.1413
