Wavelength [nm],#34-Bleu.csv
430.7,0.6325288751852467
430.91,0.609463034089041
431.11,0.6372083311583233
431.32,0.6053719068861652
431.53,0.6220577389573577
431.74,0.6094085372118143
431.94,0.619256005565635
432.15,0.6134565357996621
432.36,0.6573204536890717
432.56,0.6084043832209466
432.77,0.5978043155200845
432.98,0.5841190631081686
433.19,0.6111678949916618
433.39,0.6031468084925232
433.6,0.5733635326896567
433.81,0.6148844810372491
434.02,0.5583756212330183
434.22,0.5850378008536458
434.43,0.6185755142418925
434.64,0.5708318877297165
434.84,0.5851872942057297
435.05,0.5735776107145113
435.26,0.5434604973530046
435.47,0.6028283468457702
435.67,0.5844643564804103
435.88,0.5677907422708541
436.09,0.5551471063441469
436.29,0.5356435668101579
436.5,0.523005635044186
436.71,0.5594130479369045
436.92,0.5253312411516052
437.12,0.5358908389460209
437.33,0.5539630669075903
437.54,0.5130457693649473
437.74,0.5462842114318721
437.95,0.5906857296779914
438.16,0.5244014039916755
438.36,0.5470839622203033
438.57,0.5568366316813347
438.78,0.5206286542775791
438.99,0.5205345858519089
439.19,0.5154034171525319
439.4,0.5756064582258053
439.61,0.522632797285877
439.81,0.5254368515439347
440.02,0.49337555397176575
440.23,0.5105943989465457
440.43,0.4902895968922925
440.64,0.49634348638590425
440.85,0.5081763092551062
441.05,0.5243769344132573
441.26,0.5305046750682386
441.47,0.5018219540067416
441.67,0.4951243147273479
441.88,0.5065258522825002
442.09,0.4969701267537007
442.29,0.4842312370158799
442.5,0.5175613216462405
442.71,0.4844927668903614
442.91,0.518134117918216
443.12,0.5071634157808433
443.33,0.5529638895061418
443.53,0.45267903259617526
443.74,0.486655304355678
443.95,0.4917461196178815
444.15,0.5013796058078852
444.36,0.476579806231554
444.57,0.4521394629614998
444.77,0.48185238476870595
444.98,0.4626292757356221
445.19,0.44503264473639237
445.39,0.518424888563401
445.6,0.48720255335582285
445.81,0.45967536512326324
446.01,0.4595001216547728
446.22,0.49673722814879223
446.43,0.44512877340629675
446.63,0.4240044686060937
446.84,0.457485363813772
447.05,0.4367968278203799
447.25,0.4350218520566961
447.46,0.4297087357062687
447.67,0.44828792440421916
447.87,0.43944294487457486
448.08,0.4372174802327848
448.28,0.4013029535864979
448.49,0.43999015853977336
448.7,0.40791228394591716
448.9,0.4506133031363608
449.11,0.4419059649660059
449.32,0.4281292243794448
449.52,0.41683382075977277
449.73,0.4329297268133761
449.93,0.4291810186268936
450.14,0.381090092887425
450.35,0.41360552214146246
450.55,0.3753893722555663
450.76,0.38727250839926897
450.97,0.40545777891875445
451.17,0.4144178380409078
451.38,0.38676344283127956
451.58,0.3853295917827077
451.79,0.4043914605235292
