Wavelength [nm],#20-Miroir inconnu.csv
422.19,0.5776849220940814
422.39,0.521219059385166
422.6,0.605650221381095
422.81,0.49477139324017005
423.02,0.5511093090097493
423.22,0.5726943091137466
423.43,0.5373365647655999
423.64,0.5404896036752652
423.85,0.5383117113456584
424.06,0.547391115087077
424.26,0.5676996556703321
424.47,0.582177144785138
424.68,0.6022095434554442
424.89,0.5625733503684993
425.09,0.516421507494064
425.3,0.5522681857496495
425.51,0.5629206290238588
425.72,0.5898028156111669
425.93,0.5696094409953493
426.13,0.5672923571581528
426.34,0.5829943055945092
426.55,0.6118524468262011
426.76,0.5913590845875797
426.96,0.5947190706401116
427.17,0.5931082072117512
427.38,0.5804463706985789
427.59,0.5516691606917171
427.79,0.5781745727641965
428.0,0.6132263599684645
428.21,0.6133737084374656
428.42,0.5625158207098048
428.62,0.601750131605064
428.83,0.6162454601624546
429.04,0.6105943451385263
429.25,0.6188699005093541
429.45,0.6311359694909596
429.66,0.6487764514454061
429.87,0.6057374533589623
430.08,0.6091219477058273
430.28,0.6581338377073361
430.49,0.5645125593186724
430.7,0.6252442053100643
430.91,0.6302362769566452
431.11,0.6747679392266381
431.32,0.5996644757874114
431.53,0.6014726484866256
431.74,0.6317942139328763
431.94,0.6359419973535951
432.15,0.666527052400938
432.36,0.641891753736684
432.56,0.6175824054892056
432.77,0.6384143652151439
432.98,0.6291410360927888
433.19,0.6410780569153801
433.39,0.6694205025017241
433.6,0.657955246035673
433.81,0.6833327471028943
434.02,0.6071216399766555
434.22,0.6777500759782367
434.43,0.6897647601103015
434.64,0.6650395221305104
434.84,0.6672703737975287
435.05,0.638910859814265
435.26,0.6796084203465981
435.47,0.6871899949781536
435.67,0.670972666608154
435.88,0.667971696049133
436.09,0.7089411600474629
436.29,0.6672341880850241
436.5,0.6955355117303315
436.71,0.6771497292445217
436.92,0.6609508865368608
437.12,0.6649256729610286
437.33,0.640177873463791
437.54,0.6595389640963838
437.74,0.6323808821541373
437.95,0.7113716424194717
438.16,0.6565859299772293
438.36,0.7007761912566568
438.57,0.6722366459276435
438.78,0.69336883529767
438.99,0.707532567888074
439.19,0.6738419715992418
439.4,0.6995563180455701
439.61,0.6615527820985462
439.81,0.6693617408297906
440.02,0.6740823627461677
440.23,0.6593737016667958
440.43,0.6704968877974691
440.64,0.6587314806997688
440.85,0.6685535997153976
441.05,0.6912150111678714
441.26,0.6971206225680934
441.47,0.684975647386616
441.67,0.6759753064668054
441.88,0.666554290366599
442.09,0.6642227900454538
442.29,0.6739832016692969
442.5,0.7093085191248917
442.71,0.7122295065805688
442.91,0.6940118957743895
443.12,0.7456121641611339
443.33,0.6818271962458275
443.53,0.6587504835506339
443.74,0.683709380678804
443.95,0.6831496165556767
444.15,0.6575070312170499
444.36,0.6973589400959695
444.57,0.6724132871316184
444.77,0.6532841236370523
444.98,0.6336975891404951
445.19,0.652195116393013
445.39,0.670466895290674
445.6,0.6583455435535717
445.81,0.6798517031236956
446.01,0.6624202826408684
446.22,0.6820519680299636
446.43,0.6711213415795092
446.63,0.6497080467385021
446.84,0.6581496921484344
447.05,0.6414252019643814
447.25,0.6677663185520166
447.46,0.6607910031448987
447.67,0.7017772564347131
447.87,0.6268903677668348
448.08,0.6784099887044485
448.28,0.6446604781997187
448.49,0.6073213434471911
448.7,0.6461988622148739
448.9,0.6584565004011447
449.11,0.6641976568863256
449.32,0.6314610557111977
449.52,0.6466949425040959
449.73,0.6290679698280781
449.93,0.6752343689039004
450.14,0.6298952606510034
450.35,0.6683754655660695
450.55,0.5975506942279812
450.76,0.6525646497477483
450.97,0.6161087497955559
451.17,0.616051283498987
451.38,0.6387000302768789
451.58,0.612004023931805
451.79,0.6130259297259398
452.0,0.614173646725766
452.2,0.5672026195965361
452.41,0.6040297819326865
452.62,0.6318263410221251
452.82,0.5715453427982521
453.03,0.6018917494200329
453.23,0.5802269455334627
453.44,0.5796579970617742
453.65,0.5877541790324937
453.85,0.6045733710228608
454.06,0.5435006035926929
454.26,0.5855288304712656
454.47,0.5655736628540663
454.68,0.5699262409539426
454.88,0.5281746606949218
455.09,0.5775117252587761
455.29,0.5538101753466663
455.5,0.5701066187674015
455.71,0.5421317353131216
455.91,0.55484387510008
456.12,0.5664719443311839
456.32,0.5909150821832919
456.53,0.5502243707140885
456.73,0.5573747176286533
456.94,0.5433084343401456
457.15,0.5463358568348262
457.35,0.5623450596431464
457.56,0.5539875956860095
457.76,0.5123118952552377
457.97,0.5366096785030464
458.18,0.5292545123267371
458.38,0.5038267235381311
458.59,0.49339248885010495
458.79,0.5366211399833853
459.0,0.5138782221065423
459.2,0.5510041778704247
459.41,0.518146734175989
459.62,0.5115475280047461
459.82,0.5265037603989802
460.03,0.4862104307105182
460.23,0.4799473239199838
460.44,0.5249031663772191
460.64,0.4808381983246056
460.85,0.48863221683742974
461.06,0.48015263693996385
461.26,0.48103197686435256
461.47,0.49255929680225985
461.67,0.4859306464354647
461.88,0.490710678061964
462.08,0.48919975780376174
462.29,0.475094969843289
462.49,0.48463548387640915
462.7,0.47076343124346615
462.91,0.46877983056665057
463.11,0.43994044330703336
463.32,0.4615821868952562
463.52,0.4520907484080289
463.73,0.46040117217643245
463.93,0.4587225770197514
464.14,0.45831772531428
464.34,0.453212863145807
464.55,0.4491512036819771
464.75,0.42924531669172333
464.96,0.46641074856046066
465.16,0.43999371110677504
465.37,0.4513782948554808
465.58,0.44964473078296946
465.78,0.4118029517623838
465.99,0.4431341062467555
466.19,0.44051817998987497
466.4,0.4253710389938385
466.6,0.4572351740273481
466.81,0.46516069032592416
467.01,0.44304643382510955
467.22,0.4440344369584816
467.42,0.4356319127568799
467.63,0.43199249103531046
467.83,0.4383625242730729
468.04,0.4257657516263369
468.24,0.43940198619169507
468.45,0.4093856599097753
468.65,0.40769571931358944
