Wavelength [nm],#46.csv
418.23,0.05324480491748829
418.44,0.040949868477982064
418.65,0.08080686161555206
418.86,0.05359067462605843
419.07,0.07642218801563663
419.27,0.053671868327619277
419.48,0.06436221813070424
419.69,0.024694070423959668
419.9,0.06765089428292234
420.11,0.04523800731193917
420.31,0.050802903850679836
420.52,0.06447499132060817
420.73,0.06047073023536516
420.94,0.06027299324284464
421.15,0.059656437133108524
421.35,0.036414832873111626
421.56,0.018352085288341573
421.77,0.0487890534850041
421.98,0.02932015057961462
422.19,0.0603747655393987
422.39,0.09656929724140481
422.6,0.03657615966123956
422.81,0.02219670002316578
423.02,0.029398572592191276
423.22,0.05879803769547719
423.43,0.023587375224067966
423.64,0.051608439750392816
423.85,0.038971173907855865
424.06,0.017600504536371558
424.26,0.0365878040653116
424.47,0.07624198676986313
424.68,0.08326463314097284
424.89,0.05645987145601907
425.09,0.06796324070084969
425.3,0.05110335662991576
425.51,0.050228371085600215
425.72,0.054090749968101114
425.93,0.045807543626605905
426.13,0.03329380818905594
426.34,0.06524143712046492
426.55,0.05623448868752729
426.76,0.05589857473682213
426.96,0.041319774720443535
427.17,0.0442774169392296
427.38,0.02910987065504468
427.59,0.053145684724632124
427.79,0.026818913326691732
428.0,0.04423936063318342
428.21,0.03508652020290573
428.42,0.013964921483532771
428.62,0.02836628494006579
428.83,0.06323673463236738
429.04,0.029962699050436043
429.25,0.0568794528807858
429.45,0.03733566451371976
429.66,0.03664398110739963
429.87,0.020181233746305094
430.08,0.018799971187783652
430.28,0.05426001297515036
430.49,0.04272669002526526
430.7,0.04732706187893243
430.91,0.05440198466665674
431.11,0.06015617083603294
431.32,0.0321827551113184
431.53,0.03991138044505265
431.74,0.053626218619929444
431.94,0.05496610146370745
432.15,0.06057264643114598
432.36,0.036924308235163565
432.56,0.021775793241388067
432.77,0.014425332400673119
432.98,0.015621268641353159
433.19,0.036577942246546515
433.39,0.04297629960522995
433.6,0.03124098715909966
433.81,0.047741705064760456
434.02,0.023624520090132793
434.22,0.026521111191795992
434.43,0.051309628743096074
434.64,0.0571759763539591
434.84,0.03332516087872344
435.05,0.0284313601617285
435.26,0.04104506413208097
435.47,0.03842652394239113
435.67,0.04840858859481847
435.88,0.05257440855399143
436.09,0.03770916865074751
436.29,0.04028410766550439
436.5,0.04021194650228299
436.71,0.04329690409156412
436.92,0.03388479421431286
437.12,0.021138974219485015
437.33,0.016723693821844632
437.54,0.020665864850952568
437.74,0.03790387002421072
437.95,0.02506139164864366
438.16,0.027547004809794516
438.36,0.028882729805695357
438.57,0.04607207158524576
438.78,0.02668885955346384
438.99,0.022951720157061387
439.19,0.02682929737334719
439.4,0.042083148566817656
439.61,0.043903633936335715
439.81,0.0197548081071438
440.02,0.02611937699795477
440.23,0.06425649078579529
440.43,0.031221388673995924
440.64,0.02567203411681223
440.85,0.025707960453729303
441.05,0.05346300808974954
441.26,0.024198850107439482
441.47,0.020294243775289968
441.67,0.04550865470841891
441.88,0.02835322852523309
442.09,0.009202853959880797
442.29,0.041052151785080336
442.5,0.045358258816252314
442.71,0.030324369112755788
442.91,0.0323453114232831
443.12,0.05003038746889587
443.33,0.02887549250814179
443.53,0.000283106739885441
443.74,0.022887908168448167
443.95,0.035222914083815816
444.15,0.013867091684406594
444.36,0.04184336567269063
444.57,0.026025711931555267
444.77,0.03625827699854729
444.98,0.02955298789651996
445.19,0.02690655515422219
445.39,0.012053226673426827
445.6,0.02682159448438798
445.81,0.030629041614312555
446.01,0.040628229710997395
446.22,0.01826572584690502
446.43,0.03061082599385176
446.63,0.04963746701047224
446.84,0.042338504893856606
447.05,0.058582774061962356
447.25,0.018373079133725934
447.46,0.03427383955460236
447.67,0.032721014349112794
447.87,0.0175374755710436
448.08,0.03639514731369153
448.28,0.01656033755274264
448.49,0.04120452443559887
448.7,0.02568609748403731
448.9,0.04708148154625408
449.11,0.02570024392370528
449.32,0.027517104315098188
449.52,0.021569987072444643
449.73,0.026231311150537992
449.93,0.03933830496382751
450.14,0.017191378131170786
450.35,0.011177939297368038
450.55,0.018302849504093006
450.76,0.0002867242303862261
450.97,0.04171074724078037
451.17,0.0431466734998339
451.38,0.011721477429307629
451.58,0.018529147032350316
451.79,0.03399382752856467
452.0,0.03454783882067644
452.2,0.02454978166719291
452.41,0.028618514631012077
452.62,0.03142006638128286
452.82,0.009523849140898497
453.03,0.02341850900949932
453.23,0.04858681574984033
453.44,0.024692947236576234
453.65,0.013057913095335796
453.85,0.041593085699476263
454.06,0.037664574081983315
454.26,0.034755061567309814
454.47,0.03101544487737711
454.68,0.034079035550740024
454.88,0.014522642662258212
455.09,0.034467670321470384
455.29,0.02183536626784278
455.5,0.012876397561377264
455.71,0.019356870467334055
455.91,0.020339311829511136
456.12,0.02765082929298982
456.32,0.046197731721471944
456.53,0.027482719243779635
456.73,0.027970232565012385
456.94,0.03696523753267413
457.15,0.04144305023889361
457.35,0.04243208230355888
457.56,0.029910009753467557
457.76,0.027671841165130173
457.97,0.04719192705417151
