Wavelength [nm],#38-46832.csv
439.19,0.14217786839312757
439.4,0.1491919948241144
439.61,0.14128381936874596
439.81,0.16108645614460587
440.02,0.18165630883592224
440.23,0.16344269259929536
440.43,0.1673633931169578
440.64,0.17473913827211765
440.85,0.16136041863472583
441.05,0.177918831475248
441.26,0.1520669028398862
441.47,0.18812962825430216
441.67,0.16482007286986655
441.88,0.19730755558613416
442.09,0.18981029264755336
442.29,0.19769303535803534
442.5,0.18797450178080075
442.71,0.17127318221615065
442.91,0.1748782317676914
443.12,0.18136846812755858
443.33,0.21220679488006577
443.53,0.18652844142175776
443.74,0.1885639468605032
443.95,0.1910615720635748
444.15,0.19282738167910127
444.36,0.1851017362420165
444.57,0.16283395600302494
444.77,0.2134686138062761
444.98,0.2057088347855527
445.19,0.18655469844923261
445.39,0.2117307119032362
445.6,0.2270146863393192
445.81,0.20557996964708855
446.01,0.2150030469498135
446.22,0.22403326310626584
446.43,0.18940034099976683
446.63,0.20431965255721615
446.84,0.2141648459229388
447.05,0.23216845367637845
447.25,0.21373371940440947
447.46,0.20171580339382358
447.67,0.2421252451569121
447.87,0.20915039674979827
448.08,0.22165895816873754
448.28,0.2223819971870605
448.49,0.2170854779149285
448.7,0.2204279203332862
448.9,0.2020522865243824
449.11,0.22729989005356965
449.32,0.23629532398609454
449.52,0.24048534111465716
449.73,0.23794523816934876
449.93,0.21225741007033855
450.14,0.21860508536835335
450.35,0.22842831860718743
450.55,0.2253432438029928
450.76,0.23454698665966273
450.97,0.21264883016539793
451.17,0.22546194454276774
451.38,0.2315934082909217
451.58,0.23754963731667286
451.79,0.22776666330833778
452.0,0.24075518536387347
452.2,0.2089302983186686
452.41,0.21733159376502095
452.62,0.2223039480359657
452.82,0.23618272312616867
453.03,0.22217598135568262
453.23,0.20335437140697246
453.44,0.22179926483058207
453.65,0.22724771211354083
453.85,0.22031698580213804
454.06,0.22037276480557297
454.26,0.2289167235344619
454.47,0.22762856505026668
454.68,0.21394758646263667
454.88,0.20274269693639213
455.09,0.21204307628596936
455.29,0.20203778638176473
455.5,0.22598143966566414
455.71,0.20451678409895083
455.91,0.2323435945906369
456.12,0.20546716935045964
456.32,0.2288639918160983
456.53,0.23385676706382863
456.73,0.22874341749215457
456.94,0.20040185672691418
457.15,0.19565717108200273
457.35,0.20114791007152627
457.56,0.22038905290273306
457.76,0.19429861028625728
457.97,0.1905979626716208
458.18,0.18935684750293713
458.38,0.21097071190759634
458.59,0.20247922777681218
458.79,0.20485578254383693
459.0,0.19030659845628495
459.2,0.20914401828803658
459.41,0.19114052583234878
459.62,0.19385881862934684
459.82,0.21478540266164217
460.03,0.19526376748798027
460.23,0.17799603446030918
460.44,0.21876174167196216
460.64,0.19896770313948536
460.85,0.19714339968461814
461.06,0.1777301420793827
461.26,0.20339097954466165
461.47,0.20349845434667874
461.67,0.19490184969816826
461.88,0.19733069062691175
462.08,0.17777168991203812
462.29,0.19700596211590216
462.49,0.19576874872433275
462.7,0.17727335930003213
462.91,0.18251909583178935
463.11,0.17609988652120606
463.32,0.1836185191541893
463.52,0.17252689603964394
463.73,0.19586613707268347
463.93,0.18681722569425988
464.14,0.17462020486970195
464.34,0.16523274762275264
464.55,0.1733004519654439
464.75,0.15379069206311136
464.96,0.17320698997521106
465.16,0.187112822463702
465.37,0.15058643882930378
465.58,0.16290165935757456
465.78,0.15890480190683032
465.99,0.1583512718463402
466.19,0.14053413039106225
466.4,0.1680627806866426
466.6,0.15375813435551355
466.81,0.16280872633305174
467.01,0.16630410821018132
467.22,0.1616513774095204
467.42,0.1553216011646795
467.63,0.14817327440513095
467.83,0.14787250864975302
468.04,0.16138874738475986
468.24,0.14004634713498304
468.45,0.13950677660792754
468.65,0.13934561663525652
468.86,0.13676923255027212
469.06,0.13319836500708523
469.27,0.1421367419631875
469.47,0.14295009317903826
469.68,0.12957997334528906
469.88,0.13135385796351878
470.09,0.12476255649208004
470.29,0.13074668860412486
470.5,0.1343994320090171
470.7,0.12538003304890888
470.91,0.11528194292316146
471.11,0.12319324231878886
471.32,0.1305498758374052
471.52,0.11583122341818727
471.73,0.12073805672044605
471.93,0.1356517373396027
472.14,0.10558787159595646
