Wavelength [nm],#5-Filtre-vert.csv
441.67,0.015994777584271338
441.88,0.02452784753517495
442.09,0.013654445758520614
442.29,0.041052151785080336
442.5,-0.00036082385659335416
442.71,0.013358308276236039
442.91,0.019268896712786924
443.12,0.035366427007006346
443.33,0.002305738541196286
443.53,0.009294977772879262
443.74,0.007198889352912651
443.95,0.002891242303782831
444.15,0.007696047201830915
444.36,0.043703863991772784
444.57,0.010964253868641175
444.77,0.0035128886753800106
444.98,0.039092113179319564
445.19,0.0015655800280300603
445.39,0.014010849077640644
445.6,0.020506354993696144
445.81,0.00444590952777465
446.01,0.025735006886329823
446.22,-0.010864015873546665
446.43,0.01217459016919495
446.63,0.018339904176111598
446.84,0.017706057403673495
447.05,0.014236067591126125
447.25,0.008725640108013168
447.46,0.003998355317990401
447.67,0.015216635922454648
447.87,0.027653685695387793
448.08,0.016004476307633006
448.28,0.004673980309423372
448.49,0.02715847606745796
448.7,0.009356814201646874
448.9,0.003932747611167365
449.11,0.0014609902834576576
449.32,0.008757322257704312
449.52,0.0015027462852418303
449.73,0.010655627146429298
449.93,0.00772943628844377
450.14,0.003650960837914814
450.35,0.051118120451819515
450.55,-0.016010024831960613
450.76,0.016106897797038666
450.97,0.007177801195403083
451.17,-0.0003192189342430474
451.38,0.01343922688916399
451.58,-0.01149785566791971
451.79,0.02370500438981565
452.0,0.019185686929206178
452.2,0.019029406917148727
452.41,0.018255657684346848
452.62,0.021790909146476904
452.82,0.010102060554126227
453.03,0.013332308920290017
453.23,0.028494185717160017
453.44,0.010492203894068606
453.65,0.004156518850423378
453.85,0.0030557447398398213
454.06,0.0035084434719353987
454.26,0.01806494735809903
454.47,0.019542000198853052
454.68,0.02656214088576524
454.88,-0.0017999636704580074
455.09,0.006772423519667788
455.29,0.014281971412768208
455.5,0.02129536218771946
455.71,0.019356870467334055
455.91,0.022454067767277975
456.12,0.016369430074842192
456.32,0.01721176829328273
456.53,-0.009544814402033907
456.73,0.020267936468063196
456.94,0.0002437186630822242
457.15,0.02559913371391664
457.35,0.020285687731284363
457.56,0.013776538885633594
457.76,0.01903569764360834
457.97,0.02932996532246075
458.18,0.014552334164982857
458.38,0.015073785208792675
458.59,0.008703100109841494
458.79,0.019603569482532245
459.0,0.01297915746370292
459.2,0.011917003144351136
459.41,0.007439979380480322
459.62,0.010445888408021424
459.82,0.023907231072481067
460.03,0.02523602003149713
460.23,0.013045405923916375
460.44,0.015148812976484642
460.64,0.00997051773529438
460.85,-0.004833103539377309
461.06,0.015248491113915217
461.26,0.011248699942623877
461.47,0.018265536752883105
461.67,0.006589098868152943
461.88,0.01809385455330953
462.08,0.02739365089890054
462.29,0.005519067521611607
462.49,0.01288234172869996
462.7,0.012155367605026961
462.91,0.013990802579922457
463.11,0.021645961901973855
463.32,0.02428186551993993
463.52,0.02578952890567623
463.73,0.013367671727476887
463.93,-0.008245308952288364
464.14,0.018629423235523097
464.34,0.023951620036189045
464.55,0.004464443186854831
464.75,0.013681927662679035
464.96,0.02639716475451162
465.16,0.0025253836856564257
465.37,0.01636211597891294
465.58,-0.0006096887431373995
465.78,0.011570744633624973
465.99,0.01788406298667591
466.19,0.014833873104156134
466.4,-0.0013841211254132103
466.6,0.00994170591665219
466.81,0.020316482205862532
467.01,0.015984460592044804
467.22,0.022373011995127638
467.42,0.008046263657012692
467.63,0.004602825420553814
467.83,0.008606108907822426
468.04,0.005350851175045869
468.24,0.015345666835709936
468.45,0.010331079952143612
468.65,0.01570425658526527
468.86,0.0012412868736164293
469.06,0.007744768530973509
469.27,0.006216474617661867
469.47,0.0012359831189041517
469.68,0.013136964679437193
469.88,0.015907532199507975
470.09,0.002489186957475304
470.29,0.00551527933522758
470.5,0.01876450008546162
470.7,0.0008079928962487853
470.91,0.01192855806686535
471.11,-0.0001748906933166641
471.32,0.01680179309549727
471.52,0.012441790719850524
471.73,0.012889384285661592
471.93,0.015481667512813222
472.14,0.009086321719891105
472.34,0.0019951535181355028
472.55,0.006342805746976563
472.75,0.003158291029303441
472.96,0.01649597338449879
473.16,0.011781216367904431
473.37,0.008586175998057246
473.57,-0.001042637607438958
473.78,0.012326680524220628
473.98,0.007983023341896309
474.19,0.0037177673541310013
474.39,0.0024395372855563965
474.6,0.011992536532697372
474.8,0.011354060809972128
475.01,0.009733588345289992
475.21,0.011416807037245005
475.42,0.007974956708629376
475.62,0.01583096753458612
475.83,0.0038349896332308675
476.03,0.0027301007914572613
476.24,0.004215050897156101
476.44,0.010171760271642462
476.64,0.001439617010764484
476.85,0.015244057458027337
477.05,0.005634044165062082
477.26,0.008900132766406048
477.46,0.00816378578269517
477.67,0.004378235562955287
477.87,0.005037865878218388
478.08,0.009235743319738076
478.28,0.014943880651832688
478.49,0.00011570935576388129
478.69,0.0032653780121913354
478.9,0.0012796771949072137
479.1,0.019453186183630553
479.3,0.0015239060108308386
479.51,0.011484789365979974
479.71,0.005985617924156154
479.92,0.010566173366823679
480.12,0.018454707967507315
480.33,0.0007829582841449008
480.53,0.006552843044492637
480.74,0.007881890897127474
480.94,0.004560845331164182
481.14,0.0011744674936585789
481.35,0.007430666412189975
481.55,0.007993743135858952
481.76,0.008994662042622123
481.96,0.008550085360598866
482.17,0.010140235998490921
482.37,0.013080185353898897
482.57,0.006402228649727586
482.78,0.00836171245554531
482.98,0.012170586975197274
483.19,0.0023451478090259956
483.39,0.008003944712750082
483.6,0.007531190784141779
483.8,0.012022528835948516
484.0,0.0070275235765184865
484.21,0.010648517266500911
484.41,0.001502517095924548
484.62,0.004497418681817895
484.82,0.009015711022699446
485.02,0.01020956398333535
485.23,0.004481403719874157
485.43,0.006539300811351193
485.64,0.006799850225385977
485.84,0.006652786735247143
486.05,0.00415507355433861
486.25,0.009063767799414438
486.45,0.008929095969638732
486.66,0.005479479539731751
486.86,0.007303438466550818
487.07,0.007828116909249677
487.27,0.00893749039170684
487.47,0.011763796042644352
487.68,0.01587073134500801
487.88,0.014580615100931811
488.09,0.013136352660701478
488.29,0.012523727780348364
488.49,0.013502087948337085
488.7,0.008966285644620074
488.9,0.011677041554950475
489.1,0.01355278919448913
489.31,0.009629894836181143
489.51,0.009868328003887244
489.72,0.013696034146921563
489.92,0.01297075612309532
490.12,0.00926485205897952
490.33,0.0019820786280460773
490.53,0.014784571362015187
490.74,0.013434771461668459
490.94,0.006383000886647053
491.14,0.018697192289973588
491.35,0.010357372797032836
491.55,0.010070529645414788
491.75,0.010679150388704135
491.96,0.013459498745920517
492.16,0.0049845862939391075
492.36,0.01614197101001507
492.57,0.014620279609274417
492.77,0.013591060827633143
492.98,0.014668265792912362
493.18,0.016523591566585092
493.38,0.013188822839638282
493.59,0.01646672078735581
493.79,0.016768771667800525
493.99,0.014149760815982846
494.2,0.008807741366604574
494.4,0.01619137119888049
494.6,0.02010450241283315
494.81,0.013892139576734443
495.01,0.01610225599285406
495.22,0.013367632336761491
495.42,0.019295551900258407
495.62,0.01796337764133647
495.83,0.013286367745817849
496.03,0.013713681335325443
496.23,0.014033664319353463
496.44,0.01761769077513595
496.64,0.018180246030458192
496.84,0.017650499714928686
497.05,0.017747019128547408
497.25,0.015707289147174792
497.45,0.02161181451062253
497.66,0.018651433885487963
497.86,0.019117716679059076
498.06,0.023131031081917493
498.27,0.023262128447950142
498.47,0.027239639869740123
498.67,0.021729927806625714
498.88,0.0188377092247974
499.08,0.017122891948949507
499.28,0.023538818990640413
499.49,0.02022487578376997
499.69,0.022555544565438956
499.89,0.02242806938759869
500.1,0.023916226405550457
500.3,0.019952074279990014
500.5,0.029165909750258262
500.7,0.0265682154930475
500.91,0.02810772993095556
501.11,0.023196485145109354
501.31,0.026748936996075025
501.52,0.02927029798151872
501.72,0.02730847791576429
501.92,0.0340756802661521
502.13,0.02992384535635837
502.33,0.03103368379131402
502.53,0.03476765765341714
502.74,0.035628866110159994
