Wavelength [nm],#4-450-∆10.csv
418.65,0.04521863170022498
418.86,0.004943466312444613
419.07,0.009719346038988165
419.27,0.015230821162910859
419.48,0.009324701550157435
419.69,0.03826691636239363
419.9,-0.024164195315612206
420.11,0.011639344812652578
420.31,0.01758603834386375
420.52,-0.000505295288379202
420.73,0.06555476308041187
420.94,-0.0024397946824275406
421.15,0.0004293716424612858
421.35,0.028842454349521145
421.56,0.020145049516125425
421.77,-0.01164956970509828
421.98,0.00674620059309403
422.19,-0.01500176425799019
422.39,0.010706048632116839
422.6,-0.00637282612893821
422.81,0.012219115329524615
423.02,-0.021475705720037135
423.22,-0.01367451340197107
423.43,0.003345849932562959
423.64,0.012763230988920394
423.85,0.03179931699672046
424.06,0.03475199912254548
424.26,0.006591453642436683
424.47,0.04687121916972545
424.68,-0.01063006853071167
424.89,0.003137201356311337
425.09,0.011230568395684024
425.3,0.009646707162290723
425.51,0.029019878401103913
425.72,-0.013214331284168613
425.93,0.023109461407293693
426.13,0.014634957060352054
426.34,-0.02148873881681154
426.55,-0.004822429789250057
426.76,0.018909526358973743
426.96,0.015876128931033504
427.17,0.021911271881101754
427.38,0.007594299921638469
427.59,-0.00044984255510567957
427.79,0.018297187523948228
428.0,0.013297469430660578
428.21,-0.0012629602004094638
428.42,0.005486545915893328
428.62,0.013172012852708795
428.83,0.021342134213421373
429.04,0.008232472774684163
429.25,-0.003113247964964025
429.45,0.005089555236810048
429.66,-0.0058116126739249045
429.87,0.0013212941575538643
430.08,0.013193113880285271
430.28,0.016573979336588992
430.49,0.02115208287224536
430.7,0.01252252803083905
430.91,-0.0029321656479308626
431.11,-0.002158633459125643
431.32,0.003645599617549356
431.53,0.016856079117832642
431.74,0.033556301559666935
431.94,-0.022396224098653578
432.15,0.032057144973744
432.36,0.03205208719756743
432.56,0.013362606162150592
432.77,-0.013689317388214177
432.98,0.01867360579285284
433.19,-0.00435175301748909
433.39,-0.013829723831227957
433.6,-0.007009178875620782
433.81,-0.011680416025195253
434.02,-0.0018398180595284232
434.22,-0.0026383946941640353
434.43,0.0011024763937970497
434.64,-0.004881433608468652
434.84,0.0032768906710112775
435.05,0.015083707119843352
435.26,0.015887295752830013
435.47,-0.025777916229157292
435.67,-0.004087907294667074
435.88,0.020373387696687516
436.09,0.01902390978959698
436.29,-0.005186997068219021
436.5,0.006140920434010558
436.71,0.0033108613833168037
436.92,0.008019191743929054
437.12,0.012120410551769427
437.33,0.0074609460100214285
437.54,0.01184914479767167
