Wavelength [nm],#47.csv
430.91,0.05190919552254423
431.11,0.0243038176799143
431.32,0.031367407811496426
431.53,0.04979222387100408
431.74,0.02969670212500107
431.94,0.0360047471592072
432.15,0.039978117600800105
432.36,0.04829282398955455
432.56,0.04166150815594937
432.77,0.02770169480098101
432.98,0.05072314588359948
433.19,0.02477129938192086
433.39,0.05007705253478719
433.6,0.029769826926995025
433.81,0.0229198063816144
434.02,0.05709193594397325
434.22,0.05418525780155294
434.43,0.05430707067439751
434.64,0.025025751915592913
434.84,0.023797660568961047
435.05,0.04107650514877759
435.26,0.04178499849617659
435.47,0.055597478871991284
435.67,0.035099617805934805
435.88,0.05328998679526485
436.09,0.02046123739430087
436.29,0.0485515812534541
436.5,0.0452863546401108
436.71,0.021082435920315612
436.92,0.019204317136527458
437.12,0.004489318217548545
437.33,0.02741147975856371
437.54,0.04779423424566302
437.74,0.025604345635315686
437.95,0.03960186306327985
438.16,0.028211248658968152
438.36,0.022082188697892104
438.57,0.03719514741245277
438.78,0.05443828622335795
438.99,0.03524570513521757
439.19,0.03478437123678032
439.4,0.04006222693932149
439.61,0.020750303134224185
439.81,0.032721014349112794
440.02,0.03580009889658345
440.23,0.03684977712680185
440.43,0.03714060625847253
440.64,0.026940690322389296
440.85,0.03706801852799995
441.05,0.013771691442482463
441.26,0.04809338521400781
441.47,0.018296203483873157
441.67,0.012855003422127979
441.88,0.0423796254887796
442.09,0.03972805486483954
442.29,0.017492344093213125
442.5,0.05354675123526945
442.71,0.02901928750994658
442.91,0.05130611275350255
443.12,0.044929879482151686
443.33,0.04149612564244091
443.53,0.032725842458663196
443.74,0.03983204848922652
443.95,0.032636380341413175
444.15,0.04101968740773958
444.36,0.04122319956632991
444.57,0.03104619795252663
444.77,0.031121745496873993
444.98,0.0212857459847603
445.19,0.029440652666841403
445.39,0.020536257091686702
445.6,0.05271407639622451
445.81,0.031224112798097507
446.01,0.03131996544558016
446.22,0.02570310671170119
446.43,0.028231956855186365
446.63,0.022553037634583224
446.84,0.05074958452465084
447.05,0.04971343276779511
447.25,0.014152324559976599
447.46,0.02685943525175861
447.67,0.028831152476522095
447.87,0.03479453990080722
448.08,0.025908516510575717
448.28,0.030323488045007056
448.49,0.018608707495546103
448.7,0.02145257959601016
448.9,0.03614236590073913
449.11,0.03042985439009506
449.32,0.02872741283493005
449.52,0.036772442214264955
449.73,0.03776885485728517
449.93,0.005250309333511712
450.14,0.02396158677779877
450.35,0.023281024495686666
450.55,0.013068682232491607
450.76,0.055657331713669767
450.97,0.012933292202965964
451.17,0.016584183679009098
451.38,0.030616721487727587
451.58,0.023828029861809732
451.79,0.0282778146737041
452.0,0.012686314975122603
452.2,0.019581444392153147
452.41,0.018801071207855544
452.62,0.03311932942271921
452.82,0.022822711645136287
453.03,0.026385038447502056
453.23,0.027951141662222713
453.44,0.03094127430727959
453.65,0.023071981620862263
453.85,0.03489093944562645
454.06,0.02899000122863781
454.26,0.03141703872546765
454.47,0.022149601262153974
454.68,0.03515287764573642
454.88,0.021153701484924178
455.09,0.023606789222724266
455.29,0.020756309859974984
455.5,0.018138250452841138
455.71,0.030426213130093752
455.91,0.028798335580578496
456.12,0.013146173155371439
456.32,0.03471272734426489
456.53,0.010602520081717578
456.73,0.025916286939159268
456.94,0.020414693816801725
457.15,0.029296047569744597
457.35,0.02661322903764851
457.56,0.02418522976810712
457.76,0.023607773625590488
457.97,0.02830928179493442
458.18,0.029886063405154286
