Typical Measured Spectrum of Semrock FF01-750/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
503.0	0.98465
503.2	0.98226
503.4	0.97868
503.6	0.97613
503.8	0.97381
504.0	0.97138
504.2	0.97008
504.4	0.96864
504.6	0.96773
504.8	0.96829
505.0	0.96931
505.2	0.9713
505.4	0.97273
505.6	0.97488
505.8	0.97687
506.0	0.97925
506.2	0.98083
506.4	0.98212
506.6	0.98314
506.8	0.98388
507.0	0.98322
507.2	0.98244
507.4	0.98192
507.6	0.98036
507.8	0.97833
508.0	0.97727
508.2	0.97544
508.4	0.97466
508.6	0.97298
508.8	0.97245
509.0	0.97267
509.2	0.97342
509.4	0.97422
509.6	0.9763
509.8	0.978
510.0	0.98068
510.2	0.98259
510.4	0.98526
510.6	0.98713
510.8	0.9899
511.0	0.99192
511.2	0.99358
511.4	0.99428
511.6	0.99444
511.8	0.99401
512.0	0.99296
512.2	0.99089
512.4	0.989
512.6	0.98582
512.8	0.98374
513.0	0.98027
513.2	0.97864
513.4	0.97636
513.6	0.97466
513.8	0.97317
514.0	0.97281
514.2	0.97271
514.4	0.97394
514.6	0.97566
514.8	0.97698
515.0	0.97994
515.2	0.98271
515.4	0.98546
515.6	0.98791
515.8	0.98998
516.0	0.99135
516.2	0.99207
516.4	0.99263
516.6	0.99141
516.8	0.99051
517.0	0.98785
517.2	0.98466
517.4	0.9812
517.6	0.97741
517.8	0.97287
518.0	0.96815
518.2	0.96347
518.4	0.95939
518.6	0.95659
518.8	0.95343
519.0	0.95199
519.2	0.95047
519.4	0.95022
519.6	0.95104
519.8	0.95189
520.0	0.95393
520.2	0.95667
520.4	0.95995
520.6	0.96365
520.8	0.96755
521.0	0.97168
521.2	0.9757
521.4	0.97888
521.6	0.98253
521.8	0.98508
522.0	0.98708
522.2	0.98821
522.4	0.98927
522.6	0.98976
522.8	0.98872
523.0	0.9883
523.2	0.98707
523.4	0.98592
523.6	0.98422
523.8	0.98236
524.0	0.98092
524.2	0.97928
524.4	0.97867
524.6	0.97801
524.8	0.97799
525.0	0.97835
525.2	0.97884
525.4	0.98006
525.6	0.98114
525.8	0.98267
526.0	0.98422
526.2	0.98559
526.4	0.98745
526.6	0.98821
526.8	0.98947
527.0	0.99031
527.2	0.991
527.4	0.99143
527.6	0.99138
527.8	0.99127
528.0	0.99083
528.2	0.99076
528.4	0.99081
528.6	0.99008
528.8	0.98921
529.0	0.98881
529.2	0.98846
529.4	0.98816
529.6	0.98844
529.8	0.98839
530.0	0.98848
530.2	0.98899
530.4	0.98927
530.6	0.98969
530.8	0.99014
531.0	0.99061
531.2	0.99085
531.4	0.99087
531.6	0.99058
531.8	0.99039
532.0	0.98951
532.2	0.98916
532.4	0.98794
532.6	0.98686
532.8	0.98582
533.0	0.9847
533.2	0.9835
533.4	0.98186
533.6	0.9802
533.8	0.97913
534.0	0.97806
534.2	0.97701
534.4	0.97693
534.6	0.97677
534.8	0.97665
535.0	0.9771
535.2	0.978
535.4	0.97891
535.6	0.97986
535.8	0.9814
536.0	0.9823
536.2	0.98372
536.4	0.98496
536.6	0.98603
536.8	0.98698
537.0	0.98762
537.2	0.98805
537.4	0.98864
537.6	0.98883
537.8	0.98839
538.0	0.98802
538.2	0.98764
538.4	0.98697
538.6	0.98616
538.8	0.98614
539.0	0.98586
539.2	0.98496
539.4	0.98482
539.6	0.98467
539.8	0.98482
540.0	0.98497
540.2	0.98556
540.4	0.98642
540.6	0.98701
540.8	0.98823
541.0	0.98942
541.2	0.99022
541.4	0.99089
541.6	0.99229
541.8	0.99276
542.0	0.9936
542.2	0.99419
542.4	0.99408
