Typical Measured Spectrum of Semrock LP02-1064RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
350.6	3.3036e-04
350.8	3.5884e-04
351.0	3.5932e-04
351.2	3.6991e-04
351.4	3.6565e-04
351.6	3.9078e-04
351.8	3.808e-04
352.0	3.8806e-04
352.2	3.8444e-04
352.4	4.0651e-04
352.6	4.1659e-04
352.8	3.9446e-04
353.0	3.9621e-04
353.2	4.1103e-04
353.4	4.066e-04
353.6	3.7164e-04
353.8	3.8228e-04
354.0	3.8051e-04
354.2	3.7046e-04
354.4	3.4262e-04
354.6	3.7209e-04
354.8	3.3961e-04
355.0	3.267e-04
355.2	3.2145e-04
355.4	3.2887e-04
355.6	3.3693e-04
355.8	3.1516e-04
356.0	3.1623e-04
356.2	3.1977e-04
356.4	3.138e-04
356.6	3.3033e-04
356.8	3.2533e-04
357.0	3.1462e-04
357.2	3.1792e-04
357.4	3.3408e-04
357.6	3.3646e-04
357.8	3.3486e-04
358.0	3.3158e-04
358.2	3.2436e-04
358.4	3.479e-04
358.6	3.4478e-04
358.8	3.4242e-04
359.0	3.559e-04
359.2	3.6245e-04
359.4	3.6994e-04
359.6	3.6358e-04
359.8	3.5303e-04
360.0	3.3644e-04
360.2	3.3778e-04
360.4	3.3571e-04
360.6	3.4795e-04
360.8	3.5207e-04
361.0	3.4451e-04
361.2	3.5912e-04
361.4	3.6613e-04
361.6	3.7665e-04
361.8	3.9737e-04
362.0	4.4599e-04
362.2	4.8799e-04
362.4	5.3395e-04
362.6	6.1826e-04
362.8	0.0011
363.0	0.00292
363.2	0.00696
363.4	0.01302
363.6	0.02049
363.8	0.02765
364.0	0.03503
364.2	0.04287
364.4	0.05022
364.6	0.05802
364.8	0.06461
365.0	0.06964
365.2	0.07623
365.4	0.07903
365.6	0.0857
365.8	0.0924
366.0	0.09031
366.2	0.09445
366.4	0.1056
366.6	0.10596
366.8	0.10418
367.0	0.11459
367.2	0.12219
367.4	0.11557
367.6	0.11726
367.8	0.13239
368.0	0.13619
368.2	0.12796
368.4	0.13363
368.6	0.14932
368.8	0.14858
369.0	0.13735
369.2	0.14452
369.4	0.16256
369.6	0.15739
369.8	0.14016
370.0	0.14291
370.2	0.1649
370.4	0.17027
370.6	0.1513
370.8	0.14622
371.0	0.16712
371.2	0.18388
371.4	0.1642
371.6	0.14565
371.8	0.15715
372.0	0.18636
372.2	0.18453
372.4	0.15227
372.6	0.14163
372.8	0.16496
373.0	0.19544
373.2	0.18032
373.4	0.14677
373.6	0.14254
373.8	0.17399
374.0	0.20414
374.2	0.17802
374.4	0.14132
374.6	0.13849
374.8	0.17229
375.0	0.2113
375.2	0.18483
375.4	0.14203
375.6	0.1336
375.8	0.16504
376.0	0.21365
376.2	0.20147
376.4	0.15205
376.6	0.13134
376.8	0.15303
377.0	0.2079
377.2	0.22506
377.4	0.17369
377.6	0.13745
377.8	0.14156
378.0	0.19025
378.2	0.2394
378.4	0.20715
378.6	0.15139
378.8	0.13445
379.0	0.16117
379.2	0.22548
379.4	0.24993
379.6	0.19005
379.8	0.14523
380.0	0.14215
380.2	0.18566
380.4	0.25661
380.6	0.25608
380.8	0.18932
381.0	0.15296
381.2	0.16243
381.4	0.22139
381.6	0.2862
381.8	0.25241
382.0	0.18243
382.2	0.15245
382.4	0.16842
382.6	0.23244
382.8	0.3073
383.0	0.28228
383.2	0.21308
383.4	0.18271
383.6	0.20409
383.8	0.27303
384.0	0.33971
384.2	0.30576
384.4	0.23829
384.6	0.21216
384.8	0.23946
385.0	0.31201
385.2	0.36374
385.4	0.32068
385.6	0.25475
385.8	0.235
386.0	0.26821
386.2	0.34821
386.4	0.39496
386.6	0.34205
386.8	0.27305
387.0	0.2521
387.2	0.28646
387.4	0.36669
387.6	0.41302
387.8	0.36147
388.0	0.28984
388.2	0.26166
388.4	0.2699
388.6	0.2755
388.8	0.23755
389.0	0.18158
389.2	0.14628
389.4	0.14005
389.6	0.16979
389.8	0.25985
390.0	0.39712
390.2	0.38706
390.4	0.26223
390.6	0.19049
390.8	0.18225
391.0	0.22972
391.2	0.35555
391.4	0.46456
391.6	0.38124
391.8	0.26148
392.0	0.2151
392.2	0.23447
392.4	0.33309
392.6	0.47686
392.8	0.45815
393.0	0.30717
393.2	0.22187
393.4	0.20753
393.6	0.26175
393.8	0.40572
394.0	0.5231
394.2	0.4032
394.4	0.25562
394.6	0.19498
394.8	0.19524
395.0	0.25633
395.2	0.41324
395.4	0.55575
395.6	0.46711
395.8	0.3221
396.0	0.26722
396.2	0.2943
396.4	0.41945
396.6	0.58129
396.8	0.52609
397.0	0.34892
397.2	0.25222
397.4	0.23902
397.6	0.30175
397.8	0.45686
398.0	0.52974
398.2	0.37271
398.4	0.22567
398.6	0.16671
398.8	0.16013
399.0	0.20398
399.2	0.34446
399.4	0.55825
399.6	0.49873
399.8	0.30084
400.0	0.20395
400.2	0.18838
400.4	0.23229
400.6	0.36551
400.8	0.50356
401.0	0.40761
401.2	0.2465
401.4	0.17298
401.6	0.15887
401.8	0.19539
402.0	0.31939
402.2	0.51991
402.4	0.47009
402.6	0.27668
402.8	0.17817
403.0	0.15207
403.2	0.17042
403.4	0.2498
403.6	0.38515
403.8	0.3949
404.0	0.2557
404.2	0.16527
404.4	0.13352
404.6	0.14083
404.8	0.19208
405.0	0.30892
405.2	0.38198
405.4	0.28419
405.6	0.17603
405.8	0.12933
406.0	0.11941
406.2	0.13946
406.4	0.19095
406.6	0.24701
406.8	0.22673
407.0	0.16239
407.2	0.1195
407.4	0.10495
407.6	0.11198
407.8	0.14291
408.0	0.19262
408.2	0.21209
408.4	0.16864
408.6	0.12029
408.8	0.09428
409.0	0.08637
409.2	0.09045
409.4	0.10457
409.6	0.1195
409.8	0.12023
410.0	0.10385
410.2	0.08403
410.4	0.07027
410.6	0.06247
410.8	0.05976
411.0	0.061
411.2	0.06573
411.4	0.07197
411.6	0.07365
411.8	0.06364
412.0	0.04831
412.2	0.03639
412.4	0.02967
412.6	0.02742
412.8	0.02987
413.0	0.03882
413.2	0.05044
413.4	0.04123
413.6	0.02415
413.8	0.01634
414.0	0.01358
414.2	0.01294
414.4	0.01436
414.6	0.0228
414.8	0.0256
415.0	0.0134
415.2	0.00985
415.4	0.00915
415.6	0.009
415.8	0.00891
416.0	0.00885
416.2	0.00876
416.4	0.00883
416.6	0.00876
416.8	0.00875
417.0	0.00878
417.2	0.00875
417.4	0.00879
417.6	0.00876
417.8	0.00873
418.0	0.00877
418.2	0.00879
418.4	0.00891
418.6	0.00902
418.8	0.00924
419.0	0.00966
419.2	0.01132
419.4	0.01998
419.6	0.02042
419.8	0.01323
420.0	0.01142
420.2	0.01143
420.4	0.01242
420.6	0.01604
420.8	0.03615
421.0	0.07954
421.2	0.05172
421.4	0.02413
421.6	0.01812
421.8	0.01689
422.0	0.01799
422.2	0.02251
422.4	0.03674
422.6	0.07997
422.8	0.11566
423.0	0.08022
423.2	0.04925
423.4	0.03923
423.6	0.03919
423.8	0.04796
424.0	0.07498
424.2	0.15458
424.4	0.27623
424.6	0.25768
424.8	0.16132
425.0	0.11418
425.2	0.10361
425.4	0.11742
425.6	0.16089
425.8	0.24596
426.0	0.33038
426.2	0.32455
426.4	0.26061
426.6	0.21749
426.8	0.212
427.0	0.247
427.2	0.32955
427.4	0.44307
427.6	0.48969
427.8	0.42396
428.0	0.33442
428.2	0.28459
428.4	0.2776
428.6	0.31196
428.8	0.38911
429.0	0.4864
429.2	0.53246
429.4	0.49115
429.6	0.41947
429.8	0.37464
430.0	0.37176
430.2	0.41455
430.4	0.49039
430.6	0.5534
430.8	0.5394
431.0	0.46077
431.2	0.38134
431.4	0.33713
431.6	0.33283
431.8	0.36909
432.0	0.44445
432.2	0.52692
432.4	0.53651
432.6	0.45839
432.8	0.3613
433.0	0.29581
433.2	0.26772
433.4	0.27485
433.6	0.31897
433.8	0.40668
434.0	0.51407
434.2	0.55454
434.4	0.47888
434.6	0.37362
434.8	0.30086
435.0	0.25595
435.2	0.27428
435.4	0.33583
435.6	0.44556
435.8	0.56223
436.0	0.56689
436.2	0.45536
436.4	0.33916
436.6	0.26966
436.8	0.24142
437.0	0.24841
437.2	0.29044
437.4	0.37915
437.6	0.51158
437.8	0.60591
438.0	0.55908
438.2	0.43285
438.4	0.33101
438.6	0.27773
438.8	0.26329
439.0	0.28072
439.2	0.33671
439.4	0.4363
439.6	0.56058
439.8	0.62819
440.0	0.58378
440.2	0.48237
440.4	0.40252
440.6	0.36201
440.8	0.36226
441.0	0.39813
441.2	0.46979
441.4	0.56435
441.6	0.63675
441.8	0.63797
442.0	0.58043
442.2	0.51602
442.4	0.47961
442.6	0.47882
442.8	0.51452
443.0	0.57957
443.2	0.64807
443.4	0.67254
443.6	0.63026
443.8	0.5528
444.0	0.48361
444.2	0.44497
444.4	0.44032
444.6	0.47246
444.8	0.53777
445.0	0.62139
445.2	0.68088
445.4	0.67237
445.6	0.59967
445.8	0.51673
446.0	0.45701
446.2	0.43161
446.4	0.44081
446.6	0.48468
446.8	0.56047
447.0	0.64679
447.2	0.69532
447.4	0.67252
447.6	0.59981
447.8	0.52285
448.0	0.47285
448.2	0.45688
448.4	0.4759
448.6	0.52791
448.8	0.60719
449.0	0.68263
449.2	0.70872
449.4	0.6638
449.6	0.58501
449.8	0.51408
450.0	0.47242
450.2	0.46431
450.4	0.49156
450.6	0.55193
450.8	0.63754
451.0	0.71363
451.2	0.73562
451.4	0.68661
451.6	0.60384
451.8	0.53212
452.0	0.49197
452.2	0.4861
452.4	0.51551
452.6	0.57937
452.8	0.66566
453.0	0.73828
453.2	0.7487
453.4	0.68902
453.6	0.59901
453.8	0.52352
454.0	0.47843
454.2	0.46953
454.4	0.49412
454.6	0.55424
454.8	0.64312
455.0	0.73318
455.2	0.77037
455.4	0.72996
455.6	0.64348
455.8	0.55973
456.0	0.50359
456.2	0.48316
456.4	0.49762
456.6	0.54784
456.8	0.63262
457.0	0.73031
457.2	0.79535
457.4	0.78085
457.6	0.70142
457.8	0.60585
458.0	0.53273
458.2	0.49356
458.4	0.49102
458.6	0.52231
458.8	0.5891
459.0	0.6853
459.2	0.78098
459.4	0.82155
459.6	0.78288
459.8	0.69529
460.0	0.60669
460.2	0.54678
460.4	0.52044
460.6	0.52982
460.8	0.57338
461.0	0.64913
461.2	0.74456
461.4	0.82071
461.6	0.8345
461.8	0.78039
462.0	0.69554
462.2	0.61994
462.4	0.57244
462.6	0.56047
462.8	0.58132
463.0	0.63552
463.2	0.71701
463.4	0.8035
463.6	0.85545
463.8	0.8421
464.0	0.77605
464.2	0.69509
464.4	0.63017
464.6	0.59536
464.8	0.59439
465.0	0.62596
465.2	0.69046
465.4	0.7769
465.6	0.85783
465.8	0.89545
466.0	0.86886
466.2	0.79609
466.4	0.71741
466.6	0.65783
466.8	0.62883
467.0	0.63276
467.2	0.66879
467.4	0.73549
467.6	0.81639
467.8	0.88386
468.0	0.90418
468.2	0.86528
468.4	0.79203
468.6	0.71958
468.8	0.67016
469.0	0.6511
469.2	0.66412
469.4	0.71103
469.6	0.78508
469.8	0.86959
470.0	0.93316
470.2	0.94067
470.4	0.88716
470.6	0.80383
470.8	0.72553
471.0	0.6744
471.2	0.65362
471.4	0.6673
471.6	0.71467
471.8	0.79144
472.0	0.87918
472.2	0.94493
472.4	0.95145
472.6	0.89093
472.8	0.79894
473.0	0.71223
473.2	0.65283
473.4	0.62619
473.6	0.63392
473.8	0.67614
474.0	0.75104
474.2	0.84769
474.4	0.93378
474.6	0.96367
474.8	0.91471
475.0	0.81823
475.2	0.7172
475.4	0.64142
475.6	0.59796
475.8	0.59091
476.0	0.61799
476.2	0.6814
476.4	0.77734
476.6	0.88651
476.8	0.95943
477.0	0.95062
477.2	0.86312
477.4	0.74424
477.6	0.6422
477.8	0.57443
478.0	0.54259
478.2	0.54515
478.4	0.58373
478.6	0.66008
478.8	0.7722
479.0	0.88962
479.2	0.95234
479.4	0.90534
479.6	0.77866
479.8	0.64135
480.0	0.536
480.2	0.47058
480.4	0.44019
480.6	0.44395
480.8	0.48257
481.0	0.56571
481.2	0.69715
481.4	0.84806
481.6	0.8953
481.8	0.76451
482.0	0.54832
482.2	0.37142
482.4	0.25775
482.6	0.18978
482.8	0.14813
483.0	0.12187
483.2	0.10536
483.4	0.09447
483.6	0.08818
483.8	0.08494
484.0	0.08408
484.2	0.08551
484.4	0.08907
484.6	0.09433
484.8	0.10157
485.0	0.11076
485.2	0.12185
485.4	0.13466
485.6	0.14938
485.8	0.16515
486.0	0.18208
486.2	0.19951
486.4	0.21768
486.6	0.23625
486.8	0.25586
487.0	0.27751
487.2	0.30201
487.4	0.33243
487.6	0.37033
487.8	0.41956
488.0	0.48279
488.2	0.5612
488.4	0.65342
488.6	0.75028
488.8	0.83328
489.0	0.88275
489.2	0.8892
489.4	0.85927
489.6	0.81351
489.8	0.77044
490.0	0.7396
490.2	0.72603
490.4	0.73127
490.6	0.75266
490.8	0.78734
491.0	0.82647
491.2	0.86167
491.4	0.8798
491.6	0.87557
491.8	0.85172
492.0	0.81585
492.2	0.77944
492.4	0.75016
492.6	0.73442
492.8	0.73289
493.0	0.74626
493.2	0.77062
493.4	0.80197
493.6	0.83114
493.8	0.8503
494.0	0.85249
494.2	0.83667
494.4	0.80767
494.6	0.7751
494.8	0.74579
495.0	0.7259
495.2	0.71915
495.4	0.72416
495.6	0.74117
495.8	0.7657
496.0	0.79309
496.2	0.8147
