 Typical Measured Spectrum of Semrock FF02-641/75 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
463.6	1.0e-07
463.8	1.0e-07
464.0	1.0e-07
464.2	1.0e-07
464.4	1.0e-07
464.6	1.0e-07
464.8	1.0e-07
465.0	1.0e-07
465.2	1.0e-07
465.4	1.0e-07
465.6	1.0e-07
465.8	1.0e-07
466.0	1.0e-07
466.2	1.0e-07
466.4	1.0e-07
466.6	1.0e-07
466.8	1.0e-07
467.0	1.0e-07
467.2	1.0e-07
467.4	1.0e-07
467.6	1.0e-07
467.8	1.0e-07
468.0	1.0e-07
468.2	1.0e-07
468.4	1.0e-07
468.6	1.0e-07
468.8	1.0e-07
469.0	1.0e-07
469.2	1.0e-07
469.4	1.0e-07
469.6	1.0e-07
469.8	1.0e-07
470.0	1.0e-07
470.2	1.0e-07
470.4	1.0e-07
470.6	1.0e-07
470.8	1.0e-07
471.0	1.0e-07
471.2	1.0e-07
471.4	1.0e-07
471.6	1.0e-07
471.8	1.0e-07
472.0	1.0e-07
472.2	1.0e-07
472.4	1.0e-07
472.6	1.0e-07
472.8	1.0e-07
473.0	1.0e-07
473.2	1.0e-07
473.4	1.0e-07
473.6	1.0e-07
473.8	1.0e-07
474.0	1.0e-07
474.2	1.0e-07
474.4	1.013e-07
474.6	1.0307e-07
474.8	1.0487e-07
475.0	1.067e-07
475.2	1.0857e-07
475.4	1.1046e-07
475.6	1.1239e-07
475.8	1.1436e-07
476.0	1.1635e-07
476.2	1.1839e-07
476.4	1.2046e-07
476.6	1.2256e-07
476.8	1.247e-07
477.0	1.2688e-07
477.2	1.291e-07
477.4	1.3135e-07
477.6	1.3365e-07
477.8	1.3598e-07
478.0	1.3717e-07
478.2	1.3481e-07
478.4	1.3249e-07
478.6	1.3021e-07
478.8	1.2798e-07
479.0	1.2578e-07
479.2	1.2362e-07
479.4	1.2149e-07
479.6	1.194e-07
479.8	1.1735e-07
480.0	1.1533e-07
480.2	1.1335e-07
480.4	1.114e-07
480.6	1.0949e-07
480.8	1.0761e-07
481.0	1.0576e-07
481.2	1.0394e-07
481.4	1.0216e-07
481.6	1.004e-07
481.8	1.0e-07
482.0	1.0e-07
482.2	1.0e-07
482.4	1.0e-07
482.6	1.0e-07
482.8	1.0e-07
483.0	1.0e-07
483.2	1.0e-07
483.4	1.0e-07
483.6	1.0e-07
483.8	1.0e-07
484.0	1.0e-07
484.2	1.0e-07
484.4	1.0e-07
484.6	1.0e-07
484.8	1.0e-07
485.0	1.0e-07
485.2	1.0e-07
485.4	1.0e-07
485.6	1.0e-07
485.8	1.0e-07
486.0	1.0e-07
486.2	1.0e-07
486.4	1.0e-07
486.6	1.0e-07
486.8	1.0e-07
487.0	1.0e-07
487.2	1.0e-07
487.4	1.0e-07
487.6	1.0e-07
487.8	1.0e-07
488.0	1.0e-07
488.2	1.0e-07
488.4	1.0e-07
488.6	1.0e-07
488.8	1.0e-07
489.0	1.0e-07
489.2	1.0e-07
489.4	1.0e-07
489.6	1.0e-07
489.8	1.0e-07
490.0	1.0e-07
490.2	1.0e-07
490.4	1.0e-07
490.6	1.0e-07
490.8	1.0e-07
491.0	1.0e-07
491.2	1.0e-07
491.4	1.0e-07
491.6	1.0e-07
491.8	1.0e-07
492.0	1.0e-07
492.2	1.0e-07
492.4	1.0e-07
492.6	1.0e-07
492.8	1.0e-07
493.0	1.0e-07
493.2	1.0e-07
493.4	1.0e-07
493.6	1.0e-07
493.8	1.0e-07
494.0	1.0e-07
494.2	1.0e-07
494.4	1.0e-07
494.6	1.0e-07
494.8	1.0e-07
495.0	1.0e-07
495.2	1.0e-07
495.4	1.0e-07
495.6	1.0e-07
495.8	1.0e-07
496.0	1.0e-07
496.2	1.0e-07
