XF3017R,,
Wavelength (nm),%T,
717,-0.0001027438193,
716,-7.925084356E-5,
715,0.001078003203,
714,-2.789052996E-5,
713,2.645426503E-5,
712,-0.0003291172034,
711,0.000368106761,
710,0.0001951811137,
709,0.0004355611163,
708,0.0002302167268,
707,-0.0001890482381,
706,0.0003212680458,
705,0.0005132156657,
704,0.0004626306763,
703,0.0002264480136,
702,-0.0002734817972,
701,0.0003270978923,
700,0.0002333402081,
699,0.000415335031,
698,-0.0001594295027,
697,-0.0001054654713,
696,-0.0001171602926,
695,-0.0003585878294,
694,0.0003990945988,
693,0.0005977590918,
692,8.949495532E-5,
691,-2.675234646E-5,
690,0.0001513739408,
689,0.0002073491487,
688,0.0006458405405,
687,0.0004657641985,
686,-7.735716645E-5,
685,4.712486043E-5,
684,0.000206486613,
683,2.293027501E-5,
682,0.000157093149,
681,0.0008782027871,
680,0.0001227785397,
679,-0.0004057950282,
678,-0.0004334261466,
677,0.0002792616142,
676,0.0001229554473,
675,0.0002464954741,
674,0.0002585830225,
673,2.598031642E-5,
672,0.0003292073088,
671,0.0004405705258,
670,-0.0003963428899,
669,-4.303212336E-5,
668,0.0003792589123,
667,-1.194487959E-5,
666,-0.000433614885,
665,-0.0002351365692,
664,-0.000160841053,
663,0.0002250120597,
662,0.0007257298566,
661,-6.098282392E-5,
660,0.0002670917602,
659,0.0003235815093,
658,0.0008037340012,
657,-0.0001925971737,
656,-5.26947515E-5,
655,0.000129666194,
654,0.0001722906018,
653,-0.0001905402605,
652,0.0003474691184,
651,2.724270234E-5,
650,1.769125993E-5,
649,-3.285213825E-5,
648,-7.193317288E-5,
647,-0.0003566545784,
646,4.26868537E-5,
645,-0.0003967809898,
644,0.001062619733,
643,-0.0002949062327,
642,0.0001183531713,
641,0.000419543765,
640,0.0005559899728,
639,-0.0001547823631,
638,0.0006358526298,
637,-0.0001097750428,
636,0.0005452747573,
635,0.0004616736551,
634,0.0005426940043,
633,1.790703573E-5,
632,0.000526599295,
631,-0.0002868291049,
630,0.0002817849454,
629,0.000106005893,
628,-0.0004451766436,
627,-0.0002668706293,
626,7.673745131E-5,
625,0.0006791042979,
624,-0.000712502806,
623,-0.0001952267048,
622,0.0003799557744,
621,-0.0002708496468,
620,0.0006081995671,
619,-0.0002329658018,
618,-0.0005103829317,
617,7.013664435E-5,
616,-9.558964666E-5,
615,-0.0003020053846,
614,0.0008992701769,
613,-0.0007958754431,
612,0.000300441141,
611,0.0001056015099,
610,0.0004498157941,
609,-0.0001521182712,
608,0.0004328815849,
607,0.0003930503735,
606,-0.0002884845017,
605,0.0003996098822,
604,0.0001201055275,
603,8.964235167E-5,
602,-2.310533637E-5,
601,0.0002573363308,
600,0.0001614225621,
599,-3.159082553E-5,
598,0.0007772307144,
597,-1.980082016E-5,
596,0.0004059268977,
595,0.0003926416393,
594,0.0004997537471,
593,0.0006700269878,
